Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4N42ow0h4JoK68OQwOzsQn,"Love Will Tear Us Apart","TOTAL","Joy Division",2011-06-03,206226,39,false,,2012-06-21T16:49:35Z,"post-punk,new wave,gothic rock,darkwave,madchester,cold wave","WM UK",0.524,0.921,2,-7.709,1,0.0367,0.00103,0.768,0.128,0.908,146.849,4
spotify:track:2fXKyAyPrEa24c6PJyqznF,"Common People - Full Length Version","Different Class","Pulp",1995-10-30,351626,68,false,,2012-06-21T16:49:35Z,"britpop,madchester","Universal-Island Records Ltd.",0.314,0.797,0,-9.026,1,0.038,0.0057,0.0000559,0.0718,0.569,145.393,4
spotify:track:5j6ZZwA9BnxZi5Bk0Ng4jB,"Heroes - 1999 Remaster","Heroes (1999 Remaster)","David Bowie",1977-10-14,370373,2,false,,2012-06-21T16:49:35Z,"glam rock,art rock","Parlophone UK",0.478,0.774,7,-6.977,1,0.0292,0.000265,0.585,0.191,0.429,112.577,4
spotify:track:2oF7FZHIJbzjeEXZ3D0Ku4,"Good Vibrations - Remastered 2001","Good Vibrations 40th Anniversary","The Beach Boys",2006-01-01,217746,58,false,,2012-06-21T16:49:35Z,"baroque pop","Capitol Records",0.403,0.494,1,-6.888,1,0.0313,0.387,0.00000756,0.147,0.379,132.969,4
spotify:track:5rvY5aFTSvQAo2VNUR1Fxy,"Blue Monday - 2011 Total Version","TOTAL","New Order",2011-06-03,449906,51,false,,2012-06-21T16:49:35Z,"new wave,synthpop,post-punk,madchester","WM UK",0.792,0.713,0,-9.199,1,0.0539,0.000611,0.845,0.0855,0.849,130.418,4
spotify:track:3clIHVzJ9J2rvvrFUKLICo,"She Bangs the Drums - Remastered 2009","The Stone Roses","The Stone Roses",1989-05-02,232333,65,false,,2012-06-21T16:49:35Z,"madchester,britpop","Sony Music UK",0.339,0.976,9,-4.782,1,0.0909,0.00649,0.00672,0.123,0.672,144.723,4
spotify:track:0WQiDwKJclirSYG9v5tayI,"There Is a Light That Never Goes Out - 2011 Remaster","The Queen Is Dead","The Smiths",1986-06-16,244586,85,false,,2012-06-21T16:49:35Z,"new wave,madchester,jangle pop","WM UK",0.523,0.769,4,-5.855,1,0.0269,0.04,0,0.136,0.876,136.162,4
spotify:track:7iOA86nwA7RF3GwMa93H0v,"Ghost Town (Re-Recorded)","Greatest Hits (Re-Recorded)","The Specials",2006-07-18,316040,32,false,,2012-06-21T16:49:35Z,"ska,rocksteady,ska punk","Fantastic Price Records",0.381,0.818,0,-5.089,1,0.0423,0.00775,0.00456,0.469,0.88,154.609,4
spotify:track:0Bkd3FcTIMzVst5QmZSeTC,"Fix Up, Look Sharp","Boy In Da Corner","Dizzee Rascal",2002,224800,0,true,,2012-06-21T16:49:35Z,"grime,uk grime","Matador Records/XL",0.933,0.829,7,-4.313,1,0.269,0.0251,0.00000412,0.0933,0.295,104.752,4
spotify:track:7JrUo70YjhU4S7flcJtK0k,"Wonderwall","[What's The Story] Morning Glory","Oasis",1995-10-02,258906,0,false,,2012-06-21T16:49:35Z,"britpop,madchester","Reprise",0.412,0.849,2,-5.625,1,0.0361,0.00212,0,0.13,0.486,174.428,4
