Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:44mxTQtw7fcS46HZOUzYp2,"If Loneliness Was Art","Allo Darlin'","Allo Darlin'",2010-06-07,210480,18,false,5forty,2012-09-05T03:00:37Z,"jangle pop,indie pop","Fortuna POP!",0.536,0.476,9,-9.991,1,0.0282,0.374,0.039,0.1,0.844,128.37,4
spotify:track:3fBC1rB0Wn5XYv2K4rmLsz,"Spark - HR1 Acoustic Version","Spark","Amy Macdonald",2010-01-01,185280,4,false,5forty,2012-09-05T03:00:37Z,"","EMI",0.568,0.356,5,-6.555,1,0.0284,0.808,0,0.0997,0.0969,135.393,4
spotify:track:1e1CigqWGhv9Cd9K3mgFti,"Sonrisa","Sonrisa","Ana Torroja",2010-07-20,258200,35,false,5forty,2012-09-05T03:00:37Z,"latin pop","Ariola",0.663,0.897,2,-1.029,1,0.0318,0.032,0,0.0939,0.892,130.98,4
spotify:track:74QZABwCWgsb9wkLspBAEs,"Dance Floor","Travellers in Space and Time","The Apples In Stereo",2010-04-20,242933,0,false,5forty,2012-09-05T03:00:37Z,"power pop,neo-psychedelic","Yep Roc Records",0.691,0.803,0,-4.684,1,0.0295,0.0301,0,0.24,0.954,128.033,4
spotify:track:7ayGKkTqmx4zQVvbTGCCf6,"Airplanes - feat. Hayley Williams of Paramore","Airplanes [feat. Hayley Williams of Paramore] (Explicit)","B.o.B",2010-04-13,181106,0,false,5forty,2012-09-05T03:00:37Z,"","Rebel Rock/Grand Hustle/Atlantic",0.656,0.865,6,-4.308,0,0.126,0.106,0,0.0342,0.41,93.034,4
spotify:track:2tbIYhvryFKJpm9GoEFXHQ,"Write About Love","Write About Love","Belle and Sebastian",2010-10-11,173426,0,false,5forty,2012-09-05T03:00:37Z,"baroque pop","Rough Trade",0.612,0.727,7,-5.692,0,0.0268,0.0533,0,0.0693,0.773,131.886,4
spotify:track:3fqMnHZu3GW2Ru4D2rpeRS,"Boyfriend","Crazy For You","Best Coast",2010-08-02,149813,0,false,5forty,2012-09-05T03:00:37Z,"surf rock","Best Coast",0.248,0.874,0,-3.85,1,0.0528,0.106,0.0887,0.134,0.552,114.877,4
spotify:track:2rxfHBai4BOraDIIRgeMZI,"Shutterbugg","Sir Lucious Left Foot...The Son Of Chico Dusty","Big Boi;Cutty",2010-01-01,215240,0,true,5forty,2012-09-05T03:00:37Z,"southern hip hop","Universal Music Group",0.611,0.902,2,-5.213,1,0.353,0.291,0,0.125,0.52,98.252,4
spotify:track:1133iOkr2WaDU95qsVnkpK,"Rinse Me Down","Flaws","Bombay Bicycle Club",2010-01-01,190248,0,false,5forty,2012-09-05T03:00:37Z,"indie rock,indie","Universal Music Group",0.659,0.836,4,-8.075,1,0.0278,0.276,0.276,0.138,0.969,149.987,4
spotify:track:32fmQsWSAaDas2MJRyMSGG,"The Ghost Inside","Broken Bells","Broken Bells;Danger Mouse;James Mercer",2010-03-01,198040,55,false,5forty,2012-09-05T03:00:37Z,"","Columbia",0.869,0.7,2,-4.966,1,0.0419,0.0571,0.414,0.0691,0.983,103.983,4
spotify:track:4279W7mrVtQxgf3WHXbMnR,"All To All","Forgiveness Rock Record","Broken Social Scene",2010-05-10,289506,0,false,5forty,2012-09-05T03:00:37Z,"baroque pop,indie rock,indie","Arts & Crafts Productions Inc.",0.625,0.726,7,-10.859,1,0.0616,0.0308,0.501,0.141,0.104,131.987,4
spotify:track:20v5dIEU3GEsIaPai2TksQ,"Odessa","Odessa","Caribou",2010-03-08,315506,0,false,5forty,2012-09-05T03:00:37Z,"idm","Caribou",0.697,0.917,1,-5.628,1,0.039,0.00331,0.069,0.388,0.629,118.045,4
spotify:track:65NdV3GOF8ItlvF8WXYj6k,"Forget You","The Lady Killer","CeeLo Green",2010-11-08,222733,0,false,5forty,2012-09-05T03:00:37Z,"","Radiculture/Elektra",0.696,0.875,0,-3.682,1,0.0649,0.134,0,0.159,0.772,127.39,4
spotify:track:06BoKUwRoskASDa4Aha5xM,"Baptism","Crystal Castles (II)","Crystal Castles",2010-01-01,252933,0,false,5forty,2012-09-05T03:00:37Z,"witch house,electroclash,new rave,alternative dance","Universal Music Group",0.688,0.819,11,-4.841,0,0.042,0.00282,0.564,0.819,0.144,119.959,4
