Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7GnW7WvfipmhZcxW8V4ntP,"Let's Make A Vow","Let's Make A Vow","Diamond Messages",2010-10-04,236039,6,false,,2011-01-31T17:58:44Z,"chillwave","Spontaneous Rhythm",0.63,0.763,11,-9.444,0,0.0265,0.239,0.877,0.202,0.674,89.974,4
spotify:track:2gQ6lUKvLkqACoVYqSZlka,"The Magic","The Magic","Joan As Police Woman",2011-01-17,248480,0,false,,2011-01-31T18:15:46Z,"","Play It Again Sam",0.651,0.813,1,-6.254,1,0.0838,0.0968,0.252,0.294,0.803,77.314,4
spotify:track:1dOdSnIe2RJTystXBbtsNt,"Adapt","Red Barked Tree","Wire",2011-01-10,171466,17,false,,2011-01-31T19:32:01Z,"post-punk,proto-punk,new wave,punk","pinkflag",0.466,0.615,6,-7.142,0,0.0313,0.000466,0.645,0.11,0.213,88.049,4
spotify:track:5q7RAvP1TtgThWy1YJIw5Y,"Smash","Red Barked Tree","Wire",2011-01-10,235240,5,false,,2011-01-31T19:32:01Z,"post-punk,proto-punk,new wave,punk","pinkflag",0.437,0.808,6,-5.104,0,0.0331,0.000157,0.866,0.231,0.118,133.498,4
spotify:track:05y76fny5G6WOhH4QsVgow,"Country Boy","Kilimanjaro","Superpitcher",2010-09-06,590573,0,false,,2011-01-31T19:32:57Z,"minimal techno","Kompakt",0.698,0.645,7,-14.267,0,0.034,0.000692,0.0674,0.412,0.384,120.027,4
spotify:track:3uIHkjUoyl7ydUyQncaCJi,"Gaze","Zeroes QC","SUUNS",2010-10-11,236946,0,false,,2011-01-31T19:32:57Z,"space rock","Secretly Canadian",0.456,0.95,5,-4.075,1,0.0396,0.00265,0.0817,0.577,0.0787,103.03,4
spotify:track:6vaXpbb52THofI3MAD3t9P,"Arena","Zeroes QC","SUUNS",2010-10-11,311573,0,false,,2011-01-31T19:32:57Z,"space rock","Secretly Canadian",0.705,0.848,3,-7.036,1,0.0288,0.0155,0.739,0.0929,0.584,124.922,4
spotify:track:3AyjOLMO1xAgF5Wb45OEzj,"Longtime","Longtime","Star Slinger",2010-11-22,184905,0,false,,2011-01-31T19:33:05Z,"chillwave","Star Slinger",0.579,0.728,4,-5.499,1,0.255,0.0202,0.0000419,0.39,0.317,80.993,4
spotify:track:5PrcE7i8mjRjcFBGnppcMM,"All You Need","All You Need","Miss Kittin",2011-01-10,457293,0,false,,2011-01-31T19:34:02Z,"electroclash","mobilee records",0.803,0.579,7,-8.837,1,0.0445,0.0000871,0.88,0.0897,0.601,123.992,4
spotify:track:3oQGwMBSK8689jSNSujEBr,"Austere","Austere","The Joy Formidable",2011-01-14,210200,6,false,,2011-02-01T10:23:01Z,"","Canvasback/ATL",0.463,0.879,2,-4.609,1,0.0446,0.00273,0.705,0.311,0.313,144.957,4
spotify:track:39aItYDf9MzUH6ymAE4ZiX,"Good Day to Day","Good Day Today / I Know","David Lynch",2010-11-28,281053,0,false,,2011-02-01T10:23:01Z,"dark ambient","Sunday Best",0.785,0.564,5,-8.665,1,0.0478,0.0483,0.643,0.361,0.599,136.322,3
spotify:track:0cRWYlLWojsTytHtwSldrI,"Focus Up","Fish Market Part 2","Chali 2na;Laid Law;Ang13;Raw Power;Shockwave;Street Cred",2010-08-09,236306,0,false,,2011-02-01T10:23:01Z,"hardcore punk,hardcore,punk,grindcore,thrash metal,skate punk","Decon",0.731,0.858,1,-4.241,1,0.331,0.361,0.0000129,0.271,0.783,99.985,4
spotify:track:1JsxSm3HE8tpZ4LJAB6XBS,"Yoyo - Radio Edit","Yoyo","Fujiya & Miyagi",2011-01-09,184200,0,false,,2011-02-01T10:23:01Z,"krautrock","Full Time Hobby",0.601,0.854,3,-6.634,1,0.0587,0.204,0.324,0.271,0.455,120.326,4
spotify:track:6q7k2wY23S7fHzgeyNO4Ni,"Cutting Time","Herself","Console",2010-11-26,240106,0,false,,2011-02-01T10:23:01Z,"electroclash","Disko B",0.803,0.802,1,-8.718,0,0.107,0.22,0.926,0.117,0.737,109.995,4
spotify:track:1iwp6FL5L5hyFCa7Ek3Nkx,"Your Dogs","Lonely Avenue","Ben Folds;Nick Hornby",2010-09-24,201453,17,false,,2011-02-01T10:23:01Z,"","Nonesuch",0.441,0.887,5,-7.266,1,0.0512,0.0642,0.000029,0.554,0.523,137.534,4
spotify:track:4lTHxq7C7Vl0bKilwCw0Tw,"Kitty Cat","Zooper Dooper - EP","Jim Noir",2010-11-15,190026,0,false,,2011-02-01T10:23:01Z,"","JimNoir.com",0.744,0.639,5,-9.042,0,0.0355,0.000182,0.806,0.371,0.852,100.02,4
spotify:track:5Jemwlc27ZWioL3Q5YOrTk,"Everybody Knows It's True","The Wants","The Phantom Band",2010-10-18,257093,0,false,,2011-02-01T10:23:01Z,"","Chemikal Underground Records",0.626,0.59,9,-7.904,0,0.028,0.461,0.154,0.107,0.69,131.957,4
spotify:track:2JOT1kjum1B5CZ4aiYAeqz,"Juveniles","Lisbon","The Walkmen",2010-10-11,265920,0,false,,2011-02-01T10:23:01Z,"indie rock","Bella Union",0.461,0.491,2,-8.073,1,0.0306,0.000115,0.00000409,0.258,0.292,134.075,4
spotify:track:12BRqP51zyLQTZZcQj2waf,"Hammer Down","Green Machinery","And The Relatives",2010-10-12,181388,0,false,,2011-02-01T10:23:01Z,"","Yk Records / Theory 8",0.477,0.95,2,-6.279,1,0.0648,0.000329,0.000476,0.379,0.652,109.961,4
spotify:track:77NAupLbS92mB2OEwRaAda,"Ballroom","Cry Out Loud","Las Robertas",2010-10-12,132680,2,false,,2011-02-01T10:23:01Z,"latin indie,latin rock,neo-psychedelic","Art Fag Recordings",0.322,0.979,9,-7.575,0,0.0537,0.0139,0.00182,0.159,0.695,148.585,4
spotify:track:3RNTeGXxbvJjzkzN4hEKjA,"I Follow Rivers","I Follow Rivers","Lykke Li",2008,228466,8,false,,2011-02-01T10:23:01Z,"","Atlantic Records UK",0.599,0.533,9,-14.032,0,0.0472,0.475,0.00153,0.235,0.607,122.262,4
spotify:track:1XPTqqZPR8rbPLk4hmPB4a,"Hot Mess","Business Casual","Chromeo",2010-09-26,219175,0,false,,2011-02-01T10:23:01Z,"nu disco,alternative dance","Back Yard Recordings",0.828,0.79,7,-5.023,1,0.0449,0.035,0.0179,0.0238,0.946,126.942,4
spotify:track:0l8eUz3H6naleUKUrCgKLW,"Ain't Nobody - Breakage's Suck It Up Mix","Ain't Nobody","Clare Maguire;James Boyle",2010-01-01,297613,16,false,,2011-02-01T10:23:01Z,"","Polydor Records",0.455,0.497,0,-7.276,0,0.0416,0.000729,0.199,0.218,0.0633,71.956,4
spotify:track:5CrdAzFOvgwepDZoFZOu0m,"Chocolate Money","Chocolate Money EP","Kelpe",2010-11-29,242132,0,false,,2011-02-01T10:23:01Z,"idm,glitch","Fremdtunes",0.611,0.818,4,-7.881,0,0.0814,0.0311,0.814,0.216,0.241,88.982,4
spotify:track:3CEOn5SS9HFyEcN40s0BaG,"NY Is Killing Me","NY Is Killing Me","Gil Scott-Heron;Jamie xx",2010-11-29,347013,0,false,,2011-02-02T14:24:37Z,"spoken word,jazz funk","XL Recordings",0.791,0.567,11,-9.081,0,0.125,0.0061,0.0179,0.0769,0.148,140.046,4
spotify:track:21ll6HIgMe7AVHigFve0sY,"Shark Ridden Waters","Shark Ridden Waters","Gruff Rhys;Andy Votel",2010-11-07,263133,0,false,,2011-02-02T15:05:53Z,"","OVNI",0.56,0.897,9,-6.556,0,0.05,0.168,0.0379,0.447,0.646,130.678,4
spotify:track:44Q1QGgYuGX7vl5tgfrHNO,"Wouh","Wouh","Nicolas Jaar",2011-01-03,446014,0,false,,2011-02-02T22:20:08Z,"downtempo,electronica","Clown and Sunset",0.708,0.36,5,-13.166,0,0.0846,0.28,0.801,0.0757,0.133,168.032,4
spotify:track:6KPxFHbvjMjnVWo9HK7aXq,"Cash and Carry Me Home - Original","Cash and Carry Me Home","Ghostpoet",2010,216213,0,false,,2011-02-02T22:22:44Z,"spoken word","Brownswood Recordings",0.38,0.796,0,-9.609,1,0.383,0.282,0.0723,0.0827,0.683,159.853,5
spotify:track:39GF3jy1DZtG2BfzOvT9qz,"Buy Nothing Day","Buy Nothing Day","The Go! Team",2010,239066,0,false,,2011-02-03T09:28:00Z,"plunderphonics,alternative dance","Memphis Industries",0.237,0.784,4,-3.683,1,0.0529,0.0000139,0.0571,0.296,0.454,141.24,4
spotify:track:7e9CPFmV8t2JICcCAV4GUj,"I'm Week","I'm Week","Nina Kraviz",2011-01-09,500600,0,true,,2011-02-08T06:50:48Z,"techno,minimal techno","Rekids",0.807,0.616,4,-10.33,0,0.119,0.0462,0.702,0.105,0.108,119.986,4
spotify:track:6wzw4AbHD1cCSLiBckwhiH,"Trans Forest Alignment","Trans Forest Alignment","Luke Abbott",2011-01-23,294000,0,false,,2011-02-08T06:52:20Z,"idm","Border Community",0.471,0.469,9,-11.015,1,0.037,0.129,0.894,0.113,0.0383,125.982,3
spotify:track:39kda4vJkRiDSbIMVFAdXR,"Rano Pano","Rano Pano","Mogwai",2011-01-18,316920,0,false,,2011-02-10T10:39:45Z,"post-rock,shoegaze,math rock","Rock Action Records",0.344,0.766,1,-5.962,0,0.0523,0.000138,0.918,0.128,0.151,93.004,4
spotify:track:0v42A9JGXvimY685pEXErO,"The One","Never Follow Suit","The Radio Dept.",2010-01-01,166095,4,false,,2011-02-10T10:54:41Z,"dream pop,shoegaze","Unknown",0.554,0.765,11,-6.189,1,0.0499,0.000168,0.269,0.111,0.592,161.952,4
spotify:track:6b1CoIYge69vukwpJs1z60,"Never Listen To Me","Never Listen To Me - 7 inch","The Thermals",2010-10-19,270413,0,false,,2011-02-10T10:55:35Z,"","Kill Rock Stars",0.669,0.693,4,-8.354,1,0.026,0.0114,0.0946,0.106,0.794,134.145,4
spotify:track:4GC6X2HV0D754ETdPT7Cck,"The Wilhelm Scream","James Blake","James Blake",2011-01-01,273840,0,false,,2011-02-10T17:38:04Z,"","Polydor",0.546,0.291,7,-12.252,1,0.138,0.784,0.931,0.0894,0.363,169.96,4
spotify:track:7KCsTbRrqzu1mzI5HSCzuI,"Battle For Middle You","Everyone Needs A Theme Tune","Julio Bashmore",2011-01-10,370866,0,false,,2011-02-12T09:23:05Z,"","PMR Records",0.585,0.676,2,-5.151,0,0.13,0.0135,0.936,0.0702,0.49,125.982,4
spotify:track:7KMrLon5RiiasKX5tbp4P7,"Ordinary Things","You Always Start It / Ordinary Things","XXXY",2011-01-31,418851,0,false,,2011-02-12T09:23:05Z,"uk funky,ballroom vogue","Ten Thousand Yen",0.574,0.875,9,-5.707,0,0.0336,0.0003,0.818,0.147,0.277,129.99,4
spotify:track:7h8Ud480Fm4ReUVxgFF9ZX,"Rolling In The Deep","Rolling In The Deep","Adele",2011-01-16,228293,0,false,,2011-02-12T09:23:05Z,"soft pop","XL Recordings",0.729,0.777,8,-5.112,1,0.0293,0.13,0,0.0541,0.527,104.946,4
spotify:track:60sx8fJKO61Bw8a7K1fl3f,"Do It Again","Do It Again","Edwyn Collins",2010-12-06,194480,0,false,,2011-02-13T09:55:29Z,"britpop","Edwyn Collins",0.533,0.822,11,-7.651,0,0.0296,0.00157,0.00178,0.105,0.6,135.932,4
spotify:track:3oUGUmpzO5TqmWZVWZB1e7,"Make You Mine","With All Due Respect","Incarnations",2010-11-15,236360,0,false,,2011-02-13T09:55:29Z,"yacht rock","Lovemonk",0.697,0.728,4,-9.59,0,0.0365,0.0532,0.68,0.742,0.763,112.62,4
spotify:track:3EAzg5Q8rugt9UE9i6uBLY,"Solid Ground","Solid Ground","Maps & Atlases",2010-09-20,170479,0,false,,2011-02-13T09:55:29Z,"math rock","FatCat Records",0.6,0.686,4,-6.984,1,0.0594,0.512,0.0000084,0.172,0.351,132.937,4
spotify:track:3HhKWOvMjoe4lgzKtr8WUf,"Thinking","Shady Retreat","Peasant",2010-03-01,138160,0,false,,2011-02-13T09:55:29Z,"indie folk","Paper Garden Records",0.473,0.354,0,-9.021,1,0.0278,0.899,0.0000211,0.105,0.186,110.743,4
spotify:track:0L1Sn1UsgcDnyUgMsxxF7X,"Unbearable Why","Shame Shame (Deluxe Edition)","Dr. Dog",2010-04-06,193146,0,false,,2011-02-13T09:55:40Z,"","Anti/Epitaph",0.614,0.777,9,-4.312,1,0.0296,0.00362,0.00000361,0.169,0.819,114.836,4
spotify:track:3HMNNL6R1zMx71YrG9hwue,"Summer Well","Interpol","Interpol",2010-09-07,242520,0,false,,2011-02-13T09:55:40Z,"indie rock,post-punk","Soft Limit",0.588,0.773,6,-7.205,0,0.0316,0.0000948,0.0532,0.114,0.646,126.005,4
spotify:track:4U4sogxeLrhXgLSTNaHFO2,"Time Of The Season","Hawk","Isobel Campbell;Mark Lanegan",2010-08-16,267106,0,false,,2011-02-13T09:55:40Z,"southern gothic,grunge","Isobel Campbell",0.442,0.551,2,-11.042,1,0.0333,0.221,0.768,0.133,0.647,108.082,4
spotify:track:7p3VTUnNKS9yaVER8krKfI,"Sleep Forever","Sleep Forever","Crocodiles",2010-07-05,249449,0,false,,2011-02-13T09:55:40Z,"neo-psychedelic,space rock,garage rock","Fat Possum Records",0.396,0.935,2,-3.477,1,0.0528,0.0000564,0,0.128,0.281,120.011,4
spotify:track:3pU7akM7R9MR7kv1zIQDnq,"Slow Man","Slow Man","Sage Francis",2010-03-29,218280,0,false,,2011-02-13T09:55:40Z,"underground hip hop,spoken word","Anti/Epitaph",0.531,0.675,9,-7.057,0,0.117,0.607,0,0.152,0.721,167.954,4
spotify:track:6diVLXxSVdHlE90tek2pHW,"No Silver","No Silver","Chris Bathgate",2011-01-11,173334,0,false,,2011-02-13T09:59:13Z,"indie folk","Quite Scientific Records",0.527,0.474,2,-12.132,1,0.0314,0.517,0.717,0.533,0.309,78.038,4
spotify:track:4RpBtp92wvSEaCeMflusPr,"Something Strawberry","Space City Kicks","Robert Pollard",2011-01-18,83373,2,false,,2011-02-13T09:59:13Z,"power pop,lo-fi indie","GBV Inc",0.494,0.789,7,-5.436,1,0.066,0.127,0,0.0796,0.487,140.226,4
spotify:track:0AshLrs2EiEhjn1cQlSPkz,"Bowl Cut (featuring Madeline of Cults)","Bowl Cut (featuring Madeline of Cults) - Single","DoM",2011-01-14,132349,6,false,,2011-02-13T09:59:13Z,"","Black Bell Records",0.521,0.932,5,-5.611,1,0.0559,0.00927,0.0123,0.327,0.817,143.05,4
spotify:track:2z6S1NaU6AacL34eWYXqh4,"Knee-Hi Wall","HONORS","Ben + Vesper",2010,197333,0,false,,2011-02-13T09:59:13Z,"","Soundsfamilyre",0.72,0.569,0,-8.3,1,0.0343,0.239,0.00041,0.125,0.146,109.382,4
spotify:track:3PSdJ1jgE4gLEUJzUefwKy,"Shatter Your Lungs","There Are Rules","The Get Up Kids",2011-01-30,169440,0,false,,2011-02-13T09:59:13Z,"midwest emo,emo,pop punk,post-hardcore","Quality Hill Records",0.603,0.739,7,-5.045,1,0.0304,0.000177,0.614,0.146,0.797,96.002,4
