Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0jvtOoxOKJvAjveBSmffHL,"Good Girls (Don’t Get Used)","Blame Game","Beach Bunny",2021-01-15,215402,0,false,spanky808,2021-01-15T00:24:38Z,"","Mom+Pop",0.667,0.901,8,-4.221,1,0.0514,0.0178,0.000667,0.0825,0.714,150.015,4
spotify:track:6hU3sMzfa0Vk9NN1RCh2Fi,"Nigel Hitter","Drunk Tank Pink","shame",2021-01-15,204306,0,false,spanky808,2021-01-16T12:06:11Z,"post-punk","Dead Oceans",0.585,0.8,11,-5.926,0,0.0727,0.000195,0.0000345,0.118,0.798,130.105,4
spotify:track:0FePGJw4QyevshL7TYs7zD,"My Candidacy","Cheater","Pom Poko",2021-01-15,184270,15,false,spanky808,2021-01-18T00:33:01Z,"","Bella Union",0.33,0.801,11,-6.608,0,0.0602,0.0119,0.000192,0.127,0.485,100.114,4
spotify:track:5Ytzz6hiAzOLevb8WFoCHi,"Emotional Rent Control","Emphatically No.","Cheekface",2021-01-11,179173,24,false,spanky808,2021-01-19T12:38:12Z,"","New Professor Music",0.851,0.638,9,-5.356,1,0.051,0.39,0,0.147,0.966,121.013,4
spotify:track:7nT5fEg4ppktJvlKIu4OlC,"Russian Winter","All Bets Are Off","Tamar Aphek",2021-01-29,144986,0,false,spanky808,2021-01-31T11:54:42Z,"","Kill Rock Stars",0.191,0.941,0,-3.075,1,0.199,0.13,0.000196,0.23,0.48,171.863,4
spotify:track:4KNZbUyHB621eud1coXq8W,"White Sands","The Last Exit","Still Corners",2021-01-22,335600,0,false,spanky808,2021-01-31T11:56:01Z,"dream pop","Wrecking Light Records",0.485,0.75,9,-7.687,0,0.0307,0.293,0.884,0.119,0.308,161.061,4
spotify:track:2H5yBXvTDA6EpQ7OTOun1m,"80 Days of Rain","Going to Hell","Lande Hekt",2021-01-22,220595,0,true,spanky808,2021-02-04T16:32:15Z,"","Get Better Records",0.593,0.592,2,-8.981,1,0.0263,0.0248,0.0000255,0.108,0.65,132.989,4
spotify:track:5WW4wzKmoXdoy9t6t5cCh6,"Microwave","Letting Out the Slack","Career",2021-02-05,222080,0,false,spanky808,2021-02-05T21:55:02Z,"","Bingo Records",0.727,0.611,7,-10.053,1,0.0379,0.0106,0.243,0.0748,0.842,98.193,4
spotify:track:2AqX1bNBoHIYlfgVF71HOS,"Bywater - Alternate version","Bywater (Alternate version)","Throwing Muses",2021-02-11,208329,0,false,spanky808,2021-02-11T18:26:47Z,"riot grrrl","Fire Records",0.488,0.309,4,-15.042,1,0.0304,0.24,0.00376,0.123,0.255,81.161,3
spotify:track:2EVxUX6fktYUssLLZqNNVi,"Irate","Irate","Anorak Patch",2021-01-22,200575,0,false,spanky808,2021-02-11T18:57:07Z,"","Nice Swan Recordings",0.528,0.904,11,-9.487,0,0.0312,0.0000165,0.749,0.224,0.177,125.007,4
spotify:track:06N6ccfQmiQ182mvvatDvD,"Donna Said","Donna Said","Pardoner",2021-02-03,168868,0,false,spanky808,2021-02-13T08:43:41Z,"egg punk","Bar/None Records",0.391,0.818,0,-5.781,1,0.0416,0.0000181,0.555,0.204,0.393,128.22,4
spotify:track:12AvvUwWyOQJEW7YTLzG5M,"Ballroom Dance Scene","Ballroom Dance Scene","Horsegirl",2020-11-06,208853,38,false,spanky808,2021-02-24T07:13:54Z,"lo-fi indie","Dropkick Records",0.255,0.489,9,-11.008,0,0.0326,0.211,0.0974,0.0821,0.203,100.107,4
spotify:track:7yBwhVl7W0YT5cCMw8MOjW,"Ritchie Sacramento","As The Love Continues","Mogwai",2021-02-19,252266,42,false,spanky808,2021-03-02T20:30:41Z,"post-rock,shoegaze,math rock","Rock Action Records",0.396,0.727,0,-7.501,1,0.0316,0.000399,0.82,0.165,0.107,137.113,4
spotify:track:5MO99dTzPEKVx86H9KdV8P,"Alright Lads","Nervous Twitch","Nervous Twitch",2021-01-29,143124,0,false,spanky808,2021-03-02T20:31:56Z,"","Reckless Yes Records",0.482,0.554,2,-8.391,1,0.0269,0.074,0.0000499,0.132,0.834,90.944,4
spotify:track:6nkWUQhwDgpUJX1PjY0mH5,"Joyrider","Joyrider","Petite League",2021-01-08,171111,0,false,spanky808,2021-03-03T12:49:52Z,"surf rock","Zap World Records",0.485,0.637,9,-9.595,1,0.0309,0.284,0.853,0.1,0.592,134.999,4
spotify:track:00ISBVYGbjAFPO6WrbOSyF,"Doesn't Matter, No One Cares","An Argument with an Idiot","Farewell Horizontal",2021-01-27,151818,0,false,spanky808,2021-03-03T12:52:16Z,"","Farewell Horizontal",0.441,0.931,0,-9.693,1,0.0583,0.00143,0.191,0.0925,0.674,152.952,4
spotify:track:1CICnma5MtKf2xP0xtPtxX,"After You","Suns Out Guns Out","The Martha's Vineyard Ferries",2021-02-26,192840,0,false,spanky808,2021-03-03T13:35:15Z,"drone metal,noise rock","Ernest Jenning Record Co.",0.215,0.895,4,-8.204,0,0.0953,0.024,0.704,0.268,0.295,174.808,4
spotify:track:5wLSGn8IHBoGHR2BAt1gIF,"Fly So High I See Clear Below","Fly So High I See Clear Below","Kitty Kat Fan Club",2021-02-04,218720,0,false,spanky808,2021-03-03T13:50:23Z,"","Asian Man Records",0.429,0.894,4,-4.718,1,0.0652,0.0203,0,0.236,0.445,149.909,4
spotify:track:5Uw2IfCsydIZNhuHpB1A06,"Darkwaters","Darkwaters","Spotlight Kid",2021-02-26,218000,1,false,spanky808,2021-03-05T06:36:15Z,"shoegaze,dream pop,neo-psychedelic","Spotlight Kid",0.415,0.959,11,-5.145,0,0.0393,0.0149,0.907,0.283,0.368,147.954,4
