Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7gbs274CmEorDmQuOYzaud,"Trap And A Dream (feat. Meek Mill)","Still Striving","A$AP Ferg;Meek Mill",2017-08-18,189679,43,true,5forty,2017-10-07T23:33:54Z,"rap","RCA Records Label",0.611,0.804,1,-5.633,1,0.276,0.041,0,0.418,0.374,162.087,4
spotify:track:6YVbCxw3Yqyj4dRomrXPhl,"Rubber Band Man (feat. Cam'ron)","Still Striving","A$AP Ferg;Cam'ron",2017-08-18,205744,43,true,5forty,2017-10-07T23:33:54Z,"rap,east coast hip hop","RCA Records Label",0.652,0.905,1,-4.113,1,0.11,0.119,0.00346,0.109,0.265,156.051,4
spotify:track:2y2jjey8QYUQOIsXMqUqHM,"Olympian (feat. Dave East)","Still Striving","A$AP Ferg;Dave East",2017-08-18,211277,36,true,5forty,2017-10-07T23:33:54Z,"rap,east coast hip hop","RCA Records Label",0.853,0.583,8,-4.563,1,0.281,0.15,0.00000252,0.0864,0.365,160.026,4
spotify:track:7L7vZ846kZz5PRCC0DOUWx,"Aww Yeah (feat. Lil Yachty)","Still Striving","A$AP Ferg;Lil Yachty",2017-08-18,194567,34,true,5forty,2017-10-07T23:33:54Z,"rap","RCA Records Label",0.759,0.618,0,-6.748,1,0.0448,0.0194,0.000117,0.12,0.134,120.956,4
spotify:track:4gpmL5xSZeHssgyIP3UuPS,"What Do You Do (feat. NAV)","Still Striving","A$AP Ferg;NAV",2017-08-18,176871,41,true,5forty,2017-10-07T23:33:54Z,"rap,melodic rap","RCA Records Label",0.819,0.713,8,-5.623,0,0.304,0.358,0.0000163,0.0947,0.506,152.016,4
spotify:track:5t6TLAir3OS0dal0B5PaZU,"Coach Cartier (feat. Famous Dex)","Still Striving","A$AP Ferg;Famous Dex",2017-08-18,181431,34,true,5forty,2017-10-07T23:33:54Z,"rap","RCA Records Label",0.863,0.451,1,-5.968,1,0.0647,0.0708,0.00028,0.217,0.0422,126.98,4
spotify:track:0EoJCSeuAq9Ilw2AesTBUu,"Mad Man (feat. Playboi Carti)","Still Striving","A$AP Ferg;Playboi Carti",2017-08-18,159015,51,true,5forty,2017-10-07T23:33:54Z,"rap,rage rap","RCA Records Label",0.654,0.762,1,-3.994,1,0.0705,0.0956,0,0.171,0.0728,132.1,4
spotify:track:4dVpf9jZjcORqGTLUaeYj9,"Plain Jane","Still Striving","A$AP Ferg",2017-08-18,173601,69,true,5forty,2017-10-07T23:33:54Z,"rap","RCA Records Label",0.797,0.844,11,-5.482,1,0.275,0.0651,0,0.087,0.52,170.142,4
spotify:track:76T8y91xMLWJgfsEsmWGxW,"Nasty (Who Dat) (feat. Migos)","Still Striving","A$AP Ferg;Migos",2017-08-18,209815,41,true,5forty,2017-10-07T23:33:54Z,"rap,trap","RCA Records Label",0.661,0.636,4,-4.551,0,0.118,0.0203,0.0000225,0.378,0.428,179.041,4
spotify:track:35fIdI07pqeNT7hyCBh1bN,"Mattress REMIX (feat. A$AP Rocky, Playboi Carti, Rich The Kid & Famous Dex)","Still Striving","A$AP Ferg;A$AP Rocky;Playboi Carti;Rich The Kid;Famous Dex",2017-08-18,272681,40,true,5forty,2017-10-07T23:33:54Z,"rap,rage rap,trap","RCA Records Label",0.815,0.824,1,-2.709,1,0.0761,0.0083,0,0.351,0.29,120.031,4
spotify:track:7a8CUx6YsjWAC6Ka5VoK26,"One Night Savage (feat. MadeinTYO)","Still Striving","A$AP Ferg;MadeinTYO",2017-08-18,152633,33,true,5forty,2017-10-07T23:33:54Z,"rap","RCA Records Label",0.71,0.837,4,-5.436,0,0.214,0.661,0.00000581,0.16,0.659,81.099,4
spotify:track:3m4khUCvqSz5Rv2QS14rUh,"East Coast REMIX (feat. Busta Rhymes, A$AP Rocky, Dave East, French Montana, Rick Ross & Snoop Dogg)","Still Striving","A$AP Ferg;Busta Rhymes;A$AP Rocky;Dave East;French Montana;Rick Ross;Snoop Dogg",2017-08-18,335582,46,true,5forty,2017-10-07T23:33:54Z,"rap,east coast hip hop,southern hip hop,g-funk,west coast hip hop,gangster rap,old school hip hop,hip hop","RCA Records Label",0.678,0.871,1,-2.461,0,0.268,0.0799,0,0.369,0.329,134.37,4
spotify:track:5kk89RYrVuGGNtE2pilxci,"Nandos","Still Striving","A$AP Ferg",2017-08-18,175201,35,true,5forty,2017-10-07T23:33:54Z,"rap","RCA Records Label",0.79,0.654,10,-5.568,0,0.226,0.0388,0,0.125,0.515,136.938,4
spotify:track:3bu5pVBlfkCYJo3BXxGRzh,"Tango","Still Striving","A$AP Ferg",2017-08-18,272746,28,true,5forty,2017-10-07T23:33:54Z,"rap","RCA Records Label",0.484,0.805,1,-3.851,1,0.31,0.51,0,0.104,0.289,83.466,4
