Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1KfZEtz27WzneakNodgWmO,"Love Stands Tall","Forever","Siracuse",2020-06-26,281378,0,false,jeremypopscene,2021-01-06T01:12:22Z,"","NONE",0.346,0.693,7,-7.274,0,0.0358,0.00000826,0.000187,0.153,0.128,140.995,4
spotify:track:7EZrGX3urJ1gaJTwkU61h3,"Wildfire","Accepting the Universe","Are We Static",2020-11-27,211896,0,false,jeremypopscene,2021-01-06T01:13:25Z,"","Vibrant Sky Records Ltd.",0.486,0.841,7,-7.603,1,0.077,0.0016,0.000222,0.687,0.183,139.993,4
spotify:track:79sEGB84EC9Qva7k5mygtK,"Shock Collar","Shock Collar","HUMANIST;Dave Gahan",2020-01-13,240000,0,false,jeremypopscene,2021-01-06T01:13:41Z,"alternative dance","Ignition Records",0.337,0.703,1,-2.648,1,0.045,0.00000395,0.864,0.069,0.285,127.998,4
spotify:track:1xb4zVBQNZBdk4pUZFuO1o,"All I Hear","The Joy Of The Return","The Slow Readers Club",2020-03-20,202173,0,false,jeremypopscene,2021-01-06T01:14:06Z,"","Modern Sky UK",0.545,0.834,5,-5.242,1,0.0333,0.0000941,0.042,0.121,0.732,134.005,4
spotify:track:4vABfid496f3c2YWKBMU8s,"The Glow","THE GLOW","DMA'S",2020-07-10,174266,0,false,jeremypopscene,2021-01-06T01:14:29Z,"","Infectious Music",0.414,0.908,0,-4.09,1,0.0381,0.000013,0,0.249,0.764,149.956,4
spotify:track:5na5MPGEQglzwBYQOlNV5p,"Run","Run","Spunsugar",2020-08-06,211480,0,false,jeremypopscene,2021-01-06T01:14:49Z,"shoegaze,dream pop","Adrian Recordings",0.412,0.924,0,-5.425,0,0.042,0.000155,0.00304,0.296,0.537,136.988,4
spotify:track:0pRZh00Q9kRFjjXAv8xxnn,"Catalogue Kids","Catalogue Kids","Asylums",2020-01-31,200963,0,false,jeremypopscene,2021-01-06T01:15:10Z,"","Cool Thing Records",0.339,0.848,5,-5.619,0,0.0469,0.00000212,0.0000507,0.142,0.572,139.63,4
spotify:track:19ElcBjg5OQHx0eOLGGz5M,"Behave","Fall Better","VUKOVI",2020-01-24,189391,21,false,jeremypopscene,2021-01-06T01:15:55Z,"","VKVI",0.474,0.844,7,-6.448,1,0.0687,0.0000247,0.0397,0.39,0.397,115.125,4
spotify:track:2MNfpLPVSlj5b8hC0w1ahT,"You're Mine","Architecture","IST IST",2020-05-01,161933,0,false,jeremypopscene,2021-01-06T01:16:41Z,"post-punk,cold wave,darkwave,gothic rock","Ist Ist",0.437,0.978,9,-4.291,0,0.0976,0.0312,0.394,0.105,0.503,155.039,4
spotify:track:2vz6J5AmYo6Te8qWbUOQRD,"Felony","Felony / Rile 'Em Up","The Allergies",2020-03-27,197172,31,false,jeremypopscene,2021-01-06T01:17:23Z,"funk","Jalapeno Records",0.694,0.705,10,-6.357,0,0.0338,0.0053,0.767,0.299,0.65,122.091,4
