Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:31DVVa40JpTudyGDNC1ROW,"Everything in Its Right Place","Kid A","Radiohead",2000-10-02,251426,0,false,,1970-01-01T00:00:00Z,"art rock,alternative rock","Parlophone UK",0.293,0.462,5,-11.412,0,0.0453,0.699,0.0444,0.0954,0.0623,124.004,5
spotify:track:2W7PFU8zXwwEF60G9Yv2Yd,"The Typewriter","The Happy Electropop Music Machine","Dana Countryman;Jean-Jacques Perrey",2006-09-26,104026,16,false,,1970-01-01T00:00:00Z,"exotica,musique concrète","Oglio Entertainment",0.77,0.878,7,-9.658,1,0.063,0.0892,0.89,0.113,0.895,150.04,4
spotify:track:1VMWTc95qHGobhuTjX9Ftu,"Pnoom (Moon Up Mix)","Sacrilege","CAN",1997,57760,0,false,,1970-01-01T00:00:00Z,"krautrock,space rock,progressive rock,experimental,psychedelic rock,art rock,proto-punk","",0.721,0.589,9,-9.02,1,0.0664,0.097,0.933,0.104,0.991,143.221,4
spotify:track:34zt5X8z1Qldnos5epW6oE,"Boat Of Car","They Might Be Giants","They Might Be Giants",1986-01-01,75706,0,false,,1970-01-01T00:00:00Z,"","TMB Productions",0.365,0.247,0,-14.043,1,0.0793,0.833,0.00156,0.254,0.155,208.1,3
spotify:track:7sTc6PNeimyzBmBePI6olP,"Spanish Dance Troupe","Spanish Dance Troupe","Gorky's Zygotic Mynci",1999-10-04,196173,0,false,,1970-01-01T00:00:00Z,"britpop,neo-psychedelic","Mantra",0.503,0.595,11,-8.534,0,0.0407,0.716,0.00283,0.374,0.78,113.536,4
spotify:track:3r7sGen6PNQf6gX4J7Qh7J,"Feel Flows - Digitally Remastered '00","Sunflower/Surf's Up","The Beach Boys",2000,289573,0,false,,1970-01-01T00:00:00Z,"baroque pop","Capitol Records",0.524,0.311,0,-12.317,1,0.026,0.6,0.000244,0.294,0.382,94.042,4
spotify:track:6L5knGW68XjbUssat1oYPV,"The Revolution Will Not Be Televised - 1988 Remastered","The Revolution Will Not Be Televised","Gil Scott-Heron",1988-05-15,185333,0,false,,1970-01-01T00:00:00Z,"spoken word,jazz funk","RCA Records Label",0.662,0.525,11,-16.534,0,0.131,0.692,0.00000333,0.0946,0.965,90.21,4
spotify:track:6quvyNcOFpDEVoNOJIC9Vw,"Miss Gradenko - Remastered 2003","Synchronicity (Remastered)","The Police",1983-06-01,119946,0,false,pauliepaul,2010-04-07T21:37:52Z,"","Universal Music Group",0.737,0.661,9,-9.827,1,0.0561,0.179,0,0.0881,0.535,109.826,4
spotify:track:23YkAoitytGMBkqRbNW3WP,"Harry Irene","Shiny Beast (Bat Chain Puller)","Captain Beefheart & His Magic Band",1978,222533,15,false,,1970-01-01T00:00:00Z,"proto-punk,psychedelic rock,art rock,acid rock,avant-garde","Virgin Records",0.676,0.282,7,-13.733,1,0.0379,0.794,0,0.0526,0.431,104.093,4
spotify:track:2xPefgOOhMIZwhR4W3787D,"Blade Runner (Main Title)","Fright Flicks- The Sequel","The Hit Crew",2007-07-12,200586,0,false,,1970-01-01T00:00:00Z,"","Turn Up The Music",0.465,0.567,1,-12.471,0,0.037,0.0076,0.718,0.113,0.428,117.962,4
spotify:track:4aciazWcvOhWVkWsPYeTno,"Program","Silver Apples","Silver Apples",1968,245400,0,false,,1970-01-01T00:00:00Z,"krautrock,psychedelic rock,acid rock,experimental,space rock,avant-garde,proto-punk","Universal Music",0.57,0.751,7,-9.19,1,0.0977,0.201,0.000129,0.167,0.45,128.731,4
spotify:track:1jXPTQhqiahsgxZ9mGW5FC,"Track 1.","Introduction To The Story Of Spedy Sponda","Oren Marshall",2004,607693,0,false,,1970-01-01T00:00:00Z,"experimental jazz,contemporary classical,free jazz","Slowfoot Records",0.306,0.0254,5,-25.541,1,0.0603,0.992,0.918,0.102,0.0793,174.151,3
spotify:track:6YX6OvCQzoFelqxzjwVFla,"Technique","Swoon","Prefab Sprout",1984-03-12,277840,9,false,,1970-01-01T00:00:00Z,"","Columbia",0.438,0.404,8,-14.821,0,0.0403,0.227,0.000107,0.145,0.533,144.291,4
spotify:track:6vIKb0rpUbUuVE7iNR8asW,"This World of Water","FROM A TO B","New Musik",1980-01-01,217600,31,false,,1970-01-01T00:00:00Z,"synthpop,new wave","GTO",0.545,0.874,0,-7.965,0,0.0322,0.188,0.0634,0.212,0.88,184.36,4
spotify:track:4mTgcYdpcku1L2u880RpJf,"A New Career in a New Town - 1999 Remaster","Low (1999 Remaster)","David Bowie",1977-01-14,173266,0,false,,1970-01-01T00:00:00Z,"glam rock,art rock","Parlophone UK",0.63,0.787,0,-12.059,1,0.0717,0.0842,0.879,0.205,0.589,126.039,4
spotify:track:1iFA2XVgax2M6nOyUpxtDT,"Gilly Gilly Ossenfeffer Katzenellenbogen-by-the-Sea","The World Of Max Bygraves","Max Bygraves",2009-01-05,220653,0,false,,1970-01-01T00:00:00Z,"","Digital Distribution Latvia",0.605,0.234,3,-14.53,1,0.0328,0.778,0,0.663,0.773,131.738,4
