Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4jZ76JMnTlzAtA0FjPouH2,"People","Do You Imagine Things?","Alfie",2003,254400,14,false,5forty,2013-01-16T03:56:50Z,"neo-psychedelic,tech house,britpop","Parlophone UK",0.607,0.751,2,-7.035,1,0.0302,0.000228,0.0499,0.0985,0.644,150.816,4
spotify:track:6HjbYQ6ZsrRpCkfp56WrSl,"Stuntman","Do You Imagine Things?","Alfie",2003,197240,2,false,5forty,2013-01-16T03:56:50Z,"neo-psychedelic,tech house,britpop","Parlophone UK",0.487,0.708,2,-8.006,1,0.0633,0.336,0.0000395,0.106,0.236,79.509,4
spotify:track:1JqntOVvDr1nvSciJPqc5S,"Winding Roads","Do You Imagine Things?","Alfie",2003,236493,2,false,5forty,2013-01-16T03:56:50Z,"neo-psychedelic,tech house,britpop","Parlophone UK",0.497,0.434,7,-14.849,1,0.0457,0.765,0.036,0.155,0.436,172.015,4
spotify:track:7vTS6AwWoMCfbEN8MXvP5r,"No Need","Do You Imagine Things?","Alfie",2003,233800,2,false,5forty,2013-01-16T03:56:50Z,"neo-psychedelic,tech house,britpop","Parlophone UK",0.478,0.61,9,-8.646,1,0.0383,0.0164,0.172,0.103,0.677,157.996,4
spotify:track:3ykHUNGwvA7UILyPtiV56G,"Mollusc","Do You Imagine Things?","Alfie",2003,140040,1,false,5forty,2013-01-16T03:56:50Z,"neo-psychedelic,tech house,britpop","Parlophone UK",0.558,0.225,11,-14.279,0,0.0308,0.809,0.00891,0.175,0.395,124.103,4
spotify:track:6Re41nVVmi9ZSyQOTGcPcq,"Protracted","Do You Imagine Things?","Alfie",2003,274160,6,false,5forty,2013-01-16T03:56:50Z,"neo-psychedelic,tech house,britpop","Parlophone UK",0.535,0.479,9,-11.088,1,0.0289,0.58,0.791,0.0835,0.515,111.945,4
spotify:track:5oQAvR3HzsKfwyMBONH0br,"My Blood Smells Like Thunderstorms","Do You Imagine Things?","Alfie",2003,423840,1,false,5forty,2013-01-16T03:56:50Z,"neo-psychedelic,tech house,britpop","Parlophone UK",0.331,0.279,10,-11.181,1,0.0437,0.885,0.642,0.116,0.074,187.958,4
spotify:track:1hGwse9F0SehkWonqVoZPW,"Isobel","Do You Imagine Things?","Alfie",2003,152200,2,false,5forty,2013-01-16T03:56:50Z,"neo-psychedelic,tech house,britpop","Parlophone UK",0.431,0.163,7,-14.828,1,0.0311,0.967,0.0000341,0.108,0.302,90.142,4
spotify:track:5Dw0E9z2xQGHLBFivdcvVn,"Indoor League","Do You Imagine Things?","Alfie",2003,277933,1,false,5forty,2013-01-16T03:56:50Z,"neo-psychedelic,tech house,britpop","Parlophone UK",0.563,0.366,7,-12.233,1,0.0412,0.488,0.0000032,0.0995,0.152,143.912,4
spotify:track:1NPrhRW3A6ai7xQsrrVUAu,"Chop Chop","Do You Imagine Things?","Alfie",2003,277133,0,false,5forty,2013-01-16T03:56:50Z,"neo-psychedelic,tech house,britpop","Parlophone UK",0.583,0.419,0,-10.156,0,0.0275,0.513,0.27,0.205,0.506,170.009,4
spotify:track:4QyH87SstuMeuL4qTYXkHd,"Hey Mole (Contains Hidden Track 'Monserrat')","Do You Imagine Things?","Alfie",2003,752640,0,false,5forty,2013-01-16T03:56:50Z,"neo-psychedelic,tech house,britpop","Parlophone UK",0.298,0.000214,11,-12.701,0,0.0428,0.674,0.17,0.126,0.749,145.066,4
