Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2f2Nx9TLDh9AgMmfiw2Nuy,"Intro","Social Comment","All Good Funk Alliance;Swamburger Alexandrah",2006-04-25,142493,0,true,5forty,2015-02-19T03:50:24Z,"acid jazz,funk,breakbeat,jazz funk","Funk Weapons",0.774,0.548,9,-12.226,1,0.458,0.578,0,0.0904,0.951,109.919,4
spotify:track:4vx1eZxHmeCe8WO4XumezQ,"Codeword For A Change","Social Comment","All Good Funk Alliance;Swamburger Alexandrah",2006-04-25,271253,0,false,5forty,2015-02-19T03:50:24Z,"acid jazz,funk,breakbeat,jazz funk","Funk Weapons",0.884,0.933,6,-7.558,0,0.0455,0.0881,0.000779,0.0949,0.968,99.994,4
spotify:track:26X1qD7WUldzTEQeznlvzP,"FreeDumbs","Social Comment","All Good Funk Alliance;Swamburger Alexandrah",2006-04-25,273320,0,false,5forty,2015-02-19T03:50:24Z,"acid jazz,funk,breakbeat,jazz funk","Funk Weapons",0.824,0.806,10,-8.818,0,0.0945,0.49,0.0000148,0.144,0.786,89.996,4
spotify:track:6fatxd9NntFQa98AXjMVmK,"Timely Convo","Social Comment","All Good Funk Alliance;Swamburger Alexandrah",2006-04-25,242680,0,false,5forty,2015-02-19T03:50:24Z,"acid jazz,funk,breakbeat,jazz funk","Funk Weapons",0.914,0.852,2,-6.691,1,0.0881,0.00471,0.000024,0.0754,0.838,99.98,4
spotify:track:0lOD3AI7tcxhmk1AJZJ8dZ,"Direct Me To A Remedy","Social Comment","All Good Funk Alliance;Swamburger Alexandrah",2006-04-25,268080,0,false,5forty,2015-02-19T03:50:24Z,"acid jazz,funk,breakbeat,jazz funk","Funk Weapons",0.822,0.92,5,-5.806,1,0.0458,0.234,0.00198,0.083,0.979,114.989,4
spotify:track:2QhdXQRQYzpJ1IdSBBqdiO,"Major C","Social Comment","All Good Funk Alliance;Swamburger Alexandrah",2006-04-25,252493,0,true,5forty,2015-02-19T03:50:24Z,"acid jazz,funk,breakbeat,jazz funk","Funk Weapons",0.891,0.988,7,-6.224,1,0.227,0.0266,0.0000213,0.0567,0.208,100.998,4
spotify:track:4leAW5C4BM9VcYYVub3eyO,"Point","Social Comment","All Good Funk Alliance;Swamburger Alexandrah",2006-04-25,245320,0,false,5forty,2015-02-19T03:50:24Z,"acid jazz,funk,breakbeat,jazz funk","Funk Weapons",0.918,0.654,9,-8.571,1,0.28,0.353,0.000148,0.117,0.701,100.053,4
spotify:track:3SCQr7HIjXamUiSkcbwubN,"Thinkin'","Social Comment","All Good Funk Alliance;Swamburger Alexandrah",2006-04-25,48533,0,false,5forty,2015-02-19T03:50:24Z,"acid jazz,funk,breakbeat,jazz funk","Funk Weapons",0.732,0.349,9,-16.425,1,0.596,0.0294,0.795,0.0872,0.0687,179.871,4
spotify:track:41110L7iYaebjs2Nv4KkMk,"Stilled Life","Social Comment","All Good Funk Alliance;Swamburger Alexandrah",2006-04-25,241413,0,false,5forty,2015-02-19T03:50:24Z,"acid jazz,funk,breakbeat,jazz funk","Funk Weapons",0.942,0.763,9,-7.492,1,0.228,0.309,0,0.14,0.534,110.013,4
spotify:track:687Bnha1SfvdP21vUiZ4Mi,"Take It Off","Social Comment","All Good Funk Alliance;Swamburger Alexandrah",2006-04-25,218680,0,false,5forty,2015-02-19T03:50:24Z,"acid jazz,funk,breakbeat,jazz funk","Funk Weapons",0.79,0.881,6,-7.295,1,0.05,0.0325,0.591,0.0903,0.823,100.008,4
spotify:track:0UYY5iq2qTS3qMmX64uqDm,"On The Bus","Social Comment","All Good Funk Alliance;Swamburger Alexandrah",2006-04-25,233960,0,false,5forty,2015-02-19T03:50:24Z,"acid jazz,funk,breakbeat,jazz funk","Funk Weapons",0.866,0.9,4,-7.09,1,0.063,0.153,0.00000895,0.0387,0.956,110.036,4
spotify:track:3lfEz2lDA40Rg24sD4ethQ,"She Was (Bass By Matt Grayson)","Social Comment","All Good Funk Alliance;Swamburger Alexandrah",2006-04-25,225600,0,false,5forty,2015-02-19T03:50:24Z,"acid jazz,funk,breakbeat,jazz funk","Funk Weapons",0.692,0.802,1,-8.267,1,0.0583,0.221,0.933,0.0884,0.967,199.995,4
spotify:track:6Orr5gZ0aO2T9NrXoQgRZL,"Weakness Of The Trade","Social Comment","All Good Funk Alliance;Swamburger Alexandrah",2006-04-25,202586,0,true,5forty,2015-02-19T03:50:24Z,"acid jazz,funk,breakbeat,jazz funk","Funk Weapons",0.914,0.886,7,-6.872,1,0.223,0.0332,0,0.0968,0.692,110.02,4
spotify:track:4pYoOhh6wt4WNM612ePW4b,"Babe","Social Comment","All Good Funk Alliance;Swamburger Alexandrah",2006-04-25,232240,0,false,5forty,2015-02-19T03:50:24Z,"acid jazz,funk,breakbeat,jazz funk","Funk Weapons",0.706,0.947,11,-7.376,0,0.0727,0.0275,0.82,0.0623,0.627,180.01,4
spotify:track:4wmGZ0BhHE3KMpM3yGQ2xl,"Now Lately","Social Comment","All Good Funk Alliance;Swamburger Alexandrah",2006-04-25,329760,0,false,5forty,2015-02-19T03:50:24Z,"acid jazz,funk,breakbeat,jazz funk","Funk Weapons",0.764,0.902,6,-7.468,0,0.0461,0.0581,0.0000104,0.166,0.722,109.977,4
spotify:track:0L9bJmMZaqND1Kd3cUyP3X,"Endlude","Social Comment","All Good Funk Alliance;Swamburger Alexandrah",2006-04-25,40800,0,false,5forty,2015-02-19T03:50:24Z,"acid jazz,funk,breakbeat,jazz funk","Funk Weapons",0.575,0.64,8,-12.477,1,0.2,0.00235,0.84,0.098,0.663,200.133,4
