Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:29A5EZTNGiPuU7rZ8Ze9bj,"Organ Introduction (On Our Way) - Live at New Temple Missionary Baptist Church, Los Angeles, January 13, 1972","Amazing Grace: The Complete Recordings","Aretha Franklin",1972,94533,14,false,5forty,2013-07-25T08:25:21Z,"soul,motown,classic soul","Rhino Atlantic",0.203,0.119,1,-29.136,1,0.0585,0.795,0.599,0.731,0.186,134.826,3
spotify:track:3e3UwfXEaToHUIjqCIOfvZ,"Opening Remarks - By Reverend James Cleveland Live at New Temple Missionary Baptist Church, Los Angeles, January 13, 1972","Amazing Grace: The Complete Recordings","Aretha Franklin",1972,96533,12,false,5forty,2013-07-25T08:25:21Z,"soul,motown,classic soul","Rhino Atlantic",0.481,0.0424,10,-32.104,0,0.508,0.62,0,0.384,0.278,86.571,3
spotify:track:4wSmA7DLGnZPdWwUpd96vH,"On Our Way - Live at New Temple Missionary Baptist Church, Los Angeles, January 13, 1972","Amazing Grace: The Complete Recordings","Aretha Franklin",1972,118800,18,false,5forty,2013-07-25T08:25:21Z,"soul,motown,classic soul","Rhino Atlantic",0.366,0.566,10,-10.54,0,0.0529,0.368,0.0347,0.766,0.655,201.749,3
spotify:track:1rAa5F1kHnk0WdxL6apd2x,"Aretha's Introduction - Live at New Temple Missionary Baptist Church, Los Angeles, January 13, 1972","Amazing Grace: The Complete Recordings","Aretha Franklin",1972,134973,12,false,5forty,2013-07-25T08:25:21Z,"soul,motown,classic soul","Rhino Atlantic",0.504,0.286,1,-17.32,1,0.698,0.397,0.00000272,0.366,0.398,112.421,4
spotify:track:3cFxCAa7duGB4D1X2Fm5kN,"Wholy Holy - Live at New Temple Missionary Baptist Church, Los Angeles, January 13, 1972","Amazing Grace: The Complete Recordings","Aretha Franklin",1972,415493,17,false,5forty,2013-07-25T08:25:21Z,"soul,motown,classic soul","Rhino Atlantic",0.363,0.553,10,-11.151,1,0.0895,0.633,0.000853,0.277,0.294,104.915,4
spotify:track:7JD9hEmUR2r7jLZg0fpVB9,"You'll Never Walk Alone - Live at New Temple Missionary Baptist Church, Los Angeles, January 13, 1972","Amazing Grace: The Complete Recordings","Aretha Franklin",1972,506973,17,false,5forty,2013-07-25T08:25:21Z,"soul,motown,classic soul","Rhino Atlantic",0.284,0.407,8,-9.777,1,0.0553,0.745,0.0162,0.411,0.159,88.975,3
spotify:track:7p5tI4AwEqB6qvNPb8Iisg,"What a Friend We Have in Jesus - Live at New Temple Missionary Baptist Church, Los Angeles, January 13, 1972","Amazing Grace: The Complete Recordings","Aretha Franklin",1972,356293,25,false,5forty,2013-07-25T08:25:21Z,"soul,motown,classic soul","Rhino Atlantic",0.493,0.849,5,-7.506,1,0.101,0.608,0.0128,0.703,0.45,116.366,4
spotify:track:6azhMcKTCIjvIE4ufz9xmr,"Precious Memories - Live at New Temple Missionary Baptist Church, Los Angeles, January 13, 1972","Amazing Grace: The Complete Recordings","Aretha Franklin",1972,542973,22,false,5forty,2013-07-25T08:25:21Z,"soul,motown,classic soul","Rhino Atlantic",0.278,0.319,3,-12.001,1,0.0344,0.796,0.000171,0.126,0.2,81.057,4
spotify:track:3HSa3lq2vCSa9SUf0lOILB,"How I Got Over - Live at New Temple Missionary Baptist Church, Los Angeles, January 13, 1972","Amazing Grace: The Complete Recordings","Aretha Franklin",1972,330226,20,false,5forty,2013-07-25T08:25:21Z,"soul,motown,classic soul","Rhino Atlantic",0.428,0.877,10,-8.909,1,0.433,0.441,0.465,0.252,0.514,156.919,4
spotify:track:1dqXLJeDTYhAdcdp7SlygR,"Precious Lord, Take My Hand / You've Got a Friend - Live at New Temple Missionary Baptist Church, Los Angeles, January 13, 1972","Amazing Grace: The Complete Recordings","Aretha Franklin",1972,517466,30,false,5forty,2013-07-25T08:25:21Z,"soul,motown,classic soul","Rhino Atlantic",0.374,0.659,8,-9.33,1,0.167,0.657,0.00565,0.18,0.298,142.561,4
