Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:687qZGqKcVN9g3obktSKHk,"Journeyman","ISAM","Amon Tobin",2011-04-19,398600,22,false,5forty,2012-07-25T00:06:42Z,"idm,trip hop,nu jazz,downtempo","Ninja Tune",0.253,0.621,10,-9.272,0,0.0706,0.0925,0.0384,0.111,0.0723,80.932,4
spotify:track:7oVyhphOcOWHJ63Ywb2bCW,"Piece Of Paper","ISAM","Amon Tobin",2011-04-19,160380,16,false,5forty,2012-07-25T00:06:42Z,"idm,trip hop,nu jazz,downtempo","Ninja Tune",0.405,0.871,6,-9.043,1,0.703,0.122,0.0614,0.171,0.093,93.45,4
spotify:track:6kteXdmqPS82T8SnvUGhO0,"Goto 10","ISAM","Amon Tobin",2011-04-19,260405,15,false,5forty,2012-07-25T00:06:42Z,"idm,trip hop,nu jazz,downtempo","Ninja Tune",0.277,0.655,11,-5.899,0,0.484,0.0552,0.00174,0.277,0.34,75.397,4
spotify:track:1pYcQU7up2kRGuGIiS2QNZ,"Surge","ISAM","Amon Tobin",2011-04-19,125165,13,false,5forty,2012-07-25T00:06:42Z,"idm,trip hop,nu jazz,downtempo","Ninja Tune",0.275,0.468,5,-7.74,1,0.0367,0.555,0.00566,0.643,0.316,79.734,4
spotify:track:1crZjm3JxiLcDGv1ecWjaS,"Lost & Found","ISAM","Amon Tobin",2011-04-19,294173,22,false,5forty,2012-07-25T00:06:42Z,"idm,trip hop,nu jazz,downtempo","Ninja Tune",0.364,0.501,10,-9.487,0,0.121,0.319,0.76,0.0674,0.237,79.974,4
spotify:track:2xfCzsTwt5NH6ZSnpj34Nu,"Wooden Toy","ISAM","Amon Tobin",2011-04-19,145003,14,false,5forty,2012-07-25T00:06:42Z,"idm,trip hop,nu jazz,downtempo","Ninja Tune",0.234,0.551,8,-7.004,1,0.0341,0.778,0.0377,0.116,0.304,87.11,4
spotify:track:1z4kF1W16ZMZ9PUdm8Ss3f,"Mass & Spring","ISAM","Amon Tobin",2011-04-19,256058,11,false,5forty,2012-07-25T00:06:42Z,"idm,trip hop,nu jazz,downtempo","Ninja Tune",0.532,0.595,11,-9.224,1,0.173,0.132,0.364,0.37,0.258,112.441,4
spotify:track:6MD3987nsNOBdgdVKTuU3k,"Calculate","ISAM","Amon Tobin",2011-04-19,93264,10,false,5forty,2012-07-25T00:06:42Z,"idm,trip hop,nu jazz,downtempo","Ninja Tune",0.27,0.386,6,-10.357,1,0.0602,0.869,0.695,0.277,0.141,149.847,4
spotify:track:5MNmgz99QpQwmcyye2EoNd,"Kitty Cat","ISAM","Amon Tobin",2011-04-19,256463,12,false,5forty,2012-07-25T00:06:42Z,"idm,trip hop,nu jazz,downtempo","Ninja Tune",0.613,0.532,0,-6.373,1,0.0376,0.273,0.594,0.159,0.242,114.939,4
spotify:track:2K5qiT4UuimoShK7w90BiA,"Bedtime Stories","ISAM","Amon Tobin",2011-04-19,224230,12,false,5forty,2012-07-25T00:06:42Z,"idm,trip hop,nu jazz,downtempo","Ninja Tune",0.397,0.508,10,-11.207,1,0.117,0.086,0.163,0.0649,0.0422,139.788,4
spotify:track:3Wh8f9Y2GgIXzdMjFyVwZ7,"Night Swim","ISAM","Amon Tobin",2011-04-19,356647,9,false,5forty,2012-07-25T00:06:42Z,"idm,trip hop,nu jazz,downtempo","Ninja Tune",0.375,0.389,6,-14.972,1,0.0656,0.676,0.0169,0.121,0.14,113.306,4
spotify:track:1hdilH4ZmNBbiP7oTzNr5B,"Dropped From The Sky","ISAM","Amon Tobin",2011-04-19,430518,10,false,5forty,2012-07-25T00:06:42Z,"idm,trip hop,nu jazz,downtempo","Ninja Tune",0.532,0.609,5,-7.278,0,0.055,0.0469,0.084,0.0752,0.28,86.487,4
