Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4NGRRkbmy7LxlIUY1SBjAv,"Graze","Fall Be Kind","Animal Collective",2009-11-23,324386,0,false,,2010-12-31T21:22:49Z,"neo-psychedelic,indie rock","Domino Recording Co",0.433,0.678,0,-8.964,1,0.0392,0.402,0.0078,0.755,0.156,120.048,3
spotify:track:3RQDauUKDwVNsg2IVypyMo,"What Would I Want? Sky","Fall Be Kind","Animal Collective",2009-11-23,407586,0,false,,2010-12-31T21:22:49Z,"neo-psychedelic,indie rock","Domino Recording Co",0.314,0.883,5,-7.111,1,0.102,0.173,0.000116,0.218,0.132,176.79,1
spotify:track:2zSKbWsSlge4aaizTWCS3o,"Bleed","Fall Be Kind","Animal Collective",2009-11-23,210453,0,false,,2010-12-31T21:22:49Z,"neo-psychedelic,indie rock","Domino Recording Co",0.108,0.649,9,-9.84,1,0.0471,0.518,0.145,0.576,0.162,74.967,5
spotify:track:6CV05liQz2rEypI7kFNllc,"On A Highway","Fall Be Kind","Animal Collective",2009-11-23,278066,0,false,,2010-12-31T21:22:49Z,"neo-psychedelic,indie rock","Domino Recording Co",0.241,0.739,5,-9.313,1,0.0693,0.516,0.0885,0.304,0.23,163.267,4
spotify:track:48d2hGvUThemA6rGnrqbdo,"I Think I Can","Fall Be Kind","Animal Collective",2009-11-23,429853,0,false,,2010-12-31T21:22:49Z,"neo-psychedelic,indie rock","Domino Recording Co",0.239,0.662,9,-8.135,0,0.0692,0.795,0.0000353,0.0449,0.284,93.559,3
spotify:track:1S1IDHx7Rqa3iThWixhQlE,"In The Flowers","Merriweather Post Pavilion","Animal Collective",2009-01-11,324026,0,false,,2010-12-31T21:22:58Z,"neo-psychedelic,indie rock","Domino Records",0.223,0.763,0,-8.222,1,0.0872,0.081,0.204,0.26,0.482,110.918,3
spotify:track:0CuLJepOW0kzYtYekz6MIu,"My Girls","Merriweather Post Pavilion","Animal Collective",2009-01-11,342786,0,false,,2010-12-31T21:22:58Z,"neo-psychedelic,indie rock","Domino Records",0.511,0.95,4,-6.057,0,0.0811,0.246,0.0514,0.902,0.537,119.973,4
spotify:track:6TB2CPimeUwCVVpqSoyDF9,"Also Frightened","Merriweather Post Pavilion","Animal Collective",2009-01-11,316066,0,false,,2010-12-31T21:22:58Z,"neo-psychedelic,indie rock","Domino Records",0.196,0.822,0,-6.106,1,0.141,0.115,0,0.361,0.161,101.83,4
spotify:track:1mdKOIuO0sGViWsvCFFCIV,"Summertime Clothes","Merriweather Post Pavilion","Animal Collective",2009-01-11,272120,0,false,,2010-12-31T21:22:58Z,"neo-psychedelic,indie rock","Domino Records",0.49,0.866,4,-5.495,1,0.0941,0.00175,0,0.458,0.342,135.978,4
spotify:track:5CMi2zNiz2nJZjXsk7E9W6,"Daily Routine","Merriweather Post Pavilion","Animal Collective",2009-01-11,348040,0,false,,2010-12-31T21:22:58Z,"neo-psychedelic,indie rock","Domino Records",0.238,0.601,11,-7.084,0,0.0402,0.336,0.000049,0.278,0.112,120.592,4
spotify:track:4L4B0fem6HBIWblMEAiAbJ,"Bluish","Merriweather Post Pavilion","Animal Collective",2009-01-11,315560,0,false,,2010-12-31T21:22:58Z,"neo-psychedelic,indie rock","Domino Records",0.391,0.823,11,-6.305,0,0.096,0.00027,0.0207,0.0851,0.431,89.947,4
spotify:track:5GvpY5bEyU2u9Yz2POwg5z,"Guys Eyes","Merriweather Post Pavilion","Animal Collective",2009-01-11,272653,0,false,,2010-12-31T21:22:58Z,"neo-psychedelic,indie rock","Domino Records",0.165,0.823,9,-6.257,0,0.218,0.00354,0.000219,0.207,0.681,174.317,3
spotify:track:4IlXroUctDahoweLGA1jBR,"Taste","Merriweather Post Pavilion","Animal Collective",2009-01-11,235453,0,false,,2010-12-31T21:22:58Z,"neo-psychedelic,indie rock","Domino Records",0.457,0.879,0,-6.547,1,0.0733,0.0036,0,0.0501,0.342,80.723,4
spotify:track:4e7hGXUqJmasNccpGvTvLF,"Lion In A Coma","Merriweather Post Pavilion","Animal Collective",2009-01-11,254226,0,false,,2010-12-31T21:22:58Z,"neo-psychedelic,indie rock","Domino Records",0.449,0.919,9,-5.027,1,0.0608,0.028,0,0.182,0.714,129.125,3
spotify:track:0RbtDrIxG5PoGG9UmXzdPX,"No More Runnin","Merriweather Post Pavilion","Animal Collective",2009-01-11,265333,0,false,,2010-12-31T21:22:58Z,"neo-psychedelic,indie rock","Domino Records",0.368,0.638,1,-8.579,0,0.0367,0.484,0.834,0.104,0.228,115.157,3
