Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7J28BM3GQw8ar791H1Giol,"Code","Code","Answer Code Request",2014-06-09,63100,10,false,5forty,2018-02-22T09:27:49Z,"dub techno,idm,breakbeat,minimal techno","Ostgut Ton",0.299,0.237,8,-20.204,0,0.0398,0.574,0.621,0.275,0.204,52.45,4
spotify:track:6UALoqJ5w83dOulKeANuEj,"Blue Russian","Code","Answer Code Request",2014-06-09,333313,8,false,5forty,2018-02-22T09:27:49Z,"dub techno,idm,breakbeat,minimal techno","Ostgut Ton",0.573,0.627,1,-15.241,1,0.282,0.0611,0.847,0.117,0.0816,122.051,4
spotify:track:378gUX2YzXLWxx9QYwaTNJ,"Field Depth","Code","Answer Code Request",2014-06-09,283449,7,false,5forty,2018-02-22T09:27:49Z,"dub techno,idm,breakbeat,minimal techno","Ostgut Ton",0.853,0.612,7,-9.522,1,0.113,0.000264,0.811,0.112,0.118,127.993,4
spotify:track:4Q530bDIg5hUsFesIkS3ij,"Odyssey Sequence","Code","Answer Code Request",2014-06-09,252461,8,false,5forty,2018-02-22T09:27:49Z,"dub techno,idm,breakbeat,minimal techno","Ostgut Ton",0.23,0.175,0,-26.696,0,0.0659,0.643,0.85,0.107,0.0604,132.336,4
spotify:track:1Y4LH6mjUKqZs7beJU3NfS,"Zenith","Code","Answer Code Request",2014-06-09,348159,6,false,5forty,2018-02-22T09:27:49Z,"dub techno,idm,breakbeat,minimal techno","Ostgut Ton",0.755,0.811,11,-10.908,1,0.0645,0.00184,0.88,0.112,0.0361,127.012,4
spotify:track:47s3qtRH7mYvBl1lVSHZGU,"Relay Access","Code","Answer Code Request",2014-06-09,217220,20,false,5forty,2018-02-22T09:27:49Z,"dub techno,idm,breakbeat,minimal techno","Ostgut Ton",0.73,0.431,1,-13.951,1,0.045,0.131,0.776,0.101,0.258,126.079,4
spotify:track:3oKgrmB5wSfM16kUIpDPUT,"Status","Code","Answer Code Request",2014-06-09,299993,20,false,5forty,2018-02-22T09:27:49Z,"dub techno,idm,breakbeat,minimal techno","Ostgut Ton",0.805,0.777,1,-12.52,1,0.0807,0.021,0.95,0.109,0.0455,127.999,4
spotify:track:2WnPfcFj0h6xgG5DFBkn5a,"Haul","Code","Answer Code Request",2014-06-09,320235,5,false,5forty,2018-02-22T09:27:49Z,"dub techno,idm,breakbeat,minimal techno","Ostgut Ton",0.661,0.671,9,-12.376,1,0.0514,0.00798,0.9,0.124,0.349,130.014,4
spotify:track:4bHsHSIXMtYnmi7GEaTB6A,"Spin Off","Code","Answer Code Request",2014-06-09,64259,4,false,5forty,2018-02-22T09:27:49Z,"dub techno,idm,breakbeat,minimal techno","Ostgut Ton",0.219,0.44,0,-18.48,0,0.0403,0.532,0.995,0.294,0.257,83.084,4
spotify:track:6mHMIFUYg9Yu6GVZV0yzS3,"By The Bay","Code","Answer Code Request",2014-06-09,276874,23,false,5forty,2018-02-22T09:27:49Z,"dub techno,idm,breakbeat,minimal techno","Ostgut Ton",0.726,0.849,7,-9.546,0,0.0534,0.00131,0.817,0.0754,0.11,125.008,4
spotify:track:41bcB0Gp44vS8oQAHNUgbi,"Axif feat. Elizabeth Bernholz","Code","Answer Code Request;Elizabeth Bernholz",2014-06-09,199594,30,false,5forty,2018-02-22T09:27:49Z,"dub techno,idm,breakbeat,minimal techno","Ostgut Ton",0.666,0.365,6,-16.774,0,0.0614,0.185,0.902,0.112,0.331,124.052,4
spotify:track:5saOMwl8RurWVYqZ5otfg6,"Thermal Capacity","Code","Answer Code Request",2014-06-09,377603,21,false,5forty,2018-02-22T09:27:49Z,"dub techno,idm,breakbeat,minimal techno","Ostgut Ton",0.845,0.824,11,-10.583,1,0.14,0.034,0.927,0.318,0.189,125.995,4
