Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5k5SzUP9pSN1mG5ta25w1U,"D. Mothers of Invention","Anticon Label Sampler 1999 - 2004","Deep Puddle Dynamics",2004-03-01,154586,0,false,,2010-05-31T09:30:08Z,"experimental hip hop,underground hip hop,alternative hip hop","anticon",0.763,0.836,6,-8.792,0,0.362,0.243,0,0.469,0.503,86.69,4
spotify:track:6M2gBPQAmsl4KgqCEpztKZ,"The Scarecrow Speaks","The Taste Of Rain... Why Kneel","Deep Puddle Dynamics",1999-01-01,356093,0,false,,2010-05-31T09:30:08Z,"experimental hip hop,underground hip hop,alternative hip hop","anticon",0.603,0.737,1,-5.232,1,0.391,0.0191,0.00119,0.853,0.341,84.626,4
spotify:track:5TmXBm6aPSmj0yMHEhTPE3,"Deep Puddle Theme Song","The Taste Of Rain... Why Kneel","Deep Puddle Dynamics",1999-01-01,414626,0,false,,2010-05-31T09:30:08Z,"experimental hip hop,underground hip hop,alternative hip hop","anticon",0.56,0.727,8,-2.339,1,0.347,0.00246,0.000035,0.251,0.409,149.649,4
spotify:track:24nc5h3UY4jj1NKuIdEhA8,"June 26th, 1999 - Mothers Of Invention","The Taste Of Rain... Why Kneel","Deep Puddle Dynamics",1999-01-01,184106,0,false,,2010-05-31T09:30:08Z,"experimental hip hop,underground hip hop,alternative hip hop","anticon",0.708,0.871,9,-6.839,0,0.409,0.298,0,0.103,0.42,86.565,4
spotify:track:1D1vMhRiwjPcdNTqumN8cn,"Rainman","Anticon Presents: Music for the Advancement of Hip Hop","Deep Puddle Dynamics",1999-01-01,304293,0,false,,2010-05-31T09:30:08Z,"experimental hip hop,underground hip hop,alternative hip hop","anticon",0.801,0.512,1,-12.174,1,0.372,0.0149,0,0.819,0.813,87.427,4
spotify:track:3OM8vrk2gBD0gSxPAjcw1p,"June 26th, 1998","The Taste Of Rain... Why Kneel","Deep Puddle Dynamics",1999-01-01,379440,0,false,,2010-05-31T09:30:08Z,"experimental hip hop,underground hip hop,alternative hip hop","anticon",0.556,0.847,11,-6.801,0,0.21,0.0079,0,0.265,0.399,85.952,4
spotify:track:0MVpL1VJiYpUhWejOHu9Nk,"The Candle","The Taste Of Rain... Why Kneel","Deep Puddle Dynamics",1999-01-01,353933,0,false,,2010-05-31T09:30:08Z,"experimental hip hop,underground hip hop,alternative hip hop","anticon",0.587,0.931,1,-6.66,1,0.24,0.0019,0,0.323,0.728,83.038,4
spotify:track:34yJv2o3Fj7mCC07gBOQEk,"Where The Wild Things Are","The Taste Of Rain... Why Kneel","Deep Puddle Dynamics",1999-01-01,323293,0,false,,2010-05-31T09:30:08Z,"experimental hip hop,underground hip hop,alternative hip hop","anticon",0.457,0.691,6,-6.514,0,0.402,0.333,0.000912,0.326,0.423,82.552,4
spotify:track:0b0fHSPRvUiMHt2hIamCqr,"I Am Hip Hop (Move The Crowd)","The Taste Of Rain... Why Kneel","Deep Puddle Dynamics",1999-01-01,359373,0,false,,2010-05-31T09:30:08Z,"experimental hip hop,underground hip hop,alternative hip hop","anticon",0.478,0.916,5,-5.379,0,0.372,0.0237,0.00652,0.0448,0.654,82.174,4
spotify:track:1oYcSaK53Qb1c4u9PsLvQz,"Heavy Ceiling","The Taste Of Rain... Why Kneel","Deep Puddle Dynamics",1999-01-01,329560,0,false,,2010-05-31T09:30:08Z,"experimental hip hop,underground hip hop,alternative hip hop","anticon",0.545,0.803,10,-6.53,0,0.383,0.0232,0,0.118,0.639,166.05,4
spotify:track:5cAjET20ZPcpapumecT7BG,"Thought Vs. Action","The Taste Of Rain... Why Kneel","Deep Puddle Dynamics",1999-01-01,230373,0,false,,2010-05-31T09:30:08Z,"experimental hip hop,underground hip hop,alternative hip hop","anticon",0.829,0.683,6,-8.766,1,0.357,0.0361,0.00796,0.102,0.802,79.63,4
spotify:track:4yv7yvB56EPoh4FIVhFIoL,"Rainmen","The Taste Of Rain... Why Kneel","Deep Puddle Dynamics",1999-01-01,320493,0,false,,2010-05-31T09:30:08Z,"experimental hip hop,underground hip hop,alternative hip hop","anticon",0.747,0.777,11,-7.748,0,0.381,0.0346,0,0.333,0.633,87.52,4
spotify:track:3IoFKP1sqivZkJU97JtMKb,"June 26th, 1999 - Slight","The Taste Of Rain... Why Kneel","Deep Puddle Dynamics",1999-01-01,353066,0,false,,2010-05-31T09:30:08Z,"experimental hip hop,underground hip hop,alternative hip hop","anticon",0.511,0.741,1,-4.968,1,0.034,0.000529,0,0.328,0.0395,89.047,4
spotify:track:6wtpusWYupUtEr6o3haxqN,"June 26th, 1999 - Exist","The Taste Of Rain... Why Kneel","Deep Puddle Dynamics",1999-01-01,184840,0,false,,2010-05-31T09:30:08Z,"experimental hip hop,underground hip hop,alternative hip hop","anticon",0.61,0.923,1,-6.395,1,0.36,0.00702,0,0.283,0.439,93.711,4
spotify:track:7d6m7PVSxz7JslagCWAC7q,"More From June","More From June","Deep Puddle Dynamics",2003-01-01,448360,0,false,,2010-05-31T09:30:08Z,"experimental hip hop,underground hip hop,alternative hip hop","anticon",0.435,0.528,9,-14.286,1,0.369,0.284,0.0164,0.105,0.24,131.885,4
spotify:track:4DPWNM0G53rrrnq7oDAXHV,"June 26th, 1999 - Purpose","The Taste Of Rain... Why Kneel","Deep Puddle Dynamics",1999-01-01,206400,0,false,,2010-05-31T09:30:08Z,"experimental hip hop,underground hip hop,alternative hip hop","anticon",0.494,0.653,5,-7.243,0,0.0971,0.273,0.0000587,0.154,0.129,116.324,5
spotify:track:75gXFAW0zRebasP4F7F1Pd,"We Aint Fessin' (double quotes)","More From June","Deep Puddle Dynamics",2003-01-01,350480,0,false,,2010-05-31T09:30:08Z,"experimental hip hop,underground hip hop,alternative hip hop","anticon",0.619,0.626,1,-14.149,1,0.365,0.044,0.000553,0.114,0.607,170.042,4
spotify:track:5cJS40FygPGcEoAHyJrkZG,"Apt. A - 1","cLOUDDEAD","cLOUDDEAD",2001-05-01,385760,0,false,,2010-05-31T10:08:51Z,"experimental hip hop,cloud rap","Big Dada",0.375,0.485,6,-9.963,1,0.0862,0.957,0.0192,0.0963,0.138,145.181,4
spotify:track:4LPh5lq4OAvD9tqkwmtApE,"Apt. A - 2","cLOUDDEAD","cLOUDDEAD",2001-05-01,352013,0,false,,2010-05-31T10:08:51Z,"experimental hip hop,cloud rap","Big Dada",0.353,0.525,9,-10.719,1,0.0776,0.738,0.187,0.186,0.177,83.211,4
spotify:track:75FBf2YXY7ftVqfm3zf1dh,"And All You Can Do Is Laugh - 1","cLOUDDEAD","cLOUDDEAD",2001-05-01,334933,0,false,,2010-05-31T10:08:51Z,"experimental hip hop,cloud rap","Big Dada",0.441,0.571,1,-13.529,1,0.135,0.542,0.882,0.218,0.145,91.607,4
spotify:track:5lc6QSVP1zRoJ6Z54Trbwk,"And All You Can Do Is Laugh - 2","cLOUDDEAD","cLOUDDEAD",2001-05-01,351626,0,false,,2010-05-31T10:08:51Z,"experimental hip hop,cloud rap","Big Dada",0.518,0.512,11,-11.669,1,0.36,0.513,0.596,0.463,0.364,130.339,4
spotify:track:404tV9Ow4qbAPVILfUtOht,"I Promise Never To Get Paint On My Glasses Again. - 1","cLOUDDEAD","cLOUDDEAD",2001-05-01,345933,0,false,,2010-05-31T10:08:51Z,"experimental hip hop,cloud rap","Big Dada",0.567,0.692,8,-9.547,1,0.375,0.491,0.135,0.121,0.391,90.335,4
spotify:track:5eWU3eaNnt5knAcr9vaJB1,"I Promise Never To Get Paint On My Glasses Again. - 2","cLOUDDEAD","cLOUDDEAD",2001-05-01,361893,0,false,,2010-05-31T10:08:51Z,"experimental hip hop,cloud rap","Big Dada",0.216,0.223,7,-16.022,1,0.037,0.584,0.965,0.125,0.035,130.22,3
spotify:track:7bQvuhxyAdNh75rOuFAnnZ,"JimmyBreeze - 1","cLOUDDEAD","cLOUDDEAD",2001-05-01,421666,0,false,,2010-05-31T10:08:51Z,"experimental hip hop,cloud rap","Big Dada",0.37,0.444,4,-14.037,0,0.103,0.689,0.392,0.0918,0.116,71.883,4
spotify:track:3Ro9UQxA8PzYRmmrDnEXnr,"JimmyBreeze - 2","cLOUDDEAD","cLOUDDEAD",2001-05-01,332920,0,false,,2010-05-31T10:08:51Z,"experimental hip hop,cloud rap","Big Dada",0.352,0.572,6,-11.468,0,0.0682,0.703,0.662,0.165,0.0895,140.27,4
spotify:track:0GYhGvOCjyqNSvjYNipB1H,"Cloud Dead Number Five - 1","cLOUDDEAD","cLOUDDEAD",2001-05-01,324533,0,false,,2010-05-31T10:08:51Z,"experimental hip hop,cloud rap","Big Dada",0.0595,0.211,1,-17.908,1,0.0396,0.64,0.804,0.111,0.0375,56.232,3
