Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2wyqJ2WsxnKsqZWjrjijFK,"Question Everything","Question Everything","Antix",2012-10-31,333452,23,false,5forty,2015-06-26T03:42:50Z,"","Antix",0.806,0.621,10,-5.398,1,0.0285,0.0555,0,0.282,0.396,100.017,4
spotify:track:0SecbJL3IVsIIZtcT4SzMf,"Boxbeat (Come into the Light)","Question Everything","Antix",2012-10-31,226390,7,true,5forty,2015-06-26T03:42:50Z,"","Antix",0.824,0.855,1,-4.563,1,0.127,0.157,0,0.135,0.411,96.049,4
spotify:track:4JB7e7lTxhEMaaetq760zS,"Lullaby","Question Everything","Antix",2012-10-31,222057,6,true,5forty,2015-06-26T03:42:50Z,"","Antix",0.906,0.947,4,-3.552,0,0.171,0.102,0.0000572,0.354,0.78,115.014,4
spotify:track:2pltV4fYYFrKe3NWKSoocW,"You're Crazy (2012)","Question Everything","Antix",2012-10-31,217520,6,true,5forty,2015-06-26T03:42:50Z,"","Antix",0.656,0.812,6,-4.931,0,0.0583,0.0074,0,0.063,0.506,104,4
spotify:track:3smg29qh9K4SsQZHhKr2A8,"Dear Summer","Question Everything","Antix",2012-10-31,415621,4,true,5forty,2015-06-26T03:42:50Z,"","Antix",0.789,0.717,1,-3.645,1,0.0484,0.162,0.00000462,0.547,0.563,95.962,4
spotify:track:3wDnAjRLlToJHnBhZhTKvf,"Mr. Anonymous","Question Everything","Antix",2012-10-31,204970,15,true,5forty,2015-06-26T03:42:50Z,"","Antix",0.785,0.816,9,-4.26,0,0.0533,0.264,0.0000104,0.149,0.542,89.975,4
spotify:track:7BhfNbqhuY4eBOyHVpjwcZ,"Arab Coastin'","Question Everything","Antix",2012-10-31,306171,20,true,5forty,2015-06-26T03:42:50Z,"","Antix",0.816,0.741,0,-5.764,1,0.203,0.413,0,0.0938,0.454,87.985,4
spotify:track:58EPVILQcgPl95luWRkM9w,"Baby Babe","Question Everything","Antix",2012-10-31,227854,5,true,5forty,2015-06-26T03:42:50Z,"","Antix",0.744,0.715,2,-7.592,1,0.0372,0.101,0.00021,0.191,0.329,107.979,4
spotify:track:1Yu7x5X2Rlf2Kqa2cR46xr,"Listener","Question Everything","Antix",2012-10-31,384296,5,true,5forty,2015-06-26T03:42:50Z,"","Antix",0.717,0.581,4,-6.165,0,0.031,0.06,0.0884,0.124,0.17,91.976,4
spotify:track:6GwvYEQjdyXWqcobCJPtg8,"Letters to My Unborn","Question Everything","Antix",2012-10-31,265824,30,false,5forty,2015-06-26T03:42:50Z,"","Antix",0.521,0.701,4,-6.1,0,0.168,0.232,0,0.237,0.441,179.643,4
spotify:track:5lTdUSlBJEorqpOx8Y4qRo,"Requiem","Question Everything","Antix",2012-10-31,332920,4,true,5forty,2015-06-26T03:42:50Z,"","Antix",0.344,0.891,5,-3.303,1,0.137,0.0352,0,0.142,0.514,89.083,4
spotify:track:68eS97DnE3TEQ5Ngzlxgdl,"Skeleton Boy","Question Everything","Antix",2012-10-31,280473,11,true,5forty,2015-06-26T03:42:50Z,"","Antix",0.752,0.706,6,-3.79,0,0.0419,0.166,0,0.0477,0.267,140.024,4
spotify:track:3dbgCF46rlqB2V19zJFlNh,"Sutures","Question Everything","Antix",2012-10-31,348611,5,true,5forty,2015-06-26T03:42:50Z,"","Antix",0.837,0.587,4,-8.815,0,0.125,0.3,0,0.168,0.669,93.015,4
spotify:track:1mBk3DrlbjVsm8HngMKPcV,"If Only","Question Everything","Antix",2012-10-31,335334,4,true,5forty,2015-06-26T03:42:50Z,"","Antix",0.844,0.615,0,-7.822,1,0.0446,0.0481,0.00000145,0.0999,0.471,103.984,4
spotify:track:7LVbgaYAuYYlSeqZbUf0Aw,"Who I Am","Question Everything","Antix",2012-10-31,262862,4,true,5forty,2015-06-26T03:42:50Z,"","Antix",0.851,0.834,5,-5.881,0,0.132,0.108,0,0.683,0.654,95.014,4
