Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4DTlSuMq6EdbvXdjn1zde6,"PS Exclusive","Any Other City","Life Without Buildings",2014-04-19,256203,0,false,5forty,2014-04-23T21:55:05Z,"","What's Your Rupture",0.488,0.868,7,-7.971,1,0.0404,0.00654,0.00479,0.0518,0.93,159.175,4
spotify:track:31bNsoJAbDEX08k2di9fzC,"Let's Get Out","Any Other City","Life Without Buildings",2014-04-19,237110,0,false,5forty,2014-04-23T21:55:05Z,"","What's Your Rupture",0.549,0.683,2,-8.509,1,0.0415,0.354,0.849,0.0715,0.779,133.753,4
spotify:track:73x31BzABWp7hyn9wiM68z,"Juno","Any Other City","Life Without Buildings",2014-04-19,307666,0,false,5forty,2014-04-23T21:55:05Z,"","What's Your Rupture",0.542,0.603,2,-9.698,1,0.0311,0.2,0.0947,0.155,0.284,135.625,4
spotify:track:3Gp4E4W1Ig891utGGUrJjO,"The Leanover","Any Other City","Life Without Buildings",2014-04-19,323973,0,false,5forty,2014-04-23T21:55:05Z,"","What's Your Rupture",0.515,0.758,2,-8.404,1,0.0472,0.24,0.000947,0.144,0.677,118.411,4
spotify:track:0gY4Y5s67K25v0fs9HAkuk,"Philip","Any Other City","Life Without Buildings",2014-04-19,149600,0,false,5forty,2014-04-23T21:55:05Z,"","What's Your Rupture",0.528,0.888,5,-6.934,1,0.0563,0.0734,0.0457,0.319,0.933,161.801,4
spotify:track:5sTE5sJZfITbncddt0fObD,"Envoys","Any Other City","Life Without Buildings",2014-04-19,248733,0,false,5forty,2014-04-23T21:55:05Z,"","What's Your Rupture",0.518,0.629,7,-10.45,1,0.0378,0.0879,0.0148,0.11,0.388,121.052,3
spotify:track:0Nm2g60QIOFRkXZvZ9eBc6,"14 Days","Any Other City","Life Without Buildings",2014-04-19,191826,0,false,5forty,2014-04-23T21:55:05Z,"","What's Your Rupture",0.456,0.853,7,-8.418,1,0.0302,0.113,0.161,0.107,0.659,144.987,4
spotify:track:3BXIvFoizBxjPvha4LwGn4,"New Town","Any Other City","Life Without Buildings",2014-04-19,353200,0,false,5forty,2014-04-23T21:55:05Z,"","What's Your Rupture",0.617,0.718,7,-9.493,1,0.0334,0.315,0.399,0.111,0.28,134.79,4
spotify:track:3A88mdAUh2MWI67V1f8FMN,"Young Offenders","Any Other City","Life Without Buildings",2014-04-19,187924,0,false,5forty,2014-04-23T21:55:05Z,"","What's Your Rupture",0.551,0.973,9,-7.229,0,0.172,0.526,0.00196,0.154,0.201,151.03,4
spotify:track:6uLV6l3ZHVim1kBeduHlEO,"Sorrow","Any Other City","Life Without Buildings",2014-04-19,413469,0,false,5forty,2014-04-23T21:55:05Z,"","What's Your Rupture",0.714,0.137,5,-22.724,1,0.0476,0.653,0.00175,0.109,0.474,84.897,4
