Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3V7cGIzasrYfWIAgiHt7q1,"Coming Down","The Week Never Starts Round Here (Deluxe Version)","Arab Strap",1996,214640,0,false,5forty,2018-08-04T23:07:52Z,"slowcore,spoken word","Chemikal Underground Records",0.512,0.219,5,-16.583,1,0.038,0.513,0.856,0.108,0.0349,127.788,5
spotify:track:660u3b5IZjYQm0ZtBMkLYX,"The Clearing","The Week Never Starts Round Here (Deluxe Version)","Arab Strap",1996,352453,0,false,5forty,2018-08-04T23:07:52Z,"slowcore,spoken word","Chemikal Underground Records",0.35,0.59,2,-18.378,1,0.368,0.407,0,0.163,0.0525,123.248,4
spotify:track:7bisFn8qrLmqGaZ6iaaaXt,"Driving","The Week Never Starts Round Here (Deluxe Version)","Arab Strap",1996,130840,0,true,5forty,2018-08-04T23:07:52Z,"slowcore,spoken word","Chemikal Underground Records",0.521,0.303,2,-17.492,1,0.0972,0.221,0.852,0.0508,0.3,76.498,4
spotify:track:3JOfL2Qjmelz0ZtX6fEIYc,"Gourmet","The Week Never Starts Round Here (Deluxe Version)","Arab Strap",1996,160160,0,false,5forty,2018-08-04T23:07:52Z,"slowcore,spoken word","Chemikal Underground Records",0.555,0.248,6,-15.09,0,0.0379,0.347,0.818,0.113,0.336,123.126,4
spotify:track:4E0iqLSIaxMQaKROFXi36R,"I Work in a Saloon","The Week Never Starts Round Here (Deluxe Version)","Arab Strap",1996,155440,0,true,5forty,2018-08-04T23:07:52Z,"slowcore,spoken word","Chemikal Underground Records",0.602,0.315,9,-20.195,1,0.11,0.697,0.714,0.0922,0.578,178.288,4
spotify:track:1aeCETFc09jIQNs7aaedUX,"Wasting","The Week Never Starts Round Here (Deluxe Version)","Arab Strap",1996,221546,0,true,5forty,2018-08-04T23:07:52Z,"slowcore,spoken word","Chemikal Underground Records",0.566,0.0728,0,-18.272,0,0.0807,0.551,0.136,0.0884,0.0428,113.309,4
spotify:track:53gEQoQ7mFMd4Uh6yxo8WM,"General Plea to a Girlfriend","The Week Never Starts Round Here (Deluxe Version)","Arab Strap",1996,103746,0,true,5forty,2018-08-04T23:07:52Z,"slowcore,spoken word","Chemikal Underground Records",0.764,0.719,10,-10.668,1,0.278,0.552,0.0184,0.341,0.749,95.781,4
spotify:track:7MVc6KOZP6dYvzw2l0R0x4,"The First Big Weekend","The Week Never Starts Round Here (Deluxe Version)","Arab Strap",1996,292746,0,false,5forty,2018-08-04T23:07:52Z,"slowcore,spoken word","Chemikal Underground Records",0.71,0.561,2,-14.796,1,0.053,0.0887,0.0931,0.0911,0.634,146.539,4
spotify:track:5PgdNPdOxLzXovZNTMxkhY,"Kate Moss","The Week Never Starts Round Here (Deluxe Version)","Arab Strap",1996,289546,0,false,5forty,2018-08-04T23:07:52Z,"slowcore,spoken word","Chemikal Underground Records",0.448,0.244,2,-23.878,0,0.15,0.378,0.000354,0.037,0.342,80.679,4
spotify:track:4eDSMINb16XVjTKI6Fmbxs,"Little Girls","The Week Never Starts Round Here (Deluxe Version)","Arab Strap",1996,148680,0,false,5forty,2018-08-04T23:07:52Z,"slowcore,spoken word","Chemikal Underground Records",0.467,0.473,0,-18.224,1,0.0366,0.623,0.0117,0.132,0.488,135.241,4
