Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6JPCMpq7EkKyXeOYYCFv4a,"Motormouth","Audion X","Audion",2013-12-09,377146,0,false,5forty,2014-01-20T22:52:23Z,"minimal techno,tech house","Spectral Sound",0.701,0.983,1,-7.197,1,0.0461,0.000523,0.847,0.687,0.285,126.001,4
spotify:track:2x4PwJbObw5qcc696D5bEs,"Sky","Audion X","Audion",2013-12-09,677063,0,false,5forty,2014-01-20T22:52:23Z,"minimal techno,tech house","Spectral Sound",0.653,0.952,11,-5.169,0,0.0769,0.000221,0.822,0.122,0.277,119.994,4
spotify:track:0CuvhDmURcL3EpeM114Lrr,"Cloth (Just a Couch)","Audion X","Audion",2013-12-09,348000,0,false,5forty,2014-01-20T22:52:23Z,"minimal techno,tech house","Spectral Sound",0.811,0.506,6,-10.984,0,0.0716,0.0241,0.902,0.104,0.623,120.03,5
spotify:track:1r05GFO79kV8zkyExCfzbN,"Mouth to Mouth","Audion X","Audion",2013-12-09,774664,0,false,5forty,2014-01-20T22:52:23Z,"minimal techno,tech house","Spectral Sound",0.64,0.614,1,-9.688,1,0.0511,0.0142,0.866,0.074,0.249,124.985,4
spotify:track:6FjCGhl5OE7KrFJphnC6Lz,"Noiser","Audion X","Audion",2013-12-09,524173,0,false,5forty,2014-01-20T22:52:23Z,"minimal techno,tech house","Spectral Sound",0.83,0.504,10,-11.517,0,0.0702,0.00675,0.916,0.177,0.147,125.001,4
spotify:track:7rLvaxr2vdRpgrKmbWE68T,"Look at the Moon","Audion X","Audion",2013-12-09,533573,0,false,5forty,2014-01-20T22:52:23Z,"minimal techno,tech house","Spectral Sound",0.812,0.687,5,-8.209,1,0.073,0.000259,0.92,0.118,0.841,124.03,4
spotify:track:0In8R8Cmi0iZ2Tjaf5Jgfg,"Fred's Bells","Audion X","Audion",2013-12-09,521293,0,false,5forty,2014-01-20T22:52:23Z,"minimal techno,tech house","Spectral Sound",0.807,0.875,11,-10.464,0,0.072,0.025,0.618,0.127,0.489,121.001,4
spotify:track:1yRRYeEy3CN17PThD04eZM,"Billy Says Go","Audion X","Audion",2013-12-09,369052,0,false,5forty,2014-01-20T22:52:23Z,"minimal techno,tech house","Spectral Sound",0.79,0.535,11,-8.413,1,0.0534,0.0174,0.892,0.0922,0.123,125.006,4
spotify:track:4VpGdAEsSAzoC6fRG4efZ0,"Kisses","Audion X","Audion",2013-12-09,327680,0,false,5forty,2014-01-20T22:52:23Z,"minimal techno,tech house","Spectral Sound",0.886,0.655,1,-5.531,1,0.226,0.000597,0.919,0.0892,0.582,130.005,4
spotify:track:36jIWB1t8OwKJTpCfgBamE,"The Pong","Audion X","Audion",2013-12-09,326866,0,false,5forty,2014-01-20T22:52:23Z,"minimal techno,tech house","Spectral Sound",0.739,0.934,1,-2.13,1,0.104,0.0107,0.0294,0.0851,0.641,129.996,4
spotify:track:2Uqc9Ul0PceLyTE46PYjjI,"Titty Fuck","Audion X","Audion",2013-12-09,429040,0,false,5forty,2014-01-20T22:52:23Z,"minimal techno,tech house","Spectral Sound",0.791,0.943,2,-4.21,1,0.0587,0.0137,0.812,0.111,0.429,125.874,4
spotify:track:4GOaduE2UprJUOOX7bE5bM,"It's Full of Blinding Light","Audion X","Audion",2013-12-09,613360,0,false,5forty,2014-01-20T22:52:23Z,"minimal techno,tech house","Spectral Sound",0.969,0.768,11,-6.306,0,0.135,0.0132,0.277,0.147,0.165,118.025,4
spotify:track:55R1fDJ24mNjD26TjpmC2v,"I Am the Car","Audion X","Audion",2013-12-09,585760,0,false,5forty,2014-01-20T22:52:23Z,"minimal techno,tech house","Spectral Sound",0.811,0.223,0,-16.475,1,0.0923,0.0618,0.904,0.1,0.148,118,4
spotify:track:6bzZZm8gYYGhuvBatpkehB,"Just Fucking","Audion X","Audion",2013-12-09,352360,0,false,5forty,2014-01-20T22:52:23Z,"minimal techno,tech house","Spectral Sound",0.936,0.715,6,-6.171,0,0.309,0.0273,0.577,0.0651,0.235,124.979,4
spotify:track:41dnft4ZKqWDF4WA7VJftc,"Your Place or Mine","Audion X","Audion",2013-12-09,389773,0,false,5forty,2014-01-20T22:52:23Z,"minimal techno,tech house","Spectral Sound",0.935,0.347,3,-11.475,0,0.396,0.0306,0.72,0.0984,0.0852,125.062,4
spotify:track:5D3CK1czNf94dsGb5lYDmt,"Wield","Audion X","Audion",2013-12-09,495960,0,false,5forty,2014-01-20T22:52:23Z,"minimal techno,tech house","Spectral Sound",0.555,0.464,1,-11.838,1,0.0793,0.0637,0.729,0.331,0.0334,119.992,4
spotify:track:4PS5La1LtS4IpxPnfGxGTA,"Just Me","Audion X","Audion",2013-12-09,523666,0,false,5forty,2014-01-20T22:52:23Z,"minimal techno,tech house","Spectral Sound",0.813,0.759,6,-10.863,1,0.108,0.00798,0.936,0.0549,0.214,121.998,4
spotify:track:1NRoSPiziVkrU0DNSz1J7Q,"Taut","Audion X","Audion",2013-12-09,499480,0,false,5forty,2014-01-20T22:52:23Z,"minimal techno,tech house","Spectral Sound",0.901,0.685,7,-7.981,1,0.0796,0.0168,0.616,0.0991,0.225,122.989,4
