Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4gdJnDmtX8gNVrb25dmRj2,"I Found You","Boys & Girls","Alabama Shakes",2012-04-09,179653,0,false,5forty,2012-11-03T07:20:37Z,"","Rough Trade",0.446,0.76,7,-4.654,1,0.037,0.231,0.028,0.122,0.235,109.867,4
spotify:track:2UiWYAS3FjHZYzffmXExXn,"Default","Default","Atoms For Peace",2012-09-11,315665,0,false,5forty,2012-11-03T07:20:37Z,"","XL Recordings",0.793,0.857,1,-4.859,0,0.0867,0.0566,0.828,0.0939,0.706,159.013,4
spotify:track:2OSPx5aJ5zw5qOnbPJ0UIt,"All Your Gold","All Your Gold","Bat For Lashes",2012-09-14,272494,0,false,5forty,2012-11-03T07:20:37Z,"art pop,dream pop","Echo",0.83,0.544,9,-7.33,0,0.0653,0.0894,0.000483,0.101,0.755,136.002,4
spotify:track:3ZOH21Ea0fnNTKMUJnTwZQ,"Two Fingers","Two Fingers","Jake Bugg",2012-01-01,195986,0,false,5forty,2012-11-03T07:20:37Z,"","Virgin EMI",0.481,0.683,5,-5.216,1,0.0317,0.00266,0,0.0972,0.92,120.548,4
spotify:track:5hhkALqXJpAFGKbtOBuIy8,"Cherokee","Sun","Cat Power",2012-09-03,285546,0,false,5forty,2012-11-03T07:20:37Z,"slowcore,singer-songwriter","Matador",0.598,0.832,4,-7.553,0,0.0569,0.0286,0.112,0.364,0.333,116.995,4
spotify:track:2FhWdsRtTs4lVrSwOSmtil,"White Noise","Here Come The Bombs","Gaz Coombes",2012-05-21,249493,15,false,5forty,2012-11-03T07:20:37Z,"","Hot Fruit Records",0.383,0.752,8,-6.199,0,0.0363,0.00202,0.12,0.108,0.264,152.153,4
spotify:track:3SPVZJzf1Hs30rB6yXVf2y,"Mountain Sound","My Head Is An Animal","Of Monsters and Men",2012-01-01,211453,67,false,5forty,2012-11-03T07:20:37Z,"folk pop","Universal Records",0.379,0.878,1,-4.338,0,0.0359,0.042,0.00431,0.146,0.381,102.023,4
spotify:track:3pZZrFZEN1pcOUiPGDqcjd,"Best Of Friends","Best Of Friends/Last of the Summer Wine","Palma Violets",2012-10-22,212754,0,false,5forty,2012-11-03T07:20:37Z,"indie rock","Rough Trade",0.246,0.876,0,-3.942,1,0.0512,0.00000808,0.882,0.0634,0.296,129.223,4
spotify:track:1aB3C7GKpCFgsdhqzfZW0U,"Bloodshake","EP Delicious","Peace",2012-09-07,235586,32,false,5forty,2012-11-03T07:20:37Z,"","Columbia",0.524,0.841,4,-5.039,0,0.0404,0.00246,0.00128,0.289,0.247,128.004,4
spotify:track:3GqBziKS5dV16Rt7XBhry7,"Doom And Gloom - Jeff Bhasker Mix","Doom And Gloom (Jeff Bhasker Mix)","The Rolling Stones",2012-01-01,247175,0,false,5forty,2012-11-03T07:20:37Z,"classic rock,rock","Universal Music Group",0.592,0.803,0,-5.213,1,0.0339,0.00113,0.0066,0.0741,0.671,131.637,4
spotify:track:7acHFntM5UgPUQ6jC06J9Q,"Sun","Beacon (Deluxe Version)","Two Door Cinema Club",2012-08-31,187720,0,false,5forty,2012-11-03T07:20:37Z,"indie,indie rock","Digital Distribution Latvia",0.649,0.533,4,-5.426,0,0.0284,0.00982,0.000364,0.111,0.611,96.973,4
spotify:track:6XCo0c6gNbKr0a7L5aI3bq,"I Always Knew","Come of Age (Deluxe Version)","The Vaccines",2012-08-31,214346,0,false,5forty,2012-11-03T07:20:37Z,"indie,indie rock","Columbia",0.393,0.872,2,-2.53,1,0.0401,0.000122,0.000407,0.312,0.394,150.087,4
spotify:track:5IKFG5dqkq54B9jYhdJN1s,"The Base","Banks (Spotify Exclusive Preview)","Paul Banks",2012-10-15,234986,0,false,5forty,2012-11-03T07:20:37Z,"","Matador",0.507,0.859,4,-6.275,1,0.0378,0.0369,0.0252,0.0765,0.391,93.987,4
spotify:track:5qDJCNgxwDloQ8J32ZYIHP,"Kettling","Four","Bloc Party",2012-08-20,221120,0,false,5forty,2012-11-03T07:20:37Z,"indie rock","Frenchkiss / Co-operative Music",0.125,0.864,7,-4.526,1,0.0558,0.0000583,0.00245,0.916,0.453,79.535,4
spotify:track:1EukjAHIjoo5Kfdj9g08g6,"Pierce The Morning Rain","I Bet On Sky","Dinosaur Jr.",2012-09-17,165080,0,false,5forty,2012-11-03T07:20:37Z,"noise rock,grunge,alternative rock,power pop","Play It Again Sam",0.278,0.991,9,-3.264,1,0.13,0.00923,0.0201,0.0975,0.281,92.533,4
spotify:track:0QMiotbxDaKKcOc2QwsG85,"Life's a Beach","Django Django","Django Django",2012-01-23,185613,0,false,5forty,2012-11-03T07:20:37Z,"","Because Music",0.517,0.85,4,-5.235,1,0.0385,0.108,0.00212,0.129,0.674,172.933,4
spotify:track:6b2KXmWoYspL3B3ySeBytX,"Fester","Fester","Dutch Uncles",2012-09-20,239632,0,false,5forty,2012-11-03T07:20:37Z,"","Memphis Industries",0.718,0.804,0,-5.671,0,0.0299,0.0564,0.0215,0.167,0.887,132.068,4
