Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6c8remKkKwt5ecamJUgqqn,"Apologetic Shoulder Blades","Cerulean","Baths",2010-07-06,149520,0,false,5forty,2015-02-04T22:09:17Z,"chillwave","anticon",0.671,0.855,1,-7.285,1,0.463,0.238,0.0224,0.173,0.416,90.041,4
spotify:track:1ZfkdeAL3SSuCSSzXn9GMR,"Lovely Bloodflow","Cerulean","Baths",2010-07-06,215133,0,false,5forty,2015-02-04T22:09:17Z,"chillwave","anticon",0.832,0.518,7,-6.988,1,0.11,0.0157,0.163,0.403,0.326,95.022,4
spotify:track:6vjuooc7Kd1XGV0kz4PESl,"Maximalist","Cerulean","Baths",2010-07-06,199680,0,false,5forty,2015-02-04T22:09:17Z,"chillwave","anticon",0.755,0.708,7,-7.453,1,0.244,0.00129,0.445,0.105,0.382,94.987,4
spotify:track:5Otnbz9WPBCsJMEvvNlDFP,"♥","Cerulean","Baths",2010-07-06,197346,0,false,5forty,2015-02-04T22:09:17Z,"chillwave","anticon",0.632,0.62,2,-8.548,1,0.0697,0.258,0.0177,0.085,0.314,89.965,4
spotify:track:6IKNeMqF1V1gmNkiZh1MmZ,"Aminals","Cerulean","Baths",2010-07-06,198400,0,false,5forty,2015-02-04T22:09:17Z,"chillwave","anticon",0.74,0.698,8,-6.444,1,0.136,0.021,0.751,0.274,0.715,95.003,4
spotify:track:3qsH9BhpsCVYkHGeW4k5JB,"Rafting Starlit Everglades","Cerulean","Baths",2010-07-06,232573,0,false,5forty,2015-02-04T22:09:17Z,"chillwave","anticon",0.561,0.641,10,-12.766,1,0.0712,0.0549,0.857,0.361,0.225,99.91,4
spotify:track:3ZRbP0biQ1e6cjokeR1eSI,"Hall","Cerulean","Baths",2010-07-06,211600,0,false,5forty,2015-02-04T22:09:17Z,"chillwave","anticon",0.261,0.764,8,-6.621,1,0.224,0.0217,0.301,0.45,0.538,134.859,3
spotify:track:4MjtPzqzDAS6pbBxmy2VM7,"You're My Excuse To Travel","Cerulean","Baths",2010-07-06,214706,0,false,5forty,2015-02-04T22:09:17Z,"chillwave","anticon",0.499,0.815,6,-5.509,1,0.0677,0.214,0,0.202,0.379,95.011,4
spotify:track:3wBL92W8SNwH5ypxz2k84D,"Rain Smell","Cerulean","Baths",2010-07-06,263613,0,false,5forty,2015-02-04T22:09:17Z,"chillwave","anticon",0.472,0.542,11,-10.609,1,0.343,0.119,0.0000661,0.3,0.337,46.874,4
spotify:track:2atuS6OFaa3hXw2vzq9VBc,"Indoorsy","Cerulean","Baths",2010-07-06,164680,0,false,5forty,2015-02-04T22:09:17Z,"chillwave","anticon",0.587,0.821,4,-5.789,0,0.108,0.00258,0.0374,0.821,0.197,94.993,4
spotify:track:4V7ayoUYUXqkazXJehitkA,"Plea","Cerulean","Baths",2010-07-06,255853,0,false,5forty,2015-02-04T22:09:17Z,"chillwave","anticon",0.519,0.828,9,-5.77,1,0.313,0.0591,0,0.378,0.494,90.123,4
spotify:track:3ZXFyG2V6LdXzrFfpCFbJh,"Departure","Cerulean","Baths",2010-07-06,288986,0,false,5forty,2015-02-04T22:09:17Z,"chillwave","anticon",0.229,0.46,6,-15.977,1,0.0677,0.944,0.948,0.156,0.221,95.178,4
