Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3Sdt6bjFK7swN8H6Vmk7bY,"Worsening","Obsidian","Baths",2013-05-27,265946,0,false,5forty,2015-04-16T22:27:15Z,"chillwave","Anticon",0.683,0.665,5,-12.174,0,0.0439,0.195,0.782,0.229,0.294,99.988,3
spotify:track:10rrS6uqXbvih7zvpScj8f,"Miasma Sky","Obsidian","Baths",2013-05-27,273880,0,false,5forty,2015-04-16T22:27:15Z,"chillwave","Anticon",0.629,0.601,9,-11.267,0,0.0346,0.225,0.828,0.0982,0.31,120.04,3
spotify:track:7D6JfJmuLN68NZSBPfpZlV,"Ironworks","Obsidian","Baths",2013-05-27,280053,0,false,5forty,2015-04-16T22:27:15Z,"chillwave","Anticon",0.544,0.474,9,-12.03,1,0.058,0.361,0.00133,0.0833,0.171,159.793,3
spotify:track:3CxIJ74JD7EtF4KaQ3cRkm,"Ossuary","Obsidian","Baths",2013-05-27,232440,0,false,5forty,2015-04-16T22:27:15Z,"chillwave","Anticon",0.646,0.665,7,-10.125,1,0.105,0.0276,0.409,0.122,0.369,139.975,4
spotify:track:3CRpHTBJjqpFXaqTcUbWl4,"Incompatible","Obsidian","Baths",2013-05-27,279640,0,false,5forty,2015-04-16T22:27:15Z,"chillwave","Anticon",0.646,0.555,9,-11.512,0,0.19,0.338,0.394,0.103,0.696,169.961,4
spotify:track:11VAOwvQqukcXHtgcfMpiN,"No Eyes","Obsidian","Baths",2013-05-27,253680,0,false,5forty,2015-04-16T22:27:15Z,"chillwave","Anticon",0.643,0.587,0,-10.512,1,0.054,0.163,0.57,0.334,0.689,160.015,4
spotify:track:322QjnKdzKpr4kksLuqpOa,"Phaedra","Obsidian","Baths",2013-05-27,292493,0,false,5forty,2015-04-16T22:27:15Z,"chillwave","Anticon",0.625,0.726,0,-11.511,1,0.0435,0.0223,0.0929,0.0929,0.329,159.992,3
spotify:track:3oRIHE4mJ22K7w1ntsyprl,"No Past Lives","Obsidian","Baths",2013-05-27,220186,0,false,5forty,2015-04-16T22:27:15Z,"chillwave","Anticon",0.558,0.49,7,-10.485,1,0.0832,0.0623,0.0117,0.203,0.43,149.704,4
spotify:track:7dh4NvaN1BuJCFjo4jNUnD,"Earth Death","Obsidian","Baths",2013-05-27,273800,0,false,5forty,2015-04-16T22:27:15Z,"chillwave","Anticon",0.361,0.58,1,-10.666,1,0.0899,0.00129,0.868,0.207,0.124,83.152,4
spotify:track:3b0M1REx4ddkwRiNxUFBpR,"Inter","Obsidian","Baths",2013-05-27,229600,0,false,5forty,2015-04-16T22:27:15Z,"chillwave","Anticon",0.53,0.181,3,-18.802,1,0.0253,0.91,0.944,0.0506,0.325,102.32,4
