Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2wDVcODSuDlDmrcbKYYjjT,"Sometimes","Beach Fossils","Beach Fossils",2010-07-09,175930,0,false,5forty,2013-06-26T00:07:36Z,"dream pop,surf rock,shoegaze","Popfrenzy Records",0.573,0.802,1,-5.862,1,0.0301,0.255,0.862,0.124,0.76,124.083,4
spotify:track:0AN5Eil0ztjgWcURze1lBQ,"Youth","Beach Fossils","Beach Fossils",2010-07-09,156860,0,false,5forty,2013-06-26T00:07:36Z,"dream pop,surf rock,shoegaze","Popfrenzy Records",0.579,0.776,4,-7.274,1,0.0286,0.161,0.929,0.392,0.844,149.987,4
spotify:track:3x9vCcfwSHJQCbHn0o65se,"Vacation","Beach Fossils","Beach Fossils",2010-07-09,226298,0,false,5forty,2013-06-26T00:07:36Z,"dream pop,surf rock,shoegaze","Popfrenzy Records",0.383,0.972,10,-6.088,0,0.119,0.23,0.807,0.291,0.25,159.995,4
spotify:track:5FY99aVzFuEXn71usUcX8w,"Lazy Day","Beach Fossils","Beach Fossils",2010-07-09,184858,0,false,5forty,2013-06-26T00:07:36Z,"dream pop,surf rock,shoegaze","Popfrenzy Records",0.48,0.825,11,-5.164,1,0.0362,0.401,0.924,0.35,0.256,131.95,4
spotify:track:55ST5jkTv4joiKALAZehHc,"Twelve Roses","Beach Fossils","Beach Fossils",2010-07-09,140182,0,false,5forty,2013-06-26T00:07:36Z,"dream pop,surf rock,shoegaze","Popfrenzy Records",0.288,0.816,6,-5.246,0,0.0502,0.112,0.672,0.594,0.675,170.507,4
spotify:track:3wzquzlss2RnvkVtif5PO4,"Daydream","Beach Fossils","Beach Fossils",2010-07-09,184145,0,false,5forty,2013-06-26T00:07:36Z,"dream pop,surf rock,shoegaze","Popfrenzy Records",0.346,0.932,7,-5.119,1,0.0693,0.238,0.904,0.455,0.589,159.796,4
spotify:track:2YQD1PDo6dTPQ06kg3ZbDT,"Golden Age","Beach Fossils","Beach Fossils",2010-07-09,285882,0,false,5forty,2013-06-26T00:07:36Z,"dream pop,surf rock,shoegaze","Popfrenzy Records",0.485,0.802,1,-5.448,0,0.0343,0.445,0.861,0.346,0.76,136.01,4
spotify:track:0XtV1Hl1wfUfQH7tO2SZFK,"Window View","Beach Fossils","Beach Fossils",2010-07-09,245477,0,false,5forty,2013-06-26T00:07:36Z,"dream pop,surf rock,shoegaze","Popfrenzy Records",0.535,0.775,11,-8.061,1,0.0252,0.825,0.831,0.147,0.958,90.023,4
spotify:track:6fhy1M9beO35L8iZx1N5wa,"The Horse","Beach Fossils","Beach Fossils",2010-07-09,165205,0,false,5forty,2013-06-26T00:07:36Z,"dream pop,surf rock,shoegaze","Popfrenzy Records",0.443,0.898,7,-6.858,1,0.037,0.341,0.96,0.639,0.873,159.966,4
spotify:track:14bwX2A05nyWGGksOTDaO9,"Wide Awake","Beach Fossils","Beach Fossils",2010-07-09,185578,0,false,5forty,2013-06-26T00:07:36Z,"dream pop,surf rock,shoegaze","Popfrenzy Records",0.509,0.785,4,-6.578,1,0.0308,0.739,0.912,0.143,0.482,131.946,4
spotify:track:7vYZqSalElrrlEFCmv4gpB,"Gathering","Beach Fossils","Beach Fossils",2010-07-09,95937,0,false,5forty,2013-06-26T00:07:36Z,"dream pop,surf rock,shoegaze","Popfrenzy Records",0.499,0.774,4,-8.119,0,0.0458,0.481,0.896,0.939,0.483,95.955,4
