Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4UypZquP4JF6CClAFwBRSN,"Cha Cha Cha","Kitsuné: Cha Cha Cha - EP","Beataucue",2010-05-24,326053,0,false,,2011-11-08T16:53:51Z,"french house,nu disco,indie dance","Kitsuné",0.793,0.936,4,-8.695,0,0.272,0.0257,0.282,0.923,0.31,128.004,4
spotify:track:645SMoyuIdJHCwVgxNjRJW,"Wolves","Kitsuné: Cha Cha Cha - EP","Beataucue",2010-05-24,310706,0,false,,2011-11-08T16:53:51Z,"french house,nu disco,indie dance","Kitsuné",0.865,0.933,2,-10.74,1,0.273,0.0152,0.24,0.0436,0.365,127.964,4
spotify:track:70yRqDOiAJnBltqBb1mgyd,"Bus","Kitsuné: Cha Cha Cha - EP","Beataucue",2010-05-24,315106,0,false,,2011-11-08T16:53:51Z,"french house,nu disco,indie dance","Kitsuné",0.892,0.942,9,-6.674,1,0.367,0.0106,0.0000432,0.515,0.397,129.99,4
spotify:track:2NJ6QQimbIR5ibifc3ttug,"Cha Cha Cha (Daniel Haaksman Remix)","Kitsuné: Cha Cha Cha - EP","Beataucue",2010-05-24,334426,0,false,,2011-11-08T16:53:51Z,"french house,nu disco,indie dance","Kitsuné",0.785,0.556,6,-11.562,1,0.0946,0.0000563,0.883,0.633,0.604,128.011,4
spotify:track:6OAsjriVAa7xaKryuMj9FG,"Cha Cha Cha (Dja Remix)","Kitsuné: Cha Cha Cha - EP","Beataucue",2010-05-24,262613,0,false,,2011-11-08T16:53:51Z,"french house,nu disco,indie dance","Kitsuné",0.868,0.69,10,-6.487,0,0.154,0.0165,0.831,0.0847,0.675,127.976,4
spotify:track:7kCfLm8Cd6dipcSqdBlToE,"Wolves (Sharkslayer Remix)","Kitsuné: Cha Cha Cha - EP","Beataucue",2010-05-24,312360,0,false,,2011-11-08T16:53:51Z,"french house,nu disco,indie dance","Kitsuné",0.756,0.637,1,-8.69,1,0.0508,0.0000266,0.869,0.712,0.488,129,4
spotify:track:4Z0z2xK42Bz4N1Ms8IQPix,"Wolves (Willnez Gre Remix)","Kitsuné: Cha Cha Cha - EP","Beataucue",2010-05-24,270106,0,false,,2011-11-08T16:53:51Z,"french house,nu disco,indie dance","Kitsuné",0.937,0.992,1,-7.674,1,0.391,0.102,0.0298,0.624,0.0365,127.979,4
spotify:track:0Cq8pdzJEs1huNcFZHmIEX,"Disque Oh! (Original Mix)","Kitsuné: Disque Oh! - EP","Beataucue",2011-01-10,208173,0,false,,2011-11-08T16:53:51Z,"french house,nu disco,indie dance","Kitsuné",0.743,0.663,2,-6.532,1,0.284,0.386,0.00491,0.0842,0.319,128.047,4
spotify:track:068vBH7mmhYyogvqY3o81j,"Disque Oh! (Don Rimini Remix)","Kitsuné: Disque Oh! - EP","Beataucue",2011-01-10,299946,0,false,,2011-11-08T16:53:51Z,"french house,nu disco,indie dance","Kitsuné",0.867,0.776,11,-5.833,0,0.159,0.00419,0.231,0.157,0.691,129.956,4
spotify:track:68CZ7UPy2oZ44mT2wbwGVa,"Disque Oh! (High Rankin Remix)","Kitsuné: Disque Oh! - EP","Beataucue",2011-01-10,264000,0,false,,2011-11-08T16:53:51Z,"french house,nu disco,indie dance","Kitsuné",0.678,0.918,9,-2.583,1,0.159,0.0108,0.011,0.0538,0.0412,128.024,4
spotify:track:2r0wYrk8ksex71F5BC0oCu,"Disque Oh! (J-Wow Remix)","Kitsuné: Disque Oh! - EP","Beataucue",2011-01-10,316106,0,false,,2011-11-08T16:53:51Z,"french house,nu disco,indie dance","Kitsuné",0.786,0.787,4,-7.919,1,0.0564,0.0169,0.792,0.1,0.878,135.024,4
spotify:track:0GRvVqB0I8E0mPwi6g8xZk,"Disque Oh! (Piemont Remix)","Kitsuné: Disque Oh! - EP","Beataucue",2011-01-10,398040,0,false,,2011-11-08T16:53:51Z,"french house,nu disco,indie dance","Kitsuné",0.812,0.921,0,-7.752,1,0.0528,0.0000198,0.851,0.07,0.825,126.001,4
spotify:track:25rIKyymCjStKhuZEOKakN,"Disque Oh! (Eumig & Chinon Remix)","Kitsuné: Disque Oh! - EP","Beataucue",2011-01-10,260800,0,false,,2011-11-08T16:53:51Z,"french house,nu disco,indie dance","Kitsuné",0.547,0.892,4,-5.886,1,0.339,0.00933,0.0908,0.0501,0.304,127.899,4
spotify:track:0z0sdf6CgVMWbZohXSZYWB,"Folder","Kitsuné: Falcon Punch - EP","Beataucue",2011-07-04,300486,0,false,,2011-11-08T16:53:51Z,"french house,nu disco,indie dance","Kitsuné",0.796,0.924,10,-5.11,0,0.161,0.00373,0.823,0.0655,0.756,127.968,4
spotify:track:0skaza1QzTXlzVsjLrxYds,"Falcon Punch","Kitsuné: Falcon Punch - EP","Beataucue",2011-07-04,344282,0,false,,2011-11-08T16:53:51Z,"french house,nu disco,indie dance","Kitsuné",0.716,0.983,0,-5.009,1,0.26,0.0267,0.272,0.454,0.511,127.993,4
spotify:track:05S67yIpYXKczeFBF2q2jI,"Cytise","Kitsuné: Falcon Punch - EP","Beataucue",2011-07-04,300098,0,false,,2011-11-08T16:53:51Z,"french house,nu disco,indie dance","Kitsuné",0.819,0.972,2,-4.702,1,0.141,0.0711,0.0527,0.072,0.539,127.934,4
spotify:track:6xYEfq9Nxt1NcoLZzxt9KT,"Tearing","Kitsuné: Falcon Punch - EP","Beataucue",2011-07-04,361453,0,false,,2011-11-08T16:53:51Z,"french house,nu disco,indie dance","Kitsuné",0.857,0.816,0,-6.251,1,0.538,0.0164,0.0518,0.0559,0.387,127.985,4
spotify:track:0OvWzCAd0G2pDHGrsYmdCD,"Close","Kitsuné: Falcon Punch - EP","Beataucue",2011-07-04,213044,0,false,,2011-11-08T16:53:51Z,"french house,nu disco,indie dance","Kitsuné",0.68,0.581,0,-7.139,0,0.0917,0.0602,0.00524,0.102,0.25,122.515,4
spotify:track:3oW7cJVrjJICKSbkkNtm75,"Disque Oh!","Kitsuné Maison Compilation 10: The Fireworks Issue","Beataucue",2010-11-29,208560,0,false,,2011-11-08T16:53:51Z,"french house,nu disco,indie dance","Kitsuné",0.747,0.684,2,-6.552,1,0.185,0.402,0.00879,0.0885,0.334,128.007,4
spotify:track:3kbPMn6EUxffnryvzdNw3d,"Behold","Kitsuné Parisien (Bonus Track Version)","Beataucue",2011-02-21,230186,0,false,,2011-11-08T16:53:51Z,"french house,nu disco,indie dance","Kitsuné",0.693,0.89,7,-8.396,0,0.111,0.0223,0.0628,0.431,0.477,127.983,4
