Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5Xx2Ly2ll2rGLceT0hfbHj,"Tidal Wave","Leaper","Beliefs",2015-11-13,257847,0,false,5forty,2016-03-01T17:56:17Z,"shoegaze,dream pop,neo-psychedelic","Hand Drawn Dracula",0.224,0.817,9,-4.732,1,0.0672,0.000613,0.863,0.343,0.221,161.98,4
spotify:track:7piXqCKneUoxGJ0AKmky3i,"1992","Leaper","Beliefs",2015-11-13,237785,0,false,5forty,2016-03-01T17:56:17Z,"shoegaze,dream pop,neo-psychedelic","Hand Drawn Dracula",0.376,0.763,2,-4.074,1,0.066,0.000082,0.81,0.165,0.409,130.024,4
spotify:track:2YOXxEuqtN93OqyxlgVy9S,"Colour of Your Name","Leaper","Beliefs",2015-11-13,211036,0,false,5forty,2016-03-01T17:56:17Z,"shoegaze,dream pop,neo-psychedelic","Hand Drawn Dracula",0.389,0.782,4,-4.059,1,0.0491,0.0000151,0.808,0.109,0.665,120.086,4
spotify:track:5gyG4mibVs7U9gGAcwTeGg,"Drown","Leaper","Beliefs",2015-11-13,174627,0,false,5forty,2016-03-01T17:56:17Z,"shoegaze,dream pop,neo-psychedelic","Hand Drawn Dracula",0.419,0.682,4,-6.136,1,0.0373,0.145,0.764,0.112,0.51,113.978,4
spotify:track:0XIMRpHFUK08CBvcp2sKrC,"Leaper","Leaper","Beliefs",2015-11-13,364101,0,false,5forty,2016-03-01T17:56:17Z,"shoegaze,dream pop,neo-psychedelic","Hand Drawn Dracula",0.35,0.734,6,-5.143,0,0.0436,0.000338,0.824,0.421,0.256,134.066,4
spotify:track:5fYIgsKx8t0iEOUeE3idld,"Ghosts","Leaper","Beliefs",2015-11-13,294999,0,false,5forty,2016-03-01T17:56:17Z,"shoegaze,dream pop,neo-psychedelic","Hand Drawn Dracula",0.376,0.841,11,-3.18,1,0.0389,0.00123,0.547,0.226,0.55,139.95,4
spotify:track:5cQS8S709g9UhZLF3IA8hf,"Morning Light","Leaper","Beliefs",2015-11-13,196918,0,false,5forty,2016-03-01T17:56:17Z,"shoegaze,dream pop,neo-psychedelic","Hand Drawn Dracula",0.22,0.851,11,-3.804,0,0.0724,0.000187,0.772,0.357,0.274,151.967,4
spotify:track:3iOs0mQmP8tPW6nsLChLrJ,"Go Ahead and Sleep","Leaper","Beliefs",2015-11-13,268250,0,false,5forty,2016-03-01T17:56:17Z,"shoegaze,dream pop,neo-psychedelic","Hand Drawn Dracula",0.308,0.81,2,-4.838,1,0.0379,0.000837,0.00002,0.27,0.419,144.994,4
spotify:track:3ckHZnehQ14DLwjrrsRQhx,"Leave with You","Leaper","Beliefs",2015-11-13,177599,0,false,5forty,2016-03-01T17:56:17Z,"shoegaze,dream pop,neo-psychedelic","Hand Drawn Dracula",0.239,0.851,0,-5.297,1,0.0513,0.00000658,0.000355,0.0936,0.461,159.917,4
spotify:track:6ldADxVsCqLDN6YFpFO6iL,"Swooner","Leaper","Beliefs",2015-11-13,308374,0,false,5forty,2016-03-01T17:56:17Z,"shoegaze,dream pop,neo-psychedelic","Hand Drawn Dracula",0.411,0.712,4,-5.589,1,0.0324,0.0363,0.892,0.361,0.356,106.016,4
