Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2dyNwHkCEQXo37X7SMX4Lg,"With No Advantage","Sonnet","Benoît Pioulard",2015-03-30,33026,3,false,5forty,2015-04-13T22:16:30Z,"drone,ambient,ambient folk","kranky",0.245,0.362,10,-15.807,0,0.0452,0.996,0.903,0.197,0.237,69.166,4
spotify:track:6FSM6Pw9fHD2RHN7eTnpvO,"The Gilded Fear That Guides the Flow","Sonnet","Benoît Pioulard",2015-03-30,275640,4,false,5forty,2015-04-13T22:16:30Z,"drone,ambient,ambient folk","kranky",0.159,0.81,9,-5.409,1,0.0606,0.82,0.414,0.132,0.0723,109.316,4
spotify:track:70bvfk2bpkga3wOaj88QPD,"Of Everything That Rhymes","Sonnet","Benoît Pioulard",2015-03-30,303280,6,false,5forty,2015-04-13T22:16:30Z,"drone,ambient,ambient folk","kranky",0.0647,0.575,11,-8.313,1,0.0436,0.969,0.913,0.093,0.0386,72.03,5
spotify:track:5S5Dd49FFVwPZUT6MxaFz3,"Is in Its Clearest Form","Sonnet","Benoît Pioulard",2015-03-30,39973,3,false,5forty,2015-04-13T22:16:30Z,"drone,ambient,ambient folk","kranky",0.286,0.607,0,-12.385,1,0.0442,0.991,0.831,0.141,0.55,91.494,3
spotify:track:4kkXGnP4supVGWs98Yu9gE,"An Image Apart from Ourselves","Sonnet","Benoît Pioulard",2015-03-30,221573,13,false,5forty,2015-04-13T22:16:30Z,"drone,ambient,ambient folk","kranky",0.237,0.427,11,-15.746,0,0.0439,0.973,0.904,0.11,0.039,124.984,4
spotify:track:55cgLdpsgycKr8l5RNx9j6,"Whose Palms Create","Sonnet","Benoît Pioulard",2015-03-30,245573,3,false,5forty,2015-04-13T22:16:30Z,"drone,ambient,ambient folk","kranky",0.0551,0.0883,2,-10.857,1,0.039,0.839,0.847,0.118,0.0396,63.579,4
spotify:track:6TSEcxldANXHb5igw0X8V8,"As Would a Weaver","Sonnet","Benoît Pioulard",2015-03-30,93746,3,false,5forty,2015-04-13T22:16:30Z,"drone,ambient,ambient folk","kranky",0.25,0.282,10,-14.946,0,0.0508,0.996,0.75,0.102,0.0628,127.637,5
spotify:track:42tWuOO17EGj4nHksVemof,"A Shade of Celadon","Sonnet","Benoît Pioulard",2015-03-30,146693,3,false,5forty,2015-04-13T22:16:30Z,"drone,ambient,ambient folk","kranky",0.183,0.485,3,-8.482,1,0.0429,0.945,0.916,0.381,0.498,80.632,3
spotify:track:7jRijW529dJ1QRbVa9SJiO,"So Etched in Memory","Sonnet","Benoît Pioulard",2015-03-30,175946,3,false,5forty,2015-04-13T22:16:30Z,"drone,ambient,ambient folk","kranky",0.255,0.407,0,-12.039,1,0.0612,0.865,0.851,0.13,0.438,126.584,5
spotify:track:7j8u35W1i36bKIKPpEmLmt,"Upon the Break Arch","Sonnet","Benoît Pioulard",2015-03-30,335800,6,false,5forty,2015-04-13T22:16:30Z,"drone,ambient,ambient folk","kranky",0.118,0.374,4,-14.212,0,0.0511,0.957,0.867,0.102,0.0256,66.752,4
spotify:track:0y715JJnwnmCrC0d1diQpN,"That Wounded Weathered","Sonnet","Benoît Pioulard",2015-03-30,78240,2,false,5forty,2015-04-13T22:16:30Z,"drone,ambient,ambient folk","kranky",0.267,0.27,9,-16.009,0,0.0452,0.99,0.9,0.079,0.669,125.002,4
spotify:track:594hegau9DVTN3zrrddecL,"Shut-Ins on Sunday See","Sonnet","Benoît Pioulard",2015-03-30,199253,12,false,5forty,2015-04-13T22:16:30Z,"drone,ambient,ambient folk","kranky",0.138,0.394,11,-16.051,0,0.0421,0.958,0.919,0.489,0.042,69.017,3
spotify:track:1prHwRjqjPTX0ewW9yEKSw,"The Very Edge of Its Flame","Sonnet","Benoît Pioulard",2015-03-30,449346,3,false,5forty,2015-04-13T22:16:30Z,"drone,ambient,ambient folk","kranky",0.123,0.694,11,-5.143,1,0.0366,0.195,0.838,0.464,0.0393,97.239,3
spotify:track:0FZqUiJcq6ZYZJjgKpSwUb,"And Relent","Sonnet","Benoît Pioulard",2015-03-30,160973,2,false,5forty,2015-04-13T22:16:30Z,"drone,ambient,ambient folk","kranky",0.116,0.358,0,-12.406,0,0.0464,0.922,0.898,0.169,0.175,88.323,3
