Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2wWsqIpoTEB5jQV5m8Qia2,"Turn to Dust","My Love Is Cool","Wolf Alice",2015-06-22,187933,37,false,seaninsound,2015-12-08T10:12:22Z,"indie","Dirty Hit",0.511,0.434,6,-12.864,0,0.0284,0.815,0.0584,0.23,0.242,80.995,3
spotify:track:2PIcAQiSOayFwJrfWc72Qc,"Bros","My Love Is Cool","Wolf Alice",2015-06-22,224720,62,false,seaninsound,2015-12-08T10:12:22Z,"indie","Dirty Hit",0.583,0.921,4,-8.383,1,0.0697,0.00377,0.462,0.226,0.222,125.98,4
spotify:track:576lubCgnXbgRF7etHrFYy,"Your Loves Whore","My Love Is Cool","Wolf Alice",2015-06-22,297386,47,true,seaninsound,2015-12-08T10:12:22Z,"indie","Dirty Hit",0.582,0.59,2,-6.981,1,0.0487,0.0011,0.326,0.0502,0.32,156.007,4
spotify:track:0tRgWcTSuB9VlvHA8KpYmB,"You’re a Germ","My Love Is Cool","Wolf Alice",2015-06-22,173160,43,true,seaninsound,2015-12-08T10:12:22Z,"indie","Dirty Hit",0.629,0.838,7,-6.542,1,0.0645,0.000876,0.146,0.262,0.536,138.027,4
spotify:track:60iW8Vs5eW1mhxLoxQhEJH,"Lisbon","My Love Is Cool","Wolf Alice",2015-06-22,206040,41,false,seaninsound,2015-12-08T10:12:22Z,"indie","Dirty Hit",0.51,0.819,1,-7.152,0,0.0456,0.000112,0.892,0.128,0.319,144.065,4
spotify:track:5VWtavZNYlK6m6MQY6YRg1,"Silk","My Love Is Cool","Wolf Alice",2015-06-22,243986,58,false,seaninsound,2015-12-08T10:12:22Z,"indie","Dirty Hit",0.514,0.414,0,-9.693,1,0.0297,0.38,0.00891,0.142,0.231,86.014,4
spotify:track:6YYU9JbeWnW4L5NY7hlLlw,"Freazy","My Love Is Cool","Wolf Alice",2015-06-22,194853,49,false,seaninsound,2015-12-08T10:12:22Z,"indie","Dirty Hit",0.672,0.76,0,-7.867,1,0.0339,0.00148,0.00522,0.306,0.515,111.98,4
spotify:track:00rgPsaLJHuq1Qm7sdMHOD,"Giant Peach","My Love Is Cool","Wolf Alice",2015-06-22,275493,45,false,seaninsound,2015-12-08T10:12:22Z,"indie","Dirty Hit",0.503,0.812,6,-7.829,0,0.0754,0.0000475,0.0639,0.691,0.136,140.902,4
spotify:track:7MOoTrR8u3wVrugdqIHtZ7,"Swallowtail","My Love Is Cool","Wolf Alice",2015-06-22,341093,33,false,seaninsound,2015-12-08T10:12:22Z,"indie","Dirty Hit",0.39,0.389,7,-8.743,1,0.0298,0.208,0.0257,0.0924,0.156,148.102,4
spotify:track:4erzEoxAeF7FjOGw7gSRFT,"Soapy Water","My Love Is Cool","Wolf Alice",2015-06-22,222186,37,false,seaninsound,2015-12-08T10:12:22Z,"indie","Dirty Hit",0.667,0.583,8,-10.072,0,0.0785,0.000643,0.0993,0.164,0.641,129.312,4
