Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:37QUVVmHw5f87clLtVhiQM,"Tell Me You Don't Love Me Watching","West Kirby County Primary","Bill Ryder-Jones",2015-11-06,146586,0,false,5forty,2016-02-23T11:39:14Z,"","Domino Recording Co",0.69,0.413,10,-11.086,1,0.0335,0.844,0.000923,0.0925,0.293,90.011,4
spotify:track:4367KZtN1LC9O0r600p82c,"Two To Birkenhead","West Kirby County Primary","Bill Ryder-Jones",2015-11-06,262213,0,false,5forty,2016-02-23T11:39:14Z,"","Domino Recording Co",0.444,0.685,9,-5.57,1,0.0399,0.0000984,0.00998,0.14,0.344,107.954,4
spotify:track:2B2FiKzsb0vit3QN0plzPh,"Let's Get Away From Here","West Kirby County Primary","Bill Ryder-Jones",2015-11-06,261613,0,false,5forty,2016-02-23T11:39:14Z,"","Domino Recording Co",0.722,0.25,9,-10.349,1,0.0278,0.195,0.591,0.0765,0.34,93.068,4
spotify:track:0w9akk544cwZoMD9GyY82C,"Daniel","West Kirby County Primary","Bill Ryder-Jones",2015-11-06,260240,0,false,5forty,2016-02-23T11:39:14Z,"","Domino Recording Co",0.597,0.587,11,-7.258,1,0.0244,0.158,0.717,0.084,0.775,94.251,4
spotify:track:6lp6SvEwFq7nPFPNYQKnGs,"Put It Down Before You Break It","West Kirby County Primary","Bill Ryder-Jones",2015-11-06,233253,0,false,5forty,2016-02-23T11:39:14Z,"","Domino Recording Co",0.408,0.259,2,-12.524,1,0.0332,0.72,0.0106,0.0833,0.0639,104.359,4
spotify:track:7CnUFc7E51lZRvcF37nI8J,"Catharine and Huskisson","West Kirby County Primary","Bill Ryder-Jones",2015-11-06,241760,0,false,5forty,2016-02-23T11:39:14Z,"","Domino Recording Co",0.468,0.67,5,-6.785,1,0.026,0.0059,0.00161,0.287,0.632,91.186,4
spotify:track:2BPOz8KNRbh62DjQhrNIvf,"Wild Roses","West Kirby County Primary","Bill Ryder-Jones",2015-11-06,218746,0,false,5forty,2016-02-23T11:39:14Z,"","Domino Recording Co",0.614,0.647,2,-7.539,1,0.023,0.0564,0.38,0.145,0.49,100.027,4
spotify:track:458CFEpapHxwA6WeNXHzRZ,"You Can't Hide A Light With The Dark","West Kirby County Primary","Bill Ryder-Jones",2015-11-06,218333,0,false,5forty,2016-02-23T11:39:14Z,"","Domino Recording Co",0.469,0.489,5,-9.075,1,0.0423,0.0856,0.893,0.125,0.881,90.027,4
spotify:track:2Y7Gz97260Z3PdyK7Gy38O,"Satellites","West Kirby County Primary","Bill Ryder-Jones",2015-11-06,349880,0,false,5forty,2016-02-23T11:39:14Z,"","Domino Recording Co",0.558,0.431,0,-5.761,1,0.026,0.00279,0.668,0.331,0.429,145.01,4
spotify:track:6nUFzEOjw8U9gKw957WoMf,"Seabirds","West Kirby County Primary","Bill Ryder-Jones",2015-11-06,264040,0,false,5forty,2016-02-23T11:39:14Z,"","Domino Recording Co",0.517,0.184,2,-14.827,1,0.031,0.849,0.000117,0.112,0.0811,79.853,3
