Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4JofBb1Jl9U7qhvDpR0a5a,"Cough, Cough","Cough","Black Eyes",2004,209693,0,false,5forty,2015-02-18T21:49:25Z,"noise rock,post-hardcore,egg punk,mathcore","Dischord Records",0.252,0.493,5,-15.345,1,0.08,0.123,0.86,0.65,0.0637,175.915,4
spotify:track:1aLmm1c8wesFguXkErCbsK,"Eternal Life","Cough","Black Eyes",2004,242840,0,false,5forty,2015-02-18T21:49:25Z,"noise rock,post-hardcore,egg punk,mathcore","Dischord Records",0.228,0.905,2,-7.731,1,0.079,0.00392,0.000233,0.431,0.352,125.637,4
spotify:track:4eRBQ4Rm5IvxNVIn00Cipm,"False Positive","Cough","Black Eyes",2004,166706,0,false,5forty,2015-02-18T21:49:25Z,"noise rock,post-hardcore,egg punk,mathcore","Dischord Records",0.296,0.943,4,-7.149,0,0.189,0.0206,0.00000436,0.265,0.36,97.888,4
spotify:track:2ZIrNhejMN0prLJHvr5XLO,"Drums","Cough","Black Eyes",2004,213960,0,false,5forty,2015-02-18T21:49:25Z,"noise rock,post-hardcore,egg punk,mathcore","Dischord Records",0.514,0.679,0,-8.36,1,0.0688,0.117,0.000144,0.146,0.4,70.864,4
spotify:track:2fkHGNQxfMOiPyZJy0MFfA,"Scrapes and Scratches","Cough","Black Eyes",2004,194226,0,false,5forty,2015-02-18T21:49:25Z,"noise rock,post-hardcore,egg punk,mathcore","Dischord Records",0.599,0.677,5,-10.816,1,0.145,0.401,0.000527,0.142,0.862,141.125,4
spotify:track:5cT8kPIPioYK6ZwwCdj9jh,"Fathers of Daughters","Cough","Black Eyes",2004,201546,0,false,5forty,2015-02-18T21:49:25Z,"noise rock,post-hardcore,egg punk,mathcore","Dischord Records",0.358,0.802,5,-7.948,1,0.0694,0.0286,0.00000882,0.301,0.583,132.135,4
spotify:track:5PIJBaXRDezzDPUkfmBYAV,"Holy of Holies","Cough","Black Eyes",2004,186626,0,false,5forty,2015-02-18T21:49:25Z,"noise rock,post-hardcore,egg punk,mathcore","Dischord Records",0.503,0.924,0,-8.647,1,0.0789,0.0144,0.517,0.453,0.492,125.899,4
spotify:track:5s1ltNBPVSfdhJBXVCdSpq,"Commencement","Cough","Black Eyes",2004,185986,0,false,5forty,2015-02-18T21:49:25Z,"noise rock,post-hardcore,egg punk,mathcore","Dischord Records",0.271,0.56,7,-7.85,1,0.0511,0.014,0.0858,0.36,0.485,111.104,4
spotify:track:49WJ9DOM5V6myGsdYJJqV9,"Spring Into Winter","Cough","Black Eyes",2004,122946,0,false,5forty,2015-02-18T21:49:25Z,"noise rock,post-hardcore,egg punk,mathcore","Dischord Records",0.585,0.854,9,-7.67,0,0.086,0.0904,0.261,0.689,0.645,135.231,4
spotify:track:3Z1JF8uDq9mFKegCv1uOXI,"Another Country","Cough","Black Eyes",2004,129733,0,false,5forty,2015-02-18T21:49:25Z,"noise rock,post-hardcore,egg punk,mathcore","Dischord Records",0.295,0.951,7,-7.731,1,0.243,0.234,0.00000124,0.11,0.181,147.211,4
spotify:track:7gFxHQHUVUuUQzzCNP1yYW,"A Meditation","Cough","Black Eyes",2004,357360,0,false,5forty,2015-02-18T21:49:25Z,"noise rock,post-hardcore,egg punk,mathcore","Dischord Records",0.408,0.383,10,-10.532,0,0.0532,0.285,0.0156,0.112,0.0476,171.507,4
