Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:14dHozFIBxJ0JJBKtWxFRu,"Sifted Gold","Blanck Mass","Blanck Mass",2011-06-20,219440,0,false,5forty,2013-01-09T04:20:02Z,"drone,idm","Rock Action Records",0.165,0.616,9,-6.85,0,0.0501,0.0000155,0.736,0.439,0.0376,112.151,4
spotify:track:6AJy2LjpSRZ0H8vuVbtCdK,"Sundowner","Blanck Mass","Blanck Mass",2011-06-20,479106,0,false,5forty,2013-01-09T04:20:02Z,"drone,idm","Rock Action Records",0.105,0.487,9,-6.626,1,0.0369,0.00000619,0.948,0.126,0.0653,85.297,3
spotify:track:24eA7NBXJwstgtqEyR1xQl,"Chernobyl","Blanck Mass","Blanck Mass",2011-06-20,264440,0,false,5forty,2013-01-09T04:20:02Z,"drone,idm","Rock Action Records",0.164,0.363,0,-11.586,0,0.043,0.717,0.965,0.122,0.0373,128.137,5
spotify:track:6LsdaOdvr4HuPiEqmoDqYh,"Raw Deal","Blanck Mass","Blanck Mass",2011-06-20,594226,0,false,5forty,2013-01-09T04:20:02Z,"drone,idm","Rock Action Records",0.136,0.431,0,-7.565,1,0.04,0.0993,0,0.112,0.0332,100.567,4
spotify:track:1BJE4XzVvmtfCDKKWnO75k,"Sub Serious","Blanck Mass","Blanck Mass",2011-06-20,407040,0,false,5forty,2013-01-09T04:20:02Z,"drone,idm","Rock Action Records",0.217,0.521,1,-12.69,1,0.072,0.00316,0.854,0.177,0.0502,95.456,5
spotify:track:3zAo6nJ9KLG9T1EXQud4cC,"Land Disasters","Blanck Mass","Blanck Mass",2011-06-20,436133,0,false,5forty,2013-01-09T04:20:02Z,"drone,idm","Rock Action Records",0.175,0.217,0,-7.926,1,0.0437,0.00000347,0.949,0.264,0.0323,82.394,3
spotify:track:3jei581qx0PLkCWRZiCTlf,"Icke's Struggle","Blanck Mass","Blanck Mass",2011-06-20,192000,0,false,5forty,2013-01-09T04:20:02Z,"drone,idm","Rock Action Records",0.203,0.313,0,-12.658,1,0.0411,0,0.951,0.0827,0.0241,104.288,1
spotify:track:2r15IW4mPlYO3tpIDThtCv,"Fuckers","Blanck Mass","Blanck Mass",2011-06-20,136773,0,true,5forty,2013-01-09T04:20:02Z,"drone,idm","Rock Action Records",0.187,0.354,2,-11.125,0,0.0602,0.218,0.992,0.65,0.261,119.326,4
spotify:track:2Sey74UyURhICfjrcvQ0J6,"What You Know","Blanck Mass","Blanck Mass",2011-06-20,815933,0,false,5forty,2013-01-09T04:20:02Z,"drone,idm","Rock Action Records",0.156,0.556,6,-7.814,1,0.0384,0.0013,0.964,0.128,0.0353,160.024,4
spotify:track:1DPIgh86spR1Vx3dwYlJwC,"Weakling Flier","Blanck Mass","Blanck Mass",2011-06-20,202906,0,false,5forty,2013-01-09T04:20:02Z,"drone,idm","Rock Action Records",0.161,0.233,7,-17.077,1,0.0415,0.743,0.975,0.1,0.0382,110.521,4
