Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3kg9LNFAdOynXO7VMpMwwR,"Bugman","13","Blur",1999,291293,37,false,5forty,2024-04-03T22:14:03Z,"britpop,madchester,alternative rock","Parlophone UK",0.475,0.967,6,-6.204,1,0.101,0.00493,0.00172,0.213,0.158,130.111,4
spotify:track:3RQkyuFw2g9aLw0bqNatE0,"1992","13","Blur",1999,329066,34,false,5forty,2024-04-03T22:14:13Z,"britpop,madchester,alternative rock","Parlophone UK",0.126,0.628,7,-10.604,1,0.034,0.00153,0.366,0.364,0.126,154.544,4
spotify:track:1F8W2j3Z6P3oTY6nCdIz2T,"Mellow Song","13","Blur",1999,236800,33,false,5forty,2024-04-03T22:14:24Z,"britpop,madchester,alternative rock","Parlophone UK",0.596,0.33,2,-16.464,1,0.0279,0.579,0.403,0.342,0.453,100.076,4
spotify:track:05SEo3GMZSrYo8nQC28B0m,"Optigan I","13","Blur",1999,154093,29,false,5forty,2024-04-03T22:14:33Z,"britpop,madchester,alternative rock","Parlophone UK",0.409,0.323,1,-22.641,1,0.0322,0.857,0.993,0.135,0.469,95.568,3
spotify:track:55OzuoTnnJl8WWQJ9WMoGs,"On Your Own - 2012 Remaster","Blur","Blur",1997-02-10,266173,36,false,5forty,2024-04-03T22:14:53Z,"britpop,madchester,alternative rock","Parlophone UK",0.524,0.835,11,-6.262,1,0.0734,0.0296,0,0.0635,0.549,84.205,4
spotify:track:14QcIvULzWMdzmIDC0gn82,"You're so Great - 2012 Remaster","Blur","Blur",1997-02-10,215773,34,false,5forty,2024-04-03T22:15:01Z,"britpop,madchester,alternative rock","Parlophone UK",0.498,0.723,11,-9.792,1,0.0354,0.778,0.78,0.342,0.636,133.164,4
spotify:track:2zwNchskuwylMy80r2Qtu9,"Chinese Bombs - 2012 Remaster","Blur","Blur",1997-02-10,84800,29,false,5forty,2024-04-03T22:15:08Z,"britpop,madchester,alternative rock","Parlophone UK",0.301,0.912,1,-6.526,1,0.0668,0.0656,0.00000933,0.0688,0.655,77.703,4
spotify:track:3UI1FsqTeVkv3hLpeh8Pq8,"Strange News from Another Star - 2012 Remaster","Blur","Blur",1997-02-10,243426,32,false,5forty,2024-04-03T22:15:20Z,"britpop,madchester,alternative rock","Parlophone UK",0.349,0.372,4,-11.901,0,0.033,0.854,0.00328,0.173,0.0999,135.747,4
spotify:track:5DBULwnLOtlM7tVhFOubgV,"Pressure on Julian - 2012 Remaster","Modern Life Is Rubbish","Blur",1993-05-10,211880,29,false,5forty,2024-04-03T22:15:42Z,"britpop,madchester,alternative rock","Parlophone UK",0.415,0.875,1,-6.111,1,0.0566,0.00501,0.0000227,0.0636,0.159,129.38,4
spotify:track:6Gf8mol1cgqSlNzE1mfQng,"Blue Jeans - 2012 Remaster","Modern Life Is Rubbish","Blur",1993-05-10,234653,38,false,5forty,2024-04-03T22:15:50Z,"britpop,madchester,alternative rock","Parlophone UK",0.65,0.707,1,-8.203,0,0.0275,0.044,0,0.0859,0.78,106.545,4
spotify:track:3V8XBqBfJemhd1CP3tRZIB,"Villa Rosie - 2012 Remaster","Modern Life Is Rubbish","Blur",1993-05-10,234906,33,false,5forty,2024-04-03T22:15:59Z,"britpop,madchester,alternative rock","Parlophone UK",0.456,0.748,0,-6.632,1,0.0346,0.0662,0,0.0942,0.586,96.438,4
