Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:11NbM5h5XGrBINA9fitbvK,"Aimless","Body Language","Connections",2013-10-01,168405,0,false,5forty,2013-10-07T04:35:59Z,"power pop,garage rock","Anyway",0.222,0.796,0,-10.029,1,0.0412,0.00000551,0.8,0.265,0.468,157.902,4
spotify:track:5O6Jolc932C59jA3arZVHe,"Blurry Eyes","Body Language","Connections",2013-10-01,171402,0,false,5forty,2013-10-07T04:35:59Z,"power pop,garage rock","Anyway",0.155,0.858,9,-8.475,1,0.0458,0.00137,0.00201,0.0979,0.632,171.241,4
spotify:track:5jX7HxcWggMWQ9gWXerO2t,"She's Cheering Up","Body Language","Connections",2013-10-01,158240,0,false,5forty,2013-10-07T04:35:59Z,"power pop,garage rock","Anyway",0.335,0.698,11,-9.765,0,0.0319,0.000014,0.0367,0.0872,0.839,164.046,4
spotify:track:3seJYwnnfb6kOqypRMro7Z,"Late Shift","Body Language","Connections",2013-10-01,118697,0,false,5forty,2013-10-07T04:35:59Z,"power pop,garage rock","Anyway",0.272,0.878,0,-7.675,1,0.0443,0.00046,0.0000543,0.37,0.581,151.456,4
spotify:track:2XX3zItH1IYOME5RMYFl1K,"Jeni and Johnny","Body Language","Connections",2013-10-01,154018,0,false,5forty,2013-10-07T04:35:59Z,"power pop,garage rock","Anyway",0.329,0.847,7,-8.954,1,0.0383,0.00355,0.00000388,0.304,0.514,125.959,4
spotify:track:1YWgVC7tHQb6a3Ulu4S2BL,"Green Skull","Body Language","Connections",2013-10-01,112778,0,false,5forty,2013-10-07T04:35:59Z,"power pop,garage rock","Anyway",0.633,0.565,2,-8.446,1,0.0307,0.125,0.000598,0.153,0.735,125.576,4
spotify:track:2puLJGl64nF5oSKBzZPuys,"Girl's Night Out","Body Language","Connections",2013-10-01,107822,0,false,5forty,2013-10-07T04:35:59Z,"power pop,garage rock","Anyway",0.291,0.907,5,-7.923,1,0.0489,0.00879,0.000162,0.206,0.494,107.269,4
spotify:track:1s4DOH9JKmw9oWVDo9BUuF,"Summer Creeps","Body Language","Connections",2013-10-01,163541,0,false,5forty,2013-10-07T04:35:59Z,"power pop,garage rock","Anyway",0.363,0.863,7,-8.599,1,0.0381,0.0000107,0.1,0.371,0.691,95.729,4
spotify:track:4i9GIwQWdaJGPoeY3BTs0L,"Collect U.S.A.","Body Language","Connections",2013-10-01,113244,0,false,5forty,2013-10-07T04:35:59Z,"power pop,garage rock","Anyway",0.491,0.805,9,-10.072,0,0.0401,0.000274,0.841,0.123,0.59,126.897,4
spotify:track:5nZ9MPCZ372rght8Hm1SOU,"2 Makes 2","Body Language","Connections",2013-10-01,145182,0,false,5forty,2013-10-07T04:35:59Z,"power pop,garage rock","Anyway",0.189,0.962,11,-6.18,0,0.0746,0.0058,0.0791,0.32,0.402,144.322,4
spotify:track:3ijBzVuVx2VUpMStzjBmdg,"Hang On","Body Language","Connections",2013-10-01,113616,0,false,5forty,2013-10-07T04:35:59Z,"power pop,garage rock","Anyway",0.318,0.928,0,-8.907,1,0.0469,0.0000128,0.882,0.338,0.734,142.188,4
spotify:track:08ylntBwppt388Jx8NGlOK,"Rough Patch","Body Language","Connections",2013-10-01,58506,0,false,5forty,2013-10-07T04:35:59Z,"power pop,garage rock","Anyway",0.582,0.589,0,-5.943,1,0.0368,0.404,0.0000603,0.122,0.631,119.024,4
spotify:track:5mcUnwQkjl15deJ9F4KS4j,"Florida, Vegas, Tahoe","Body Language","Connections",2013-10-01,202325,0,false,5forty,2013-10-07T04:35:59Z,"power pop,garage rock","Anyway",0.324,0.632,0,-11.418,1,0.0308,0.000249,0.894,0.1,0.5,126.171,4
