Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1qGO0L9VUZ3uhgLTZDP0zw,"How Can You Swallow So Much Sleep","A Different Kind Of Fix (Deluxe)","Bombay Bicycle Club",2011-08-09,210213,0,false,5forty,2013-06-10T04:17:57Z,"indie rock,indie","Universal-Island Records Ltd.",0.517,0.829,7,-6.636,1,0.0443,0.377,0.0515,0.0985,0.196,120.03,4
spotify:track:10VyUjS2U9QcJFgG5yfvMO,"Bad Timing","A Different Kind Of Fix (Deluxe)","Bombay Bicycle Club",2011-08-09,214413,0,false,5forty,2013-06-10T04:17:57Z,"indie rock,indie","Universal-Island Records Ltd.",0.376,0.914,2,-5.89,0,0.0769,0.0000934,0.217,0.376,0.515,126.038,4
spotify:track:5Ji1QXdnk9J27gbHqoInHS,"Your Eyes","A Different Kind Of Fix (Deluxe)","Bombay Bicycle Club",2011-08-09,320973,0,false,5forty,2013-06-10T04:17:57Z,"indie rock,indie","Universal-Island Records Ltd.",0.478,0.921,9,-6.315,1,0.0773,0.00919,0.159,0.0891,0.627,145.742,4
spotify:track:6pOu7KG8sawNWHOtktxMUE,"Lights Out, Words Gone","A Different Kind Of Fix (Deluxe)","Bombay Bicycle Club",2011-08-09,301346,0,false,5forty,2013-06-10T04:17:57Z,"indie rock,indie","Universal-Island Records Ltd.",0.649,0.76,8,-7.275,1,0.0298,0.577,0.332,0.107,0.654,106.002,4
spotify:track:64KYbHzapiE0EzgAb7V1hs,"Take The Right One","A Different Kind Of Fix (Deluxe)","Bombay Bicycle Club",2011-08-09,215946,0,false,5forty,2013-06-10T04:17:57Z,"indie rock,indie","Universal-Island Records Ltd.",0.364,0.868,7,-5.698,1,0.0418,0.00524,0.805,0.205,0.614,136.244,4
spotify:track:2NWwVd4Q7UbPIEFDBnEfg2,"Shuffle","A Different Kind Of Fix (Deluxe)","Bombay Bicycle Club",2011-08-09,235293,0,false,5forty,2013-06-10T04:17:57Z,"indie rock,indie","Universal-Island Records Ltd.",0.627,0.959,7,-4.744,1,0.0298,0.316,0.00576,0.112,0.397,109.981,4
spotify:track:7wshcNSZA3rb6t04bxhaxo,"Beggars","A Different Kind Of Fix (Deluxe)","Bombay Bicycle Club",2011-08-09,251506,0,false,5forty,2013-06-10T04:17:57Z,"indie rock,indie","Universal-Island Records Ltd.",0.239,0.597,8,-7.309,1,0.0373,0.182,0.06,0.129,0.278,85.676,3
spotify:track:6fM5JbpvPuROt0F3xAGn2U,"Leave It","A Different Kind Of Fix (Deluxe)","Bombay Bicycle Club",2011-08-09,233960,0,false,5forty,2013-06-10T04:17:57Z,"indie rock,indie","Universal-Island Records Ltd.",0.668,0.868,0,-5.633,0,0.0467,0.518,0.585,0.105,0.316,127.86,3
spotify:track:3TFdlXzj8I2WfCLQnGh45n,"Fracture","A Different Kind Of Fix (Deluxe)","Bombay Bicycle Club",2011-08-09,243773,0,false,5forty,2013-06-10T04:17:57Z,"indie rock,indie","Universal-Island Records Ltd.",0.348,0.553,8,-7.279,1,0.0299,0.349,0.527,0.355,0.125,110.108,4
spotify:track:17SpKlPzqpr6X25xsU1AXG,"What You Want","A Different Kind Of Fix (Deluxe)","Bombay Bicycle Club",2011-08-09,259706,0,false,5forty,2013-06-10T04:17:57Z,"indie rock,indie","Universal-Island Records Ltd.",0.503,0.847,6,-6.611,0,0.0386,0.139,0.437,0.113,0.494,133.934,4
spotify:track:3rmPOYXsHTMZRit0tuCaJL,"Favourite Day","A Different Kind Of Fix (Deluxe)","Bombay Bicycle Club",2011-08-09,296813,0,false,5forty,2013-06-10T04:17:57Z,"indie rock,indie","Universal-Island Records Ltd.",0.475,0.864,1,-6.813,1,0.0332,0.000322,0.61,0.393,0.375,95.001,4
spotify:track:36i6O3z3zjml4m46BqS5wk,"Still","A Different Kind Of Fix (Deluxe)","Bombay Bicycle Club",2011-08-09,264373,0,false,5forty,2013-06-10T04:17:57Z,"indie rock,indie","Universal-Island Records Ltd.",0.182,0.201,0,-11.597,1,0.0365,0.95,0.695,0.115,0.0666,58.973,4
spotify:track:3l83zNluJiM6yUSr6JZNuj,"Shuffle - Bands In Transit Session / Live","A Different Kind Of Fix (Deluxe)","Bombay Bicycle Club",2011-08-09,171223,0,false,5forty,2013-06-10T04:17:57Z,"indie rock,indie","Universal-Island Records Ltd.",0.68,0.278,7,-19.016,1,0.146,0.622,0.0000631,0.34,0.686,134.692,4
spotify:track:20xImwgIRzI2o51615RPw7,"Beggars - Bands In Transit Session / Live","A Different Kind Of Fix (Deluxe)","Bombay Bicycle Club",2011-08-09,226173,0,false,5forty,2013-06-10T04:17:57Z,"indie rock,indie","Universal-Island Records Ltd.",0.484,0.208,8,-20.569,1,0.0357,0.716,0.194,0.347,0.456,89.35,4
spotify:track:0BuK8NiR0vHHVf4ZUGtWl1,"Ivy & Gold - Bands In Transit Session / Live","A Different Kind Of Fix (Deluxe)","Bombay Bicycle Club",2011-08-09,170249,0,false,5forty,2013-06-10T04:17:57Z,"indie rock,indie","Universal-Island Records Ltd.",0.557,0.335,5,-20.732,1,0.033,0.628,0.478,0.0871,0.837,133.422,4
