Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1tlXPa2eOmj64as5cTLDFY,"Blood Bank","Blood Bank","Bon Iver",2009-01-20,285160,0,false,,2010-12-31T21:35:37Z,"","Jagjaguwar",0.489,0.369,7,-11.99,1,0.033,0.963,0.0238,0.116,0.218,116.823,4
spotify:track:6bp1twiUg81a04GVGXHIsc,"Beach Baby","Blood Bank","Bon Iver",2009-01-20,160093,0,false,,2010-12-31T21:35:37Z,"","Jagjaguwar",0.666,0.0774,0,-17.228,1,0.0374,0.983,0.303,0.107,0.111,114.378,3
spotify:track:4gCgATAgz13HiceDJLn2uB,"Babys","Blood Bank","Bon Iver",2009-01-20,283613,0,false,,2010-12-31T21:35:37Z,"","Jagjaguwar",0.592,0.403,2,-13.915,1,0.0303,0.95,0.641,0.0835,0.0495,91.842,4
spotify:track:45LMof2ExH739qDRjDgOfc,"Woods","Blood Bank","Bon Iver",2009-01-20,285440,0,false,,2010-12-31T21:35:37Z,"","Jagjaguwar",0.194,0.351,3,-10.816,0,0.129,0.937,0.197,0.0999,0.154,73.189,1
spotify:track:1xBub6spWqyPZoUMxMo0cv,"Brackett, WI","Dark Was The Night (Red Hot Compilation)","Bon Iver",2009-02-16,242933,0,false,,2010-12-31T21:35:37Z,"","4AD",0.47,0.331,6,-14.029,1,0.0364,0.845,0.809,0.0887,0.196,109.812,4
spotify:track:51mmTNquZjahxhE7N2z6Bn,"The Wolves (Act I and II)","For Emma, Forever Ago","Bon Iver",2007-07-08,322040,0,false,,2010-12-31T21:35:37Z,"","4AD",0.464,0.16,5,-15.962,1,0.0524,0.779,0.0000137,0.082,0.0758,116.56,3
spotify:track:4dHEQ1W1jRmNjjB0S7vB8V,"re:stacks","For Emma, Forever Ago","Bon Iver",2007-07-08,402266,0,false,,2010-12-31T21:35:37Z,"","4AD",0.678,0.0813,2,-22.859,1,0.0406,0.978,0.358,0.123,0.304,125.066,4
spotify:track:386VUljW7R6IvjxcEzbu6d,"Wisconsin","For Emma, Forever Ago","Bon Iver",2007-07-08,325773,0,false,,2010-12-31T21:35:37Z,"","4AD",0.242,0.0364,5,-23.687,1,0.036,0.982,0.705,0.115,0.0759,67.341,3
spotify:track:7unpOltjkpbqQwGCR7xaGf,"Flume","For Emma, Forever Ago","Bon Iver",2007-07-08,219000,0,false,,2010-12-31T21:35:37Z,"","Jagjaguwar",0.43,0.145,11,-17.033,1,0.0332,0.916,0.0299,0.108,0.0744,133.093,4
spotify:track:3YYwE5gWvv6xI1Q69B6wBv,"Lump Sum","For Emma, Forever Ago","Bon Iver",2007-07-08,201066,0,false,,2010-12-31T21:35:37Z,"","Jagjaguwar",0.477,0.337,9,-17.934,1,0.116,0.945,0.354,0.132,0.421,144.603,4
spotify:track:0zP8BJOamm7Q9aNMwCby55,"Skinny Love","For Emma, Forever Ago","Bon Iver",2007-07-08,238520,0,false,,2010-12-31T21:35:37Z,"","Jagjaguwar",0.565,0.257,0,-14.04,1,0.0579,0.843,0.00000303,0.109,0.111,76.493,4
spotify:track:1n3acBlZIwe04b9fhIueSy,"Blindsided","For Emma, Forever Ago","Bon Iver",2007-07-08,329266,0,false,,2010-12-31T21:35:37Z,"","Jagjaguwar",0.677,0.155,10,-18.659,1,0.0384,0.955,0.144,0.144,0.0437,115.34,4
spotify:track:1ybu2CSF26zyquwCWb6YQJ,"Creature Fear","For Emma, Forever Ago","Bon Iver",2007-07-08,186120,0,false,,2010-12-31T21:35:37Z,"","Jagjaguwar",0.393,0.125,2,-15.945,1,0.0577,0.932,0.00736,0.325,0.181,104.381,3
spotify:track:4fiPp5BC9hLYXhIxLloB19,"Team","For Emma, Forever Ago","Bon Iver",2007-07-08,116906,0,false,,2010-12-31T21:35:37Z,"","Jagjaguwar",0.833,0.784,7,-15.346,1,0.0386,0.0881,0.929,0.0913,0.804,113.105,4
spotify:track:1WHbc1hBLAcrCqi1gKnbeH,"For Emma","For Emma, Forever Ago","Bon Iver",2007-07-08,220720,0,false,,2010-12-31T21:35:37Z,"","Jagjaguwar",0.668,0.61,0,-11.194,1,0.0352,0.465,0.145,0.42,0.589,110.665,4
spotify:track:3vYVXHvrGCLOqxTfB1y1tl,"Re: Stacks","For Emma, Forever Ago","Bon Iver",2007-07-08,401413,0,false,,2010-12-31T21:35:37Z,"","Jagjaguwar",0.68,0.0806,2,-22.904,1,0.0406,0.979,0.354,0.124,0.279,125.1,4
spotify:track:0SxjUar3kSzArD0dRloczB,"Flume","Rough Trade - Counter Culture 2008 (2CD Set)","Bon Iver",2009-01-01,212500,0,false,,2010-12-31T21:35:37Z,"","Universal Music GmbH",0.501,0.186,11,-14.451,1,0.0286,0.924,0.0472,0.136,0.088,66.842,4
