Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6oeuEHxwfbqu5xIJrcbPzN,"Perth","Bon Iver","Bon Iver",2011-05-21,262079,0,false,5forty,2012-12-02T22:45:54Z,"","4AD",0.491,0.457,0,-14.473,0,0.0456,0.86,0.444,0.307,0.0806,120.019,4
spotify:track:6efNOpesYf3u9vOScWE5Me,"Minnesota, WI","Bon Iver","Bon Iver",2011-05-21,232440,0,false,5forty,2012-12-02T22:45:54Z,"","4AD",0.562,0.342,0,-15.524,0,0.0418,0.968,0.304,0.113,0.5,119.832,4
spotify:track:05lBuZWQ2OhQuzoCSIkvUF,"Holocene","Bon Iver","Bon Iver",2011-05-21,336613,0,false,5forty,2012-12-02T22:45:54Z,"","4AD",0.379,0.306,1,-14.446,1,0.0305,0.942,0.323,0.123,0.157,147.902,4
spotify:track:5mMV6EaKeZWkGFvE1xg13n,"Towers","Bon Iver","Bon Iver",2011-05-21,188040,0,false,5forty,2012-12-02T22:45:54Z,"","4AD",0.379,0.321,9,-12.44,1,0.0325,0.948,0.518,0.276,0.145,91.72,4
spotify:track:1qb2qxvGlVwkFtERC6G1zx,"Michicant","Bon Iver","Bon Iver",2011-05-21,225733,0,false,5forty,2012-12-02T22:45:54Z,"","4AD",0.23,0.161,8,-16.51,1,0.0318,0.931,0.144,0.105,0.12,147.492,3
spotify:track:66TTV9C6aSvOrW1HyFsnDc,"Hinnom, TX","Bon Iver","Bon Iver",2011-05-21,165013,0,false,5forty,2012-12-02T22:45:54Z,"","4AD",0.676,0.2,9,-18.65,0,0.0534,0.973,0.471,0.0784,0.599,121.687,4
spotify:track:71m4tRFTR2f7mQTNOmQe65,"Wash.","Bon Iver","Bon Iver",2011-05-21,298586,0,false,5forty,2012-12-02T22:45:54Z,"","4AD",0.317,0.149,0,-19.265,1,0.0307,0.99,0.339,0.0776,0.324,163.018,3
spotify:track:4otHnPszGCLCH6zB5yq5lw,"Calgary","Bon Iver","Bon Iver",2011-05-21,250200,0,false,5forty,2012-12-02T22:45:54Z,"","4AD",0.505,0.46,11,-11.549,1,0.0363,0.923,0.15,0.634,0.0768,119.959,4
spotify:track:5q9I3E4jRL85TLeWKvBWMF,"Lisbon, OH","Bon Iver","Bon Iver",2011-05-21,93360,0,false,5forty,2012-12-02T22:45:54Z,"","4AD",0.157,0.0209,4,-26.371,1,0.0416,0.993,0.944,0.087,0.0335,68.191,3
spotify:track:7pfo4j1AsU4Cm15UmXMkTB,"Beth/Rest","Bon Iver","Bon Iver",2011-05-21,316800,0,false,5forty,2012-12-02T22:45:54Z,"","4AD",0.49,0.25,9,-12.766,1,0.0303,0.921,0.718,0.11,0.0563,128.173,4
