Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7deKYkQOWmZenBJEHDrjKn,"Perth (Teen Daze Remix)","Bon Iver: Stems Project","Bon Iver",2012-10-02,228493,0,false,5forty,2012-10-14T20:23:59Z,"","4AD",0.434,0.558,1,-11.614,1,0.0366,0.0153,0.945,0.0751,0.0396,120.088,4
spotify:track:5At4O2rb9DvYI08MlWvbz9,"Minnesota, WI (Daydreamer Remix)","Bon Iver: Stems Project","Bon Iver",2012-10-02,219280,0,false,5forty,2012-10-14T20:23:59Z,"","4AD",0.424,0.846,5,-6.956,1,0.473,0.0205,0.0191,0.155,0.574,78.265,4
spotify:track:3iVeidRDdyS4iVJ97vHHUL,"Holocene (Kyson Remix)","Bon Iver: Stems Project","Bon Iver",2012-10-02,312986,0,false,5forty,2012-10-14T20:23:59Z,"","4AD",0.2,0.413,10,-11.993,0,0.044,0.947,0.925,0.0813,0.103,73.932,4
spotify:track:3s5eM4ydVml2w5004JzoSc,"Towers (Stop The Car Remix)","Bon Iver: Stems Project","Bon Iver",2012-10-02,217840,0,false,5forty,2012-10-14T20:23:59Z,"","4AD",0.287,0.527,4,-6.783,1,0.031,0.311,0.283,0.119,0.104,91.427,4
spotify:track:5puVB8mCSNZBrt2IFt9HKc,"Michicant (Labstract Remix)","Bon Iver: Stems Project","Bon Iver",2012-10-02,164666,0,false,5forty,2012-10-14T20:23:59Z,"","4AD",0.472,0.677,1,-8.405,0,0.272,0.387,0.0000654,0.185,0.572,152.461,1
spotify:track:79v3KJL0AGKYegT35UHMq3,"Hinnom, TX (Ed Tullett Remix)","Bon Iver: Stems Project","Bon Iver",2012-10-02,164666,0,false,5forty,2012-10-14T20:23:59Z,"","4AD",0.22,0.388,0,-13.983,1,0.0454,0.91,0.808,0.0532,0.135,120.999,3
spotify:track:3cPcJLAT5VlPVP44NICrd3,"Wash. (St. South Remix)","Bon Iver: Stems Project","Bon Iver",2012-10-02,218346,0,false,5forty,2012-10-14T20:23:59Z,"","4AD",0.398,0.137,0,-17.068,1,0.0453,0.976,0.00719,0.212,0.18,156.01,3
spotify:track:4DyL3XlIlX8tAxEioyKKIc,"Calgary (Geography Remix)","Bon Iver: Stems Project","Bon Iver",2012-10-02,397626,0,false,5forty,2012-10-14T20:23:59Z,"","4AD",0.698,0.536,11,-12.339,1,0.063,0.574,0.72,0.0882,0.301,120.03,4
spotify:track:3Ti9QhPl7fxtckDwkWyeaw,"Lisbon, OH (Jowls' Tolkis Remix)","Bon Iver: Stems Project","Bon Iver",2012-10-02,138813,0,false,5forty,2012-10-14T20:23:59Z,"","4AD",0.351,0.326,11,-21.666,0,0.0795,0.918,0.93,0.118,0.0919,109.924,4
spotify:track:7JOGEglBECTRCsrYzGsVli,"Beth/Rest (Work Drugs Remix)","Bon Iver: Stems Project","Bon Iver",2012-10-02,246586,0,false,5forty,2012-10-14T20:23:59Z,"","4AD",0.557,0.726,6,-9.051,0,0.0325,0.121,0.0545,0.0864,0.656,85.904,4
spotify:track:4Nkuw62TYegVVFbhg1PoCE,"Minnesota, WI (S. Carey Remix)","Bon Iver: Stems Project","Bon Iver",2012-10-02,222798,0,false,5forty,2012-10-14T20:23:59Z,"","4AD",0.555,0.472,3,-12.566,1,0.0439,0.935,0.252,0.0923,0.231,119.864,4
spotify:track:0qoV0iuWqdkTWZEsJ3157S,"Hinnom, TX (Alpha Consumer Remix)","Bon Iver: Stems Project","Bon Iver",2012-10-02,349631,0,false,5forty,2012-10-14T20:23:59Z,"","4AD",0.496,0.5,0,-12.095,1,0.0421,0.0561,0.765,0.188,0.205,121.741,4
spotify:track:7r0fqPK3Cfl0HCGECniAzU,"Wash. (Dan Huiting & Adam Rucinski Remix)","Bon Iver: Stems Project","Bon Iver",2012-10-02,227531,0,false,5forty,2012-10-14T20:23:59Z,"","4AD",0.749,0.263,0,-14.994,1,0.0447,0.46,0.898,0.106,0.0556,96.995,4
spotify:track:4mHyL1gqXQRIDrkas8wlpJ,"Hinnom, TX (Reggie Pace Remix)","Bon Iver: Stems Project","Bon Iver",2012-10-02,177319,0,false,5forty,2012-10-14T20:23:59Z,"","4AD",0.364,0.549,0,-11.092,1,0.0476,0.187,0.286,0.0847,0.0346,121.122,4
spotify:track:3uJx1bHlm5J9XPUufxOGrt,"Calgary (Matt McCaughan Remix)","Bon Iver: Stems Project","Bon Iver",2012-10-02,275415,0,false,5forty,2012-10-14T20:23:59Z,"","4AD",0.281,0.277,4,-12.586,1,0.0463,0.623,0.0435,0.188,0.0483,120.395,4
spotify:track:0QSxTPZ9c5OlLdH0p8beaG,"Holocene (Dosh Remix)","Bon Iver: Stems Project","Bon Iver",2012-10-02,356288,0,false,5forty,2012-10-14T20:23:59Z,"","4AD",0.192,0.621,1,-7.929,1,0.0344,0.822,0.958,0.143,0.2,147.127,4
