Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4BjKneCnbrOft3wczVczZ8,"Our Faces Split The Coast In Half","Broken Social Scene","Broken Social Scene",2005-01-01,222200,0,false,,2010-12-31T21:36:13Z,"baroque pop,indie rock,indie","City Slang",0.593,0.725,7,-9.297,1,0.037,0.0868,0.776,0.0859,0.824,136.058,4
spotify:track:0Nz1d1IEYMLAZBio6GnCDV,"Ibi Dreams Of Pavement (A Better Day)","Broken Social Scene","Broken Social Scene",2005-01-01,267880,0,false,,2010-12-31T21:36:13Z,"baroque pop,indie rock,indie","City Slang",0.0874,0.974,7,-4.424,1,0.0853,0.0124,0.192,0.132,0.29,176.575,4
spotify:track:3tRX1461C4Pgh4VbQ9SX7D,"7/4 (Shoreline)","Broken Social Scene","Broken Social Scene",2005-01-01,293840,0,false,,2010-12-31T21:36:13Z,"baroque pop,indie rock,indie","City Slang",0.46,0.925,9,-5.559,1,0.14,0.00492,0.642,0.33,0.489,155.994,1
spotify:track:6nPu3OhY37xJtdUockA0MF,"Finish Your Collapse And Stay For Breakfast","Broken Social Scene","Broken Social Scene",2005-01-01,84413,0,false,,2010-12-31T21:36:13Z,"baroque pop,indie rock,indie","City Slang",0.167,0.687,5,-16.366,0,0.0435,0.643,0.867,0.88,0.295,76.979,3
spotify:track:2r53cDnMK5eIrbcdtgAh1i,"Major Label Debut","Broken Social Scene","Broken Social Scene",2005-01-01,268293,0,false,,2010-12-31T21:36:13Z,"baroque pop,indie rock,indie","City Slang",0.502,0.707,0,-11.536,1,0.0378,0.355,0.00144,0.153,0.467,104.021,4
spotify:track:2zCePMCeHqAZxLW1JcmrL3,"Fire Eye'd Boy","Broken Social Scene","Broken Social Scene",2005-01-01,238920,0,false,,2010-12-31T21:36:13Z,"baroque pop,indie rock,indie","City Slang",0.431,0.945,9,-7.567,1,0.0438,0.00672,0.825,0.212,0.754,151.147,4
spotify:track:0VHsm1ZofZXZu3uZMIpz7t,"Windsurfing Nation","Broken Social Scene","Broken Social Scene",2005-01-01,275945,0,false,,2010-12-31T21:36:13Z,"baroque pop,indie rock,indie","City Slang",0.485,0.895,11,-7.923,0,0.222,0.000894,0.000518,0.109,0.334,168.313,4
spotify:track:4wA9lfPYruBzIOdRlEC94D,"Swimmers","Broken Social Scene","Broken Social Scene",2005-01-01,175533,0,false,,2010-12-31T21:36:13Z,"baroque pop,indie rock,indie","City Slang",0.636,0.8,0,-8.686,1,0.0291,0.0236,0.452,0.148,0.973,130.007,4
spotify:track:7qfpyZmugM200WK6LTn469,"Hotel","Broken Social Scene","Broken Social Scene",2005-01-01,275560,0,false,,2010-12-31T21:36:13Z,"baroque pop,indie rock,indie","City Slang",0.732,0.442,8,-9.779,1,0.0442,0.00966,0.0469,0.317,0.133,107.943,4
spotify:track:2ZxtC9T7nVPddeLVnhO37r,"Handjobs For The Holidays","Broken Social Scene","Broken Social Scene",2005-01-01,279333,0,false,,2010-12-31T21:36:13Z,"baroque pop,indie rock,indie","City Slang",0.475,0.911,11,-8.077,1,0.114,0.0173,0.689,0.268,0.555,146.62,4
spotify:track:5hZAPvOMaJSHgDzlCaLPZr,"Superconnected","Broken Social Scene","Broken Social Scene",2005-01-01,339760,0,true,,2010-12-31T21:36:13Z,"baroque pop,indie rock,indie","City Slang",0.205,0.956,4,-6.787,1,0.381,0.000603,0.0303,0.107,0.0825,166.131,4
spotify:track:0H5xSahoW5Vhi4ax8WUQxT,"Bandwitch","Broken Social Scene","Broken Social Scene",2005-01-01,418573,0,false,,2010-12-31T21:36:13Z,"baroque pop,indie rock,indie","City Slang",0.483,0.759,9,-10.584,1,0.0344,0.0136,0.0513,0.176,0.736,159.908,4
spotify:track:61Aer6cL19zLmU9EznKKwt,"Tremola Debut","Broken Social Scene","Broken Social Scene",2005-01-01,59453,0,false,,2010-12-31T21:36:13Z,"baroque pop,indie rock,indie","City Slang",0.402,0.0671,3,-21.716,1,0.0341,0.851,0.876,0.204,0.229,98.396,4
spotify:track:6GTQKjMr8wZ6v7BCNpQK9i,"It's All Gonna Break","Broken Social Scene","Broken Social Scene",2005-01-01,595200,0,false,,2010-12-31T21:36:13Z,"baroque pop,indie rock,indie","City Slang",0.202,0.857,2,-5.595,1,0.08,0.00737,0.00199,0.183,0.319,78.718,4
spotify:track:6TqifiqQP8oIFh6ADEtJj6,"Major Label Debut (Fast)","Broken Social Scene","Broken Social Scene",2005-10-11,192466,0,false,,2010-12-31T21:36:13Z,"baroque pop,indie rock,indie","Arts & Crafts",0.395,0.934,0,-6.178,1,0.0719,0.00136,0.0155,0.84,0.235,105.525,4
