Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2QdtAmAy8yftcCl0MHKUgu,"Jager Yoga","Donkey","CSS",2008-07-18,230946,0,false,,2012-06-18T06:36:15Z,"electroclash,new rave,alternative dance","WM UK",0.735,0.771,9,-3.458,0,0.033,0.00121,0.0000501,0.117,0.944,140.01,4
spotify:track:4EQIOV7g2QVvd7poDjckXP,"Rat Is Dead [Rage]","Donkey","CSS",2008-07-18,198600,0,false,,2012-06-18T06:36:15Z,"electroclash,new rave,alternative dance","WM UK",0.538,0.949,11,-3.515,0,0.0318,0.0000724,0.0151,0.311,0.846,140.031,4
spotify:track:237ctHCdIg0cA40BdjfSEQ,"Let's Reggae All Night","Donkey","CSS",2008-07-18,234346,0,false,,2012-06-18T06:36:15Z,"electroclash,new rave,alternative dance","WM UK",0.741,0.54,2,-7.556,1,0.032,0.00204,0.000153,0.174,0.855,116.984,4
spotify:track:6DIPFC7USUTJPY6Y6c20t4,"Give Up","Donkey","CSS",2008-07-18,200586,0,false,,2012-06-18T06:36:15Z,"electroclash,new rave,alternative dance","WM UK",0.642,0.883,1,-4.765,0,0.0312,0.00416,0.000082,0.053,0.949,143.999,4
spotify:track:02lszwUmKyqjjB8UxppZkH,"Left Behind","Donkey","CSS",2008-07-18,210800,0,false,,2012-06-18T06:36:15Z,"electroclash,new rave,alternative dance","WM UK",0.6,0.837,5,-4.276,0,0.0371,0.0361,0,0.0756,0.815,139.999,4
spotify:track:3V3Nidi5IiMsgLJRZJuzuO,"Beautiful Song","Donkey","CSS",2008-07-18,207746,0,false,,2012-06-18T06:36:15Z,"electroclash,new rave,alternative dance","WM UK",0.607,0.805,11,-4.953,0,0.0277,0.0037,0.00000192,0.28,0.725,150.039,4
spotify:track:0W5Cf7b4CjfkvkYlm3uw1P,"How I Became Paranoid","Donkey","CSS",2008-07-18,205960,0,false,,2012-06-18T06:36:15Z,"electroclash,new rave,alternative dance","WM UK",0.536,0.866,0,-4.623,1,0.0317,0.0000507,0.0222,0.0779,0.908,140.002,4
spotify:track:7xZfW7yRxKfWcJNhFw7Mqa,"Move","Donkey","CSS",2008-07-18,233133,0,false,,2012-06-18T06:36:15Z,"electroclash,new rave,alternative dance","WM UK",0.738,0.914,4,-3.468,0,0.0306,0.0606,0.00256,0.045,0.971,120.007,4
spotify:track:4jrfofSogu1U1OdzMA2PTk,"I Fly","Donkey","CSS",2008-07-18,196933,0,false,,2012-06-18T06:36:15Z,"electroclash,new rave,alternative dance","WM UK",0.485,0.955,11,-5.185,0,0.0565,0.000109,0.0000755,0.303,0.677,149.976,4
spotify:track:2JhZCp1WquhMpZjumewhdm,"Believe Achieve","Donkey","CSS",2008-07-18,216160,0,false,,2012-06-18T06:36:15Z,"electroclash,new rave,alternative dance","WM UK",0.739,0.808,1,-4.401,0,0.0294,0.0279,0.000224,0.0919,0.961,120.002,4
spotify:track:1OYyFQGaBFD4EWh936swgo,"Air Painter","Donkey","CSS",2008-07-18,227893,0,false,,2012-06-18T06:36:15Z,"electroclash,new rave,alternative dance","WM UK",0.557,0.935,0,-4.821,1,0.0299,0.0344,0.000694,0.524,0.726,144.03,4
