Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5r6hPzia7OBBCFRKc33Lfp,"Hello There","Will See You Now","Cagedbaby",2005-07-24,359373,0,false,5forty,2012-07-27T06:23:23Z,"","Southern Fried Records",0.697,0.544,4,-11.221,0,0.0396,0.00239,0.551,0.3,0.444,108.499,4
spotify:track:7n4wOzytefF5uS5VMRdR9J,"Disco Biscuit","Will See You Now","Cagedbaby",2005-07-24,236813,0,false,5forty,2012-07-27T06:23:23Z,"","Southern Fried Records",0.815,0.45,1,-10.596,1,0.0665,0.0000617,0.263,0.0467,0.689,124.995,4
spotify:track:4TEBoUKIcOdQCi1UnA4iPd,"16 Lovers","Will See You Now","Cagedbaby",2005-07-24,274120,0,false,5forty,2012-07-27T06:23:23Z,"","Southern Fried Records",0.765,0.449,4,-10.681,1,0.0561,0.000735,0.212,0.115,0.589,127.999,4
spotify:track:4Lsm3eer9VwfkmMihggSwT,"Berlin","Will See You Now","Cagedbaby",2005-07-24,365000,0,false,5forty,2012-07-27T06:23:23Z,"","Southern Fried Records",0.784,0.512,10,-11.082,0,0.0919,0.00147,0.906,0.104,0.393,120.904,4
spotify:track:2gLBmqt2CLfqcalSzWLShS,"Amplified Heart","Will See You Now","Cagedbaby",2005-07-24,262466,0,false,5forty,2012-07-27T06:23:23Z,"","Southern Fried Records",0.688,0.616,8,-8.48,1,0.146,0.0189,0.000793,0.12,0.859,175.827,4
spotify:track:1v3bCD07nHTqqHBMF0S3df,"Never See More","Will See You Now","Cagedbaby",2005-07-24,355466,0,false,5forty,2012-07-27T06:23:23Z,"","Southern Fried Records",0.625,0.7,10,-12.517,0,0.0351,0.153,0.933,0.432,0.429,108.006,4
spotify:track:4wom0IvFDTSl1fRbp19PL4,"Golden Triangle","Will See You Now","Cagedbaby",2005-07-24,318200,0,false,5forty,2012-07-27T06:23:23Z,"","Southern Fried Records",0.583,0.694,6,-8.777,1,0.0348,0.000255,0.173,0.0867,0.758,107.375,4
spotify:track:4fksYnYzCgofgMijrsyxHc,"Against the Wall","Will See You Now","Cagedbaby",2005-07-24,376066,0,false,5forty,2012-07-27T06:23:23Z,"","Southern Fried Records",0.547,0.558,1,-11.537,1,0.0396,0.00455,0.42,0.132,0.464,126.994,4
spotify:track:0gTWGc30w16TGEmA2sLaDZ,"Evolution","Will See You Now","Cagedbaby",2005-07-24,354960,0,false,5forty,2012-07-27T06:23:23Z,"","Southern Fried Records",0.764,0.729,8,-11.196,1,0.0549,0.00343,0.886,0.344,0.0356,123.51,4
spotify:track:5VFRft9P4F2cTmTrghXl0Q,"Marmalade","Will See You Now","Cagedbaby",2005-07-24,289813,0,false,5forty,2012-07-27T06:23:23Z,"","Southern Fried Records",0.335,0.324,9,-15.882,0,0.0515,0.774,0.11,0.106,0.137,129.216,3
