Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7xGfFoTpQ2E7fRF5lN10tr,"Run Away With Me","Emotion (Deluxe)","Carly Rae Jepsen",2015-09-25,251320,47,false,5forty,2015-10-29T14:32:04Z,"","Silent Records IGA",0.564,0.719,1,-5.505,1,0.0475,0.0126,0.000177,0.0536,0.251,119.027,4
spotify:track:1Xu7rSdycX0Hri6ztWA5Wz,"Emotion","Emotion (Deluxe)","Carly Rae Jepsen",2015-09-25,197346,29,false,5forty,2015-10-29T14:32:04Z,"","Silent Records IGA",0.761,0.628,7,-4.447,1,0.0312,0.0688,0.000921,0.0969,0.271,113.972,4
spotify:track:6mO5bl8Gpk5EwjBjPI09b3,"I Really Like You","Emotion (Deluxe)","Carly Rae Jepsen",2015-09-25,204773,52,false,5forty,2015-10-29T14:32:04Z,"","Silent Records IGA",0.622,0.808,5,-4.701,1,0.0418,0.00543,0.0000563,0.215,0.599,122.121,4
spotify:track:7EuqHdQIytRDtD0eYo98Cg,"Gimmie Love","Emotion (Deluxe)","Carly Rae Jepsen",2015-09-25,202226,25,false,5forty,2015-10-29T14:32:04Z,"","Silent Records IGA",0.694,0.802,5,-4.948,0,0.0541,0.114,0,0.152,0.513,109.544,4
spotify:track:334OYHo9TjSvJTE6UI440p,"All That","Emotion (Deluxe)","Carly Rae Jepsen",2015-09-25,276653,22,false,5forty,2015-10-29T14:32:04Z,"","Silent Records IGA",0.575,0.475,9,-5.791,1,0.0264,0.135,0.00000905,0.0637,0.491,79.978,4
spotify:track:3rFEB9q7YCzkGlx89YdBv8,"Boy Problems","Emotion (Deluxe)","Carly Rae Jepsen",2015-09-25,222280,26,false,5forty,2015-10-29T14:32:04Z,"","Silent Records IGA",0.703,0.91,2,-4.095,0,0.0411,0.0121,0.000417,0.0687,0.829,112.042,4
spotify:track:4hLvaLnoLu4B8obBq8kQ1g,"Making The Most Of The Night","Emotion (Deluxe)","Carly Rae Jepsen",2015-09-25,238506,23,false,5forty,2015-10-29T14:32:04Z,"","Silent Records IGA",0.608,0.875,8,-4.636,1,0.0796,0.00382,0.00285,0.158,0.529,112.924,4
spotify:track:3fTggMUI6zRisjYIOFJzR4,"Your Type","Emotion (Deluxe)","Carly Rae Jepsen",2015-09-25,199720,32,false,5forty,2015-10-29T14:32:04Z,"","Silent Records IGA",0.628,0.813,1,-5.156,0,0.0524,0.00246,0.00124,0.0814,0.49,92.033,4
spotify:track:79nhbvisRXC4wCCvs8NCRR,"Let’s Get Lost","Emotion (Deluxe)","Carly Rae Jepsen",2015-09-25,193493,22,false,5forty,2015-10-29T14:32:04Z,"","Silent Records IGA",0.626,0.75,7,-4.928,1,0.0617,0.565,0.0255,0.209,0.676,109.954,4
spotify:track:4BCq0CXaPFTAf1AziGgszW,"LA Hallucinations","Emotion (Deluxe)","Carly Rae Jepsen",2015-09-25,184613,21,false,5forty,2015-10-29T14:32:04Z,"","Silent Records IGA",0.723,0.727,8,-4.306,1,0.0394,0.0107,0.0000717,0.0685,0.675,90.006,4
spotify:track:4g9s3kTi4rHo1s52q6miZM,"Warm Blood","Emotion (Deluxe)","Carly Rae Jepsen",2015-09-25,253066,21,false,5forty,2015-10-29T14:32:04Z,"","Silent Records IGA",0.704,0.691,9,-8.036,0,0.149,0.0079,0.0471,0.0835,0.403,102.987,4
spotify:track:10nLBCEUU6vNsRdos6feW7,"When I Needed You","Emotion (Deluxe)","Carly Rae Jepsen",2015-09-25,221040,20,false,5forty,2015-10-29T14:32:04Z,"","Silent Records IGA",0.57,0.891,5,-3.784,1,0.0899,0.0517,0,0.345,0.346,90.984,4
spotify:track:5Qj9I0mVR7Pqvl0IXMHyU7,"Black Heart","Emotion (Deluxe)","Carly Rae Jepsen",2015-09-25,176720,17,false,5forty,2015-10-29T14:32:04Z,"","Silent Records IGA",0.82,0.599,2,-7.697,1,0.106,0.0773,0.0000639,0.104,0.858,111.957,4
spotify:track:7yLnpTL4Jh6F8fyNtTUVeV,"I Didn’t Just Come Here To Dance","Emotion (Deluxe)","Carly Rae Jepsen",2015-09-25,219893,33,false,5forty,2015-10-29T14:32:04Z,"","Silent Records IGA",0.813,0.617,3,-7.036,0,0.036,0.125,0.000107,0.213,0.526,122.041,4
spotify:track:5VZZp4pnzogH7xboEv1c3r,"Favourite Colour","Emotion (Deluxe)","Carly Rae Jepsen",2015-09-25,208880,20,false,5forty,2015-10-29T14:32:04Z,"","Silent Records IGA",0.6,0.658,0,-5.386,1,0.0519,0.0817,0.00000537,0.42,0.677,146.004,4
