Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5USzDbObosj3blqDuzc9cd,"Waking Season","Waking Season","Caspian",2012-09-25,321346,0,false,5forty,2013-07-15T00:19:32Z,"post-rock,math rock","Triple Crown Records",0.25,0.791,10,-7.477,1,0.063,0.728,0.952,0.567,0.194,197.08,3
spotify:track:0UspDrdYfCLu6C9TkVbmzE,"Porcellous","Waking Season","Caspian",2012-09-25,373839,0,false,5forty,2013-07-15T00:19:32Z,"post-rock,math rock","Triple Crown Records",0.178,0.826,2,-6.242,0,0.057,0.0247,0.892,0.0722,0.046,119.6,3
spotify:track:2lEotWiWQEv80B8J4k9kbh,"Gone in Bloom and Bough","Waking Season","Caspian",2012-09-25,624213,0,false,5forty,2013-07-15T00:19:32Z,"post-rock,math rock","Triple Crown Records",0.327,0.63,9,-6.876,1,0.0403,0.131,0.89,0.0872,0.0366,122.86,4
spotify:track:0JhdyrUQrNaU5vCEBvZjsU,"Halls of the Summer","Waking Season","Caspian",2012-09-25,315239,0,false,5forty,2013-07-15T00:19:32Z,"post-rock,math rock","Triple Crown Records",0.467,0.956,9,-5.315,1,0.0718,0.00171,0.876,0.277,0.119,144.577,4
spotify:track:1Ou5PGdQgmRKURCnYSpquT,"Akiko","Waking Season","Caspian",2012-09-25,212986,0,false,5forty,2013-07-15T00:19:32Z,"post-rock,math rock","Triple Crown Records",0.52,0.494,9,-11.55,1,0.0345,0.191,0.9,0.488,0.0961,100.905,3
spotify:track:0VkrM97EYSHYxg0mPFXsfL,"High Lonesome","Waking Season","Caspian",2012-09-25,217560,0,false,5forty,2013-07-15T00:19:32Z,"post-rock,math rock","Triple Crown Records",0.135,0.357,0,-11.32,1,0.0394,0.978,0.971,0.0844,0.0268,91.037,4
spotify:track:58PyRKXKUQ5sBRNpLU4rpw,"Hickory 54","Waking Season","Caspian",2012-09-25,364053,0,false,5forty,2013-07-15T00:19:32Z,"post-rock,math rock","Triple Crown Records",0.263,0.836,7,-6.025,1,0.0846,0.00649,0.673,0.145,0.175,193.624,3
spotify:track:5hdtIOwecSj1b9e6bSncrx,"Long the Desert Mile","Waking Season","Caspian",2012-09-25,370666,0,false,5forty,2013-07-15T00:19:32Z,"post-rock,math rock","Triple Crown Records",0.471,0.62,4,-7.126,0,0.0318,0.00336,0.825,0.0699,0.0813,116.073,3
spotify:track:5TfIBcuRyVpmKQHgrvWB6V,"Collider in Blue","Waking Season","Caspian",2012-09-25,154093,0,false,5forty,2013-07-15T00:19:32Z,"post-rock,math rock","Triple Crown Records",0.136,0.32,1,-13.166,0,0.0357,0.874,0.941,0.243,0.0361,100.828,3
spotify:track:30at7MG96F2Fd5LppX6hV5,"Fire Made Flesh","Waking Season","Caspian",2012-09-25,469280,0,false,5forty,2013-07-15T00:19:32Z,"post-rock,math rock","Triple Crown Records",0.363,0.829,6,-5.601,1,0.0393,0.00604,0.935,0.081,0.0645,93.69,4
spotify:track:5HISHDHCfSju60YphI43Lb,"The Alter Ego Autopsies","Notes for the Synthesis","The Seven Mile Journey",2011-03-12,1208746,5,false,5forty,2013-07-15T01:10:43Z,"post-rock","Fluttery Records",0.274,0.595,0,-7.511,1,0.0385,0.0413,0.841,0.146,0.0682,125.598,4
spotify:track:54jMQHR2SEwikDhnIfnJej,"Through The Alter Ego Justifications","The Journey Studies","The Seven Mile Journey",2005-06-17,927653,15,false,5forty,2013-07-15T01:10:43Z,"post-rock","Fonogram/VME",0.388,0.455,0,-13.659,0,0.0296,0.187,0.872,0.109,0.0555,99.366,4
spotify:track:0Dpr5Dixtw0ZM5H5VQall8,"Passenger's Log, The Unity Fractions","The Journey Studies","The Seven Mile Journey",2005-06-17,909693,9,false,5forty,2013-07-15T01:10:43Z,"post-rock","Fonogram/VME",0.38,0.396,0,-13.094,0,0.031,0.0416,0.801,0.109,0.0395,114.779,4
