Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1D77DlGAE1HWBHyXQBCpgT,"Nuclear Seasons","True Romance","Charli xcx",2013-04-12,281480,44,false,5forty,2013-06-13T03:08:03Z,"hyperpop,art pop","Atlantic Records",0.52,0.94,9,-3.702,0,0.102,0.0414,0.00132,0.279,0.234,115.039,4
spotify:track:6Eiu7cflRNm6pCSSo1XeE1,"You - Ha Ha Ha","True Romance","Charli xcx",2013-04-12,188360,61,true,5forty,2013-06-13T03:08:03Z,"hyperpop,art pop","Atlantic Records",0.5,0.899,1,-4.659,0,0.0676,0.000729,0.135,0.105,0.619,91.074,4
spotify:track:51eXqjC11mFVT2B9vTSTNi,"Take My Hand","True Romance","Charli xcx",2013-04-12,266266,39,false,5forty,2013-06-13T03:08:03Z,"hyperpop,art pop","Atlantic Records",0.534,0.893,7,-4.92,1,0.0944,0.014,0.031,0.356,0.616,131.959,4
spotify:track:1eQXuEHvm3FPm0iSIJOEWk,"Stay Away","True Romance","Charli xcx",2013-04-12,227626,44,false,5forty,2013-06-13T03:08:03Z,"hyperpop,art pop","Atlantic Records",0.452,0.857,9,-4.243,1,0.0383,0.00566,0.000826,0.151,0.299,182.788,3
spotify:track:2MStsrsNz3noevbpramORf,"Set Me Free (Feel My Pain)","True Romance","Charli xcx",2013-04-12,233386,40,false,5forty,2013-06-13T03:08:03Z,"hyperpop,art pop","Atlantic Records",0.538,0.958,8,-3.269,0,0.104,0.0849,0,0.605,0.772,159.908,4
spotify:track:6PVMVmACGqDs2BP50tEX6s,"Grins","True Romance","Charli xcx",2013-04-12,232733,52,false,5forty,2013-06-13T03:08:03Z,"hyperpop,art pop","Atlantic Records",0.48,0.858,9,-4.304,1,0.0701,0.0000693,0.881,0.151,0.352,143.781,4
spotify:track:5IOEH3MF0ybXAbiWHltJeM,"So Far Away","True Romance","Charli xcx",2013-04-12,201213,47,true,5forty,2013-06-13T03:08:03Z,"hyperpop,art pop","Atlantic Records",0.468,0.762,10,-5.539,0,0.0298,0.0000151,0.00893,0.104,0.466,98.735,4
spotify:track:2JmfHwK3QpBtSX4FCcVDFg,"Cloud Aura (feat. Brooke Candy)","True Romance","Charli xcx;Brooke Candy",2013-04-12,164306,35,true,5forty,2013-06-13T03:08:03Z,"hyperpop,art pop","Atlantic Records",0.634,0.737,9,-4.82,0,0.0684,0.146,0,0.109,0.702,89.99,4
spotify:track:5ot3q8KR1vzq471WAtCNSU,"What I Like","True Romance","Charli xcx",2013-04-12,181613,48,true,5forty,2013-06-13T03:08:03Z,"hyperpop,art pop","Atlantic Records",0.604,0.812,0,-6.385,1,0.148,0.000292,0.000495,0.232,0.773,77.555,4
spotify:track:6KHaAM65eCWE0KGZCoqfFi,"Black Roses","True Romance","Charli xcx",2013-04-12,208213,39,true,5forty,2013-06-13T03:08:03Z,"hyperpop,art pop","Atlantic Records",0.513,0.8,7,-5.584,1,0.049,0.000135,0.834,0.0731,0.505,143.987,4
spotify:track:6SDL8459MUpkQ4BElyV1a4,"You're the One","True Romance","Charli xcx",2013-04-12,195320,35,false,5forty,2013-06-13T03:08:03Z,"hyperpop,art pop","Atlantic Records",0.561,0.771,11,-3.965,1,0.0385,0.00189,0.000223,0.115,0.365,90.972,4
spotify:track:1YKyWZjOqRV65SfOdfMErO,"How Can I","True Romance","Charli xcx",2013-04-12,235386,34,true,5forty,2013-06-13T03:08:03Z,"hyperpop,art pop","Atlantic Records",0.24,0.86,5,-4.744,1,0.0749,0.000522,0.00925,0.105,0.243,126.663,3
spotify:track:0r6r49D3KGqa4wjn660NBo,"Lock You Up","True Romance","Charli xcx",2013-04-12,211466,38,false,5forty,2013-06-13T03:08:03Z,"hyperpop,art pop","Atlantic Records",0.534,0.924,0,-4.052,1,0.0318,0.00505,0.00293,0.196,0.693,119.802,4
