Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4kLWqwX09t1loGtRTe9KER,"Get Tight","Cheatahs","Cheatahs",2014-02-10,204560,0,false,5forty,2014-02-26T22:18:44Z,"shoegaze,dream pop","Wichita Recordings",0.23,0.947,11,-3.192,1,0.101,0.000124,0.185,0.149,0.159,149.11,4
spotify:track:1TxzcEZS0RmERF376sfk65,"I","Cheatahs","Cheatahs",2014-02-10,41466,0,false,5forty,2014-02-26T22:18:44Z,"shoegaze,dream pop","Wichita Recordings",0.166,0.161,7,-12.286,1,0.0511,0.136,0.00009,0.765,0,84.015,4
spotify:track:1cKicqqziDfZ2Ga3EU3IVB,"Geographic","Cheatahs","Cheatahs",2014-02-10,209240,0,false,5forty,2014-02-26T22:18:44Z,"shoegaze,dream pop","Wichita Recordings",0.232,0.849,5,-1.58,1,0.0555,0.000285,0.947,0.368,0.193,167.07,4
spotify:track:4LAbEbMIeRgrBMyKCp0vrv,"Northern Exposure","Cheatahs","Cheatahs",2014-02-10,173560,0,false,5forty,2014-02-26T22:18:44Z,"shoegaze,dream pop","Wichita Recordings",0.252,0.917,4,-2.903,0,0.0698,0.0000258,0.898,0.132,0.147,158.003,4
spotify:track:0QSmtmPmurnvVzDbTlIez2,"Mission Creep","Cheatahs","Cheatahs",2014-02-10,296826,0,false,5forty,2014-02-26T22:18:44Z,"shoegaze,dream pop","Wichita Recordings",0.203,0.874,9,-3.386,1,0.0657,0.0538,0.895,0.273,0.271,200.115,4
spotify:track:0ja9yG8rhoh96swFv9Ho26,"The Swan","Cheatahs","Cheatahs",2014-02-10,262826,0,false,5forty,2014-02-26T22:18:44Z,"shoegaze,dream pop","Wichita Recordings",0.114,0.906,4,-2.692,1,0.079,0.000306,0.764,0.14,0.157,151.866,4
spotify:track:6QUK8CjBN6ySx0ZonftFNM,"IV","Cheatahs","Cheatahs",2014-02-10,311680,0,false,5forty,2014-02-26T22:18:44Z,"shoegaze,dream pop","Wichita Recordings",0.0813,0.507,7,-2.995,1,0.131,0.00133,0.82,0.411,0.0641,85.262,4
spotify:track:1jY2bu2GbOQJtZrIhj7oNY,"Leave To Remain","Cheatahs","Cheatahs",2014-02-10,176080,0,false,5forty,2014-02-26T22:18:44Z,"shoegaze,dream pop","Wichita Recordings",0.203,0.913,9,-2.224,1,0.0593,0.000419,0.895,0.286,0.307,156.958,4
spotify:track:3nIHyceJciSaAg0FW4I3lT,"Kenworth","Cheatahs","Cheatahs",2014-02-10,363346,0,false,5forty,2014-02-26T22:18:44Z,"shoegaze,dream pop","Wichita Recordings",0.0965,0.739,2,-3.066,0,0.0518,0.035,0.87,0.27,0.053,84.367,4
spotify:track:5pJyZDLY2ZJKYaUi2XoArm,"Fall","Cheatahs","Cheatahs",2014-02-10,203293,0,false,5forty,2014-02-26T22:18:44Z,"shoegaze,dream pop","Wichita Recordings",0.255,0.81,5,-2.503,1,0.0423,0.00000191,0.902,0.358,0.213,82.983,4
spotify:track:0W7PucAZPKgBmbajQqMIa8,"Cut The Grass","Cheatahs","Cheatahs",2014-02-10,249333,0,false,5forty,2014-02-26T22:18:44Z,"shoegaze,dream pop","Wichita Recordings",0.183,0.921,9,-3.12,1,0.0738,0.00384,0.517,0.298,0.114,162.8,4
spotify:track:3QRnYX6FzPPMyylJPNsqpZ,"Loon Calls","Cheatahs","Cheatahs",2014-02-10,257680,0,false,5forty,2014-02-26T22:18:44Z,"shoegaze,dream pop","Wichita Recordings",0.229,0.922,2,-3.136,1,0.0568,0.00000801,0.841,0.0617,0.145,155.956,4
