Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6nqG1yw9FGic7C7ho9p4En,"Red Lakes (Sternstunden)","Mythologies","Cheatahs",2015-10-30,197546,0,false,5forty,2015-11-15T19:13:03Z,"shoegaze,dream pop","Wichita Recordings",0.383,0.891,0,-4.046,1,0.0499,0.144,0.702,0.374,0.218,97.954,4
spotify:track:0fF4wUcnZcfWH8t3om7qjD,"Channel View","Mythologies","Cheatahs",2015-10-30,258933,0,false,5forty,2015-11-15T19:13:03Z,"shoegaze,dream pop","Wichita Recordings",0.41,0.865,9,-3.72,1,0.0441,0.00417,0.702,0.359,0.33,123.496,4
spotify:track:2lWlE4MgPeQKGbzi8EE2Jf,"In Flux","Mythologies","Cheatahs",2015-10-30,158080,0,false,5forty,2015-11-15T19:13:03Z,"shoegaze,dream pop","Wichita Recordings",0.282,0.844,9,-5.906,1,0.0411,0.0000908,0.566,0.115,0.228,161.876,4
spotify:track:18bMzvIegOESAU4eSQNuqs,"Freak Waves","Mythologies","Cheatahs",2015-10-30,200466,0,false,5forty,2015-11-15T19:13:03Z,"shoegaze,dream pop","Wichita Recordings",0.268,0.92,7,-2.809,1,0.0579,0.0000646,0.489,0.402,0.238,153.833,4
spotify:track:1Epsc67hUj4RArrXDserUB,"Signs To Lorelei","Mythologies","Cheatahs",2015-10-30,229986,0,false,5forty,2015-11-15T19:13:03Z,"shoegaze,dream pop","Wichita Recordings",0.425,0.833,7,-5.162,1,0.0371,0.0251,0.679,0.345,0.511,111.042,4
spotify:track:1hdDDB328xpiXzkXRpYwDu,"Hey, Sen","Mythologies","Cheatahs",2015-10-30,200893,0,false,5forty,2015-11-15T19:13:03Z,"shoegaze,dream pop","Wichita Recordings",0.4,0.776,2,-3.957,1,0.0358,0.000123,0.66,0.106,0.0745,118.072,4
spotify:track:2h2VHYDU0pm6YSbbHWJRFx,"Deli Rome","Mythologies","Cheatahs",2015-10-30,199826,0,false,5forty,2015-11-15T19:13:03Z,"shoegaze,dream pop","Wichita Recordings",0.363,0.916,7,-5.165,1,0.0658,0.00254,0.685,0.146,0.224,113.889,4
spotify:track:0hBu4eTd9ehmuhIh7dZezs,"Colorado","Mythologies","Cheatahs",2015-10-30,228093,0,false,5forty,2015-11-15T19:13:03Z,"shoegaze,dream pop","Wichita Recordings",0.102,0.627,7,-4.564,1,0.0453,0.133,0.916,0.37,0.0532,171.266,3
spotify:track:7N1JY9NKSNyLGcedQjDubb,"Su-pra","Mythologies","Cheatahs",2015-10-30,250360,0,false,5forty,2015-11-15T19:13:03Z,"shoegaze,dream pop","Wichita Recordings",0.229,0.954,5,-3.721,0,0.107,0.000127,0.612,0.287,0.0737,143.884,4
spotify:track:7m47LYgosGirzPUAt6YAaz,"Seven Sisters","Mythologies","Cheatahs",2015-10-30,288253,0,false,5forty,2015-11-15T19:13:03Z,"shoegaze,dream pop","Wichita Recordings",0.188,0.913,7,-4.282,1,0.0572,0.00685,0.000421,0.19,0.238,111.255,4
spotify:track:7L1i4gnj90bLYcDdvne0n2,"? (Murasaki)","Mythologies","Cheatahs",2015-10-30,292160,0,false,5forty,2015-11-15T19:13:03Z,"shoegaze,dream pop","Wichita Recordings",0.401,0.873,3,-3.919,1,0.0481,0.0000979,0.521,0.806,0.206,86.001,4
spotify:track:6tqkdg2noznYFvZ7njmHra,"Mysteci","Mythologies","Cheatahs",2015-10-30,253746,0,false,5forty,2015-11-15T19:13:03Z,"shoegaze,dream pop","Wichita Recordings",0.209,0.847,5,-3.6,1,0.041,0.0358,0.843,0.37,0.351,83.043,3
spotify:track:4ahcuhVlBfafyolCskOwzU,"Reverie Bravo","Mythologies","Cheatahs",2015-10-30,291120,0,false,5forty,2015-11-15T19:13:03Z,"shoegaze,dream pop","Wichita Recordings",0.335,0.832,9,-4.668,0,0.0485,0.00244,0.000954,0.291,0.125,135.417,4
