Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0Dv5frR8bXWHhoK5VNTKxz,"Hljóp","Thousand Mile Stare (Deluxe)","Chicane",2012-06-10,312000,0,false,5forty,2012-08-15T03:40:49Z,"trance","Modena",0.464,0.438,8,-12.879,0,0.0284,0.106,0.319,0.133,0.0395,129.994,4
spotify:track:3qFlxNqiFCkyfmzwHJMqVH,"The Nothing Song","Thousand Mile Stare (Deluxe)","Chicane",2012-06-10,376320,0,false,5forty,2012-08-15T03:40:49Z,"trance","Modena",0.409,0.736,0,-9.283,1,0.0327,0.00592,0.797,0.0872,0.278,125.006,3
spotify:track:1uZ1GGSCGJFW7FH9kEJ7WO,"Windbreaks","Thousand Mile Stare (Deluxe)","Chicane",2012-06-10,312345,0,false,5forty,2012-08-15T03:40:49Z,"trance","Modena",0.441,0.426,7,-10.035,1,0.0301,0.492,0.885,0.111,0.034,170.007,4
spotify:track:3ZrKUTZmUHr0nlj1KdVsli,"Thousand Mile Stare - Original Mix","Thousand Mile Stare (Deluxe)","Chicane",2012-06-10,421874,0,false,5forty,2012-08-15T03:40:49Z,"trance","Modena",0.579,0.504,2,-8.785,1,0.0318,0.17,0.868,0.0448,0.12,127.992,4
spotify:track:5wkmDewv8Wdr9LU5EcvJGb,"Playing Fields","Thousand Mile Stare (Deluxe)","Chicane",2012-06-10,322624,0,false,5forty,2012-08-15T03:40:49Z,"trance","Modena",0.647,0.65,8,-9.94,1,0.0292,0.312,0.704,0.102,0.174,100.029,4
spotify:track:0gqkOJGhGTSDiEnSENTZ4u,"Sólarupprás","Thousand Mile Stare (Deluxe)","Chicane;Vigri",2012-06-10,286557,0,false,5forty,2012-08-15T03:40:49Z,"trance","Modena",0.619,0.616,0,-10.435,1,0.0283,0.00854,0.665,0.0777,0.0608,126.02,4
spotify:track:1DzYZpNmkmmlSfp7LYl0Ri,"Going Deep - Moogmonkey Rework Mix","Thousand Mile Stare (Deluxe)","Chicane",2012-06-10,455881,0,false,5forty,2012-08-15T03:40:49Z,"trance","Modena",0.577,0.907,0,-8.221,0,0.0324,0.0794,0.882,0.127,0.0457,125.985,4
spotify:track:5gMRjZsHFdbVfmIrQn4FV2,"Goldfish","Thousand Mile Stare (Deluxe)","Chicane",2012-06-10,221439,0,false,5forty,2012-08-15T03:40:49Z,"trance","Modena",0.0862,0.221,2,-14.707,0,0.037,0.783,0.975,0.11,0.0403,61.625,4
spotify:track:2i11KVk80e4EkTJQFL5tbQ,"Flotsum and Jetsum","Thousand Mile Stare (Deluxe)","Chicane",2012-06-10,398940,0,false,5forty,2012-08-15T03:40:49Z,"trance","Modena",0.602,0.757,3,-7.659,0,0.0274,0.0284,0.836,0.315,0.228,128.004,4
spotify:track:7yvccpanXIca12afo33ato,"Super Mouflon","Thousand Mile Stare (Deluxe)","Chicane",2012-06-10,300066,0,false,5forty,2012-08-15T03:40:49Z,"trance","Modena",0.551,0.871,3,-6.242,0,0.0335,0.158,0.724,0.183,0.0606,128.005,4
spotify:track:269oX6xVRiKpl8N3jSAKUq,"Going Deep - Original Mix","Thousand Mile Stare (Deluxe)","Chicane",2012-06-10,432812,0,false,5forty,2012-08-15T03:40:49Z,"trance","Modena",0.711,0.457,1,-9.929,1,0.0618,0.0623,0.536,0.0667,0.0755,124.999,4
spotify:track:7628nDAlO6VrVOqSTPTVmk,"Fin De Jours","Thousand Mile Stare (Deluxe)","Chicane",2012-06-10,172584,0,false,5forty,2012-08-15T03:40:49Z,"trance","Modena",0.0674,0.221,3,-18.915,1,0.0427,0.838,0.952,0.119,0.0343,74.481,4
spotify:track:2pvqLPFMVb2hqktXh1wKsO,"Three - Original Mix","Thousand Mile Stare (Deluxe)","Chicane;Vigri",2012-06-10,329584,0,false,5forty,2012-08-15T03:40:49Z,"trance","Modena",0.354,0.39,10,-11.937,1,0.0298,0.302,0.412,0.0954,0.0399,126.02,4
spotify:track:5Zkeq62OCvUmxzKpWIN1sI,"Solaruppras - Disco Citizens Remix","Thousand Mile Stare (Deluxe)","Chicane;Vigri",2012-06-10,340952,0,false,5forty,2012-08-15T03:40:49Z,"trance","Modena",0.679,0.609,0,-7.675,1,0.0257,0.0294,0.612,0.0486,0.302,125.987,4
spotify:track:2WLzQoCE1xmS07KXt9WtKe,"Mission Impossible","Thousand Mile Stare (Deluxe)","Chicane",2012-06-10,155678,0,false,5forty,2012-08-15T03:40:49Z,"trance","Modena",0.563,0.636,7,-11.195,1,0.0409,0.00031,0.782,0.0804,0.133,174.985,5
spotify:track:1blKQVLee5f5tyoB5RriY6,"Three - Club Mix","Thousand Mile Stare (Deluxe)","Chicane;Vigri",2012-06-10,396666,0,false,5forty,2012-08-15T03:40:49Z,"trance","Modena",0.747,0.618,7,-9.048,0,0.0325,0.0106,0.81,0.184,0.0736,126.016,4
spotify:track:3Vkn4xxUA1G3QV77HoO3Dc,"Solaruppras - Instrumental","Thousand Mile Stare (Deluxe)","Chicane;Vigri",2012-06-10,283678,0,false,5forty,2012-08-15T03:40:49Z,"trance","Modena",0.638,0.614,0,-10.445,1,0.0269,0.0155,0.801,0.117,0.0651,125.998,4
