Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2P0p37wIpFQGBUnaV6dAHG,"Green Green Grass Of Tunnel","Finally We Are No One","múm",2002-05-20,291400,0,false,,2011-01-06T10:38:14Z,"post-rock,idm","FatCat Records",0.479,0.517,0,-13.347,1,0.0419,0.728,0.453,0.0844,0.221,180.064,4
spotify:track:5pUysvSMQLWaBQCn98dMNA,"K/Half Noise","Finally We Are No One","múm",2002-05-20,521106,0,false,,2011-01-06T10:43:40Z,"post-rock,idm","FatCat Records",0.267,0.287,0,-14.096,1,0.0426,0.549,0.873,0.32,0.0392,79.488,4
spotify:track:4EmuvLriyYjzVEZwjKWIVc,"Interlude","DJ-KiCKS","Apparat",2010-10-26,84486,0,false,,2011-01-06T11:56:22Z,"idm,glitch","!K7 Records",0.417,0.548,0,-9.355,1,0.0285,0.0474,0.877,0.216,0.0926,125.143,4
spotify:track:5z0UuBWV7PaesWo0JVJneX,"Miss You - Trentemøller Remix - Radio Edit","Musica Balearica Vol. 2","trentemøller",2010-06-25,243389,0,false,,2011-01-06T13:05:29Z,"minimal techno,electronica","KNM Special Marketing",0.66,0.509,7,-18.564,0,0.0397,0.745,0.939,0.107,0.0794,130.004,3
spotify:track:5EQJwmqtxNMTYN3Spr8NU3,"Lay In A Shimmer","Black Noise","Pantha Du Prince",2010-02-08,397866,0,false,,2011-01-06T13:50:27Z,"minimal techno,idm","Rough Trade",0.663,0.639,0,-12.28,1,0.0425,0.000815,0.836,0.518,0.067,124.015,4
spotify:track:24ZDnpE6kXoQTgGDAtotsx,"When I Grow Up","Fever Ray","Fever Ray",2009,269640,0,false,,2011-01-06T14:30:33Z,"","Rabid Records",0.659,0.622,0,-9.641,1,0.0386,0.349,0.568,0.155,0.581,92.012,4
spotify:track:5KrQ7SRLO8IgFAHY2D61LH,"Put the Days Away","Nocturne Of Exploded Crystal Chandelier","Sun Airway",2010-10-25,293613,0,false,,2011-10-11T13:48:35Z,"chillwave","Dead Oceans",0.318,0.803,0,-7.197,1,0.051,0.0158,0.954,0.372,0.152,139.888,4
spotify:track:4w747gselxD5bN7uFfwJwW,"Variance","Artifacts","aether",2008-11-25,203749,0,false,,2012-07-18T23:25:00Z,"chillstep,future bass","Exponential",0.576,0.628,7,-8.947,1,0.168,0.315,0.877,0.145,0.562,86.024,4
spotify:track:4r3DMKmkJgbJJLBuEe1zp0,"The Daydream","The Daydream/The Disconnect","Tycho",2007-12-11,251280,0,false,,2012-07-18T23:28:54Z,"chillwave,downtempo,idm","Ghostly International/SMM",0.539,0.861,8,-7.34,1,0.0403,0.000216,0.907,0.0579,0.243,139.983,4
spotify:track:6Z5WXEDnGcnyFUnxVhOCOu,"A.M. Architect - Take 4","Exponential Presents: Collapsing Culture","A.M. Architect",2006-01-01,257880,0,false,,2012-07-18T23:47:55Z,"downtempo,trip hop","Exponential",0.579,0.765,9,-5.804,1,0.0329,0.679,0.832,0.32,0.0833,122.009,4
spotify:track:2vyKXGu545erJykTkAGbqz,"Tribute to nujabes","Peace Of Soul","Kondor",2011-05-25,169813,0,false,,2012-07-18T23:49:22Z,"jazz rap,nu jazz,lo-fi beats","Libyus Music",0.752,0.777,9,-9.085,0,0.0403,0.109,0.936,0.112,0.534,95.01,4
spotify:track:29znLW29QgbBbo1Ws2JjWi,"Siren (Tor Remix)","Remixes","Emancipator",2011-06-21,292506,17,false,,2012-07-18T23:59:06Z,"trip hop,downtempo,chillstep","Emancipator",0.475,0.626,5,-7.081,0,0.0303,0.146,0.633,0.137,0.11,95.972,4
spotify:track:5FhDZGGlT2V9KctVGe6mFl,"Skunks","Up In Flames","Caribou",2006-08-01,227866,0,false,,2012-07-19T00:14:44Z,"idm","Domino Recording Co",0.437,0.923,0,-7.727,1,0.0937,0.0875,0.524,0.166,0.334,176.963,4
spotify:track:1tbInvb7M0kUdlxfwh18qM,"Canoe Canoa","Queue For Love","Populous",2005-05-02,177666,22,false,,2012-07-19T00:35:59Z,"electrocumbia","Morr Music",0.712,0.467,4,-8.632,0,0.0342,0.0553,0.448,0.0852,0.524,99.986,4
spotify:track:4ygcdmPyBFEaf25SEEsKrz,"Beep Street","Hard Normal Daddy","Squarepusher",1997-04-28,397133,0,false,,2012-07-19T00:42:02Z,"idm,breakcore,glitch","Warp Records",0.499,0.82,5,-8.835,0,0.0541,0.0756,0.869,0.0849,0.598,161.449,4
spotify:track:4BITFC4lrPVAUfwxYuak7v,"Asleep From Day","Surrender","The Chemical Brothers",1999-01-01,287226,45,false,,2012-08-07T03:19:33Z,"big beat,alternative dance,electronic,breakbeat","Virgin Records",0.516,0.574,4,-9.8,1,0.028,0.581,0.575,0.185,0.274,136.992,4
spotify:track:1TJdqtQkwlO8smlkgFRVjy,"In My Memory","Silent Stars","Martin Schulte",2010-11-26,345600,0,false,,2012-08-13T02:26:05Z,"dub techno,dub,minimal techno","RareNoiseRecords",0.716,0.683,6,-13.202,1,0.0407,0.191,0.887,0.099,0.719,124.998,4
spotify:track:60Pe9j2pCBa4Zp4ztf5nhd,"Windowlicker","Windowlicker","Aphex Twin",1999-03-22,368400,0,false,,2012-08-13T03:09:37Z,"idm,ambient,electronica","Warp Records",0.698,0.789,8,-4.936,1,0.163,0.132,0.0091,0.366,0.492,123.016,4
spotify:track:39xYab8Nqh5YaK4ZC6HgbM,"Regenerate","More!","Booka Shade",2010-04-26,333240,0,false,,2012-08-13T03:15:39Z,"minimal techno,melodic house,melodic techno,electronica","Kammermeier and Merziger",0.843,0.573,7,-9.62,1,0.177,0.209,0.771,0.547,0.559,125.008,4
spotify:track:4PhoPIaGbFkV2XGU4J81MX,"Release The Pressure","Leftism","Leftfield",1993,459426,0,false,,2012-08-13T03:26:53Z,"big beat,trip hop,downtempo","Columbia",0.755,0.739,4,-11.568,1,0.0629,0.0552,0.392,0.347,0.236,110.005,4
spotify:track:7uv632EkfwYhXoqf8rhYrg,"Angel","Mezzanine","Massive Attack;Horace Andy",1998-01-01,379533,80,false,,2012-08-13T03:42:19Z,"trip hop,downtempo,roots reggae,dub,reggae,rocksteady,lovers rock,ragga","Circa",0.714,0.309,7,-10.796,1,0.0291,0.0157,0.807,0.0777,0.0671,107.346,4
spotify:track:0n6p2LM8w2k6Y6xyU7Tkw9,"Les Djinns - Trentemøller Remix","Trentemøller - The Digital Chronicles","Djuma Soundsystem;trentemøller",2007-10-19,375079,0,false,,2012-08-13T04:09:05Z,"afro tech,tribal house,organic house,afro house,minimal techno,electronica","Audiomatique",0.758,0.631,10,-10.231,0,0.0477,0.0355,0.904,0.0985,0.379,123.025,4
spotify:track:4RRJIDgX1usvjs4sKk6SMH,"Belfast","Orbital 20","Orbital",2009-05-21,490680,0,false,,2012-08-13T04:24:17Z,"idm,big beat,acid house,breakbeat","WM UK",0.523,0.706,0,-9.837,1,0.0465,0.000796,0.313,0.112,0.345,119.693,4
spotify:track:1ph6Bncj7s3BmYp6FkIzP8,"Miss You","Chilltronica No. 2 - Music for the Cold & Rainy Season","trentemøller",2010-11-26,243400,0,false,,2012-08-13T05:39:30Z,"minimal techno,electronica","Soundcolours",0.542,0.134,7,-22.526,0,0.0367,0.948,0.931,0.152,0.216,126.954,4
spotify:track:1Rezzt36ybaT2ZbDZpv83D,"Black Milk","Mezzanine","Massive Attack;Elizabeth Fraser",1998-01-01,381666,64,false,,2012-08-13T05:46:03Z,"trip hop,downtempo","Circa",0.56,0.455,1,-11.221,0,0.0304,0.00575,0.757,0.219,0.44,168.081,4
spotify:track:0C1hbcfYkY5ofnFSP8yq8b,"Golden Clouds","Golden Clouds","The Orb;Lee ""Scratch"" Perry",2012-07-15,344795,0,false,,2012-08-14T02:25:56Z,"idm,ambient,dub,rocksteady,reggae,roots reggae,ska,ragga","Cooking Vinyl",0.774,0.86,1,-6.762,1,0.138,0.0209,0.0147,0.181,0.458,99.999,4
spotify:track:1uZ1GGSCGJFW7FH9kEJ7WO,"Windbreaks","Thousand Mile Stare (Deluxe)","Chicane",2012-06-10,312345,0,false,,2012-08-15T02:48:48Z,"trance","Modena",0.441,0.426,7,-10.035,1,0.0301,0.492,0.885,0.111,0.034,170.007,4
spotify:track:2pvqLPFMVb2hqktXh1wKsO,"Three - Original Mix","Thousand Mile Stare (Deluxe)","Chicane;Vigri",2012-06-10,329584,0,false,,2012-08-15T03:40:39Z,"trance","Modena",0.354,0.39,10,-11.937,1,0.0298,0.302,0.412,0.0954,0.0399,126.02,4
spotify:track:2bchbw3h5621hbt5XHiRd1,"Besides","Men's Health Playlist Workout Vol. 6 : 10K Stamina Mixed by Chicane","Gui Boratto",2010-07-05,258000,0,false,,2012-08-15T05:31:07Z,"minimal techno","Total Fitness Music",0.613,0.547,3,-15.165,1,0.0429,0.881,0.917,0.203,0.687,100.016,4
spotify:track:6l0LbTF2V77M3LPpcOBmqX,"Halcyon and On and On","Orbital 2","Orbital",1993,567106,0,false,,2012-10-16T20:59:05Z,"idm,big beat,acid house,breakbeat","London Records",0.577,0.729,11,-14.376,0,0.0319,0.0953,0.928,0.184,0.177,126.988,4
spotify:track:3RQhPnjf4JFq1jtQXgYwhG,"Obsidian","Igizeh (Special Edition)","Banco De Gaia;Jennifer Folker",2000-09-26,425760,0,false,,2012-10-16T22:01:25Z,"downtempo,trip hop,idm,ambient","Disco Gecko Recordings",0.471,0.706,3,-9.419,0,0.0332,0.0194,0.483,0.222,0.251,135.978,4
spotify:track:0Rmj9MueSoR3a4glqRPZS6,"O.K.","Progressive History XXX","Fluke",2002-01-01,468533,7,false,,2012-10-16T22:36:37Z,"big beat,breakbeat","Circa",0.542,0.521,1,-11.441,1,0.0317,0.0864,0.52,0.103,0.0375,97.07,4
spotify:track:4Fr6fS9B8HiAJ1VLwgPmIk,"What Else Is There? - Thin White Duke Mix","What Else Is There?","Röyksopp",2005-11-18,506026,37,false,,2012-10-16T23:33:51Z,"downtempo,electronica,trip hop","Parlophone (France)",0.626,0.712,1,-7.271,1,0.0842,0.00671,0.653,0.075,0.555,123.961,4
spotify:track:5oGTuLJUHk2264wXeJ2h2c,"Strange Light - Original Mix","It's Ils Time","ILS",2009-06-29,388075,0,false,,2012-10-16T23:40:23Z,"breakbeat,big beat","Electrico Records",0.278,0.833,2,-10.584,0,0.041,0.0000191,0.73,0.278,0.374,129.955,4
spotify:track:3NGMT1wSfK7CJ3KRK4Uori,"Smoothin'","The Sims 3 Re-Imagined - Junkie XL","Junkie XL",2010-10-25,162066,0,false,,2012-10-16T23:58:23Z,"big beat,score,soundtrack","EA TM Music",0.645,0.663,11,-6.153,1,0.0552,0.0575,0.00945,0.074,0.643,110.298,4
spotify:track:0Rmj9MueSoR3a4glqRPZS6,"O.K.","Progressive History XXX","Fluke",2002-01-01,468533,7,false,,2012-10-17T00:40:19Z,"big beat,breakbeat","Circa",0.542,0.521,1,-11.441,1,0.0317,0.0864,0.52,0.103,0.0375,97.07,4
spotify:track:5YjpwbO5T5x0bsRWL1qyWX,"Switch / Twitch","Puppy","Fluke",2003-03-21,573280,0,false,,2012-10-17T01:52:00Z,"big beat,breakbeat","One Little Indian Records",0.311,0.906,6,-9.189,1,0.0394,0.000153,0.808,0.0884,0.53,113.252,4
