Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2vF7yAejvek5y8KQuTAHDK,"Rugla","Kurr (10th Anniversary)","amiina",2007,240133,0,false,5forty,2018-08-07T11:28:52Z,"post-rock","amiina",0.497,0.256,7,-14.845,1,0.0266,0.986,0.307,0.0734,0.0634,84.005,4
spotify:track:25lkqiXT93FJSqhl2sWmVb,"Lúppulagið (Live)","Inní","Sigur Rós",2011-11-14,359320,0,false,5forty,2018-08-07T11:28:52Z,"post-rock,dream pop","XL Recordings",0.209,0.163,11,-16.778,0,0.0337,0.966,0.933,0.097,0.0348,97.704,3
spotify:track:4VWVGcvzD7rqtDWdVxSoAg,"More Room","DJ-KiCKS (Apparat)","Luke Abbott",2010-10-25,69094,0,false,5forty,2018-08-07T11:28:52Z,"idm","!K7 Records",0.809,0.517,0,-14.387,1,0.0679,0.331,0.956,0.123,0.424,125.011,4
spotify:track:0wPMnwxA7Z1U0KVzbA4NYi,"Outskirts","The Sun & The Neon Light","Booka Shade",2008-09-20,293893,0,false,5forty,2018-08-07T11:28:52Z,"minimal techno,melodic house,melodic techno,electronica","Onelove",0.65,0.787,10,-11.801,0,0.0428,0.237,0.798,0.0798,0.35,116.007,4
spotify:track:7epy181H1wW9ghmekGdPc9,"Depak Ine","Fin","John Talabot",2012-01-27,446960,0,false,5forty,2018-08-07T11:28:52Z,"","Permanent Vacation",0.616,0.785,7,-9.442,1,0.0398,0.049,0.877,0.112,0.0835,106.433,4
spotify:track:5iwxuNxMzFXFVVsxWz7gQI,"Marble House","Silent Shout","The Knife",2006-02-17,318960,0,false,5forty,2018-08-07T11:28:52Z,"electroclash","Brille Records",0.467,0.637,0,-8.652,1,0.0342,0.00331,0.000548,0.337,0.232,179.559,4
spotify:track:1bZnKtpTJcrUwX69kYgeKj,"Go Ego","Eight And A Half","Eight And A Half",2012-04-10,259185,10,false,5forty,2018-08-07T11:28:52Z,"indie québécois","Arts & Crafts",0.534,0.719,1,-7.586,0,0.0437,0.0246,0.895,0.0956,0.275,117.027,4
spotify:track:4oFXi7bNzFJk7vYCdie2Qx,"And Stars, Ringed","Noir","Blue Sky Black Death",2011-04-26,310786,0,false,5forty,2018-08-07T11:28:52Z,"downtempo,trip hop,chillstep","Fake Four, Inc.",0.646,0.806,10,-5.082,0,0.0326,0.409,0.887,0.104,0.228,112.999,4
spotify:track:5cLoAPxPZ023wkfjgBnoWx,"Everything Under The Sun","Serial Hodgepodge","Lusine",2004-11-30,320680,0,false,5forty,2018-08-07T11:28:52Z,"idm,downtempo","Ghostly International",0.81,0.666,6,-8.387,0,0.0642,0.00444,0.807,0.222,0.438,89.989,4
spotify:track:2sLIKCMR0RQLplYnaCAN3t,"Sensual Sunrise - Nujabes Tribute","Sincere Sunset (Reissue)","Abstrakt Idea",2011-01-11,157806,23,false,5forty,2018-08-07T11:28:52Z,"jazz rap,trip hop,lo-fi beats","Digi Crates Records",0.767,0.534,8,-9.551,1,0.0314,0.291,0.862,0.138,0.838,98.016,4
spotify:track:5t3x4ZyaDgxwC6AfYrNokO,"Composure","The Humbucking Coil","B. Fleischmann",2006-02-10,334720,27,false,5forty,2018-08-07T11:28:52Z,"idm,ambient","Morr Music",0.732,0.564,0,-11.719,1,0.0878,0.468,0.842,0.11,0.815,105.026,3
spotify:track:4miEA9U9PZKBYryATLzCKC,"Hasty Boom Alert","Lunatic Harness","µ-Ziq",1997-01-01,315133,39,false,5forty,2018-08-07T11:28:52Z,"idm,glitch,breakcore,experimental","Hut",0.52,0.858,9,-8.718,1,0.0729,0.108,0.834,0.117,0.215,93.834,4
spotify:track:0qG1teoBvooRo7Z5Z8edCk,"La ritournelle","Politics","Sébastien Tellier",2004-01-01,454480,0,false,5forty,2018-08-07T11:28:52Z,"french house,french indie pop,downtempo","Record Makers",0.558,0.723,0,-11.214,0,0.0312,0.00405,0.501,0.0863,0.526,102.833,4
spotify:track:27H55yJjRsbIstpI3e34QP,"Unprotected","Response EP","Leftover",2007-09-14,347426,17,false,5forty,2018-08-07T11:28:52Z,"dub techno,dub,minimal techno","Statik Entertainment",0.65,0.548,5,-13.865,0,0.0747,0.367,0.899,0.121,0.159,114.888,4
spotify:track:6uCFHipJ8GMeThPe2Zmk4W,"My Red Hot Car","My Red Hot Car","Squarepusher",2001-05-21,259666,0,false,5forty,2018-08-07T11:28:52Z,"idm,breakcore,glitch","Warp Records",0.751,0.704,2,-10.951,1,0.0594,0.00132,0.899,0.561,0.679,142.015,4
spotify:track:0X7HLdeo8xiXE0DmRjQsaE,"We Are Facing the Sun","Mango","Sascha Funke",2008-05-02,430226,23,false,5forty,2018-08-07T11:28:52Z,"minimal techno","BPitch Control",0.803,0.489,11,-12.098,0,0.0408,0.0000196,0.884,0.2,0.673,122.009,4
spotify:track:0yHKFQNwiCzpjR312MJsb0,"Little Fluffy Clouds - Dance Mix 2","U.F.Off: The Best Of The Orb","The Orb",1998-01-01,250866,36,false,5forty,2018-08-07T11:28:52Z,"idm,ambient","Universal-Island Records Ltd.",0.672,0.798,6,-10.555,0,0.05,0.0218,0.288,0.731,0.617,105.016,4
spotify:track:2sW8fmnISifQTRgnRrQTYW,"Roads","Dummy","Portishead",1994-01-01,303973,67,false,5forty,2018-08-07T11:28:52Z,"trip hop,downtempo","Polydor Associated Labels",0.607,0.294,5,-11.836,1,0.0764,0.778,0.162,0.106,0.192,76.083,4
spotify:track:5xT2kntSuoII0P95NDeVrb,"Moan - Trentemøller Remix","Moan","trentemøller",2004,445390,0,false,5forty,2018-08-07T11:28:52Z,"minimal techno,electronica","Poker Flat Recordings",0.758,0.47,1,-12.988,1,0.0626,0.278,0.766,0.0724,0.364,120.016,4
spotify:track:5zh23oMbATQlWbwEe5U0KG,"Papua New Guinea","Accelerator","The Future Sound Of London",1991,405293,46,false,5forty,2018-08-07T11:28:52Z,"idm,big beat,acid house,ambient,breakbeat,trip hop","Jumpin' & Pumpin'",0.352,0.575,8,-14.853,1,0.0445,0.00181,0.687,0.143,0.431,124.864,4
spotify:track:5roFk0NrkH8tirMrgoYKAF,"Devil's Water - Reprise","Devil's Water","Rennie Foster",2009-01-12,310073,0,false,5forty,2018-08-07T11:28:52Z,"","Rebirth",0.199,0.334,1,-10.137,0,0.038,0.691,0.0156,0.226,0.0841,85.527,3
spotify:track:7h14W1uQK7sjpVI1oVTobt,"Wandering Star","Dummy","Portishead",1994-01-01,293200,60,false,5forty,2018-08-07T11:28:52Z,"trip hop,downtempo","Polydor Associated Labels",0.639,0.37,6,-10.883,1,0.0723,0.504,0.587,0.117,0.707,80.152,4
spotify:track:0jmfiZP6MBtrORE1vpvFWU,"Be, I Do","Feelin' Good","Nightmares On Wax",2013-09-16,287400,0,false,5forty,2018-08-07T11:28:52Z,"trip hop,downtempo,acid jazz,nu jazz","Warp Records",0.885,0.503,10,-11.015,0,0.12,0.172,0.185,0.268,0.764,76.006,4
spotify:track:2srVIbWaHZoYK85a9cmh4b,"B Movie","Soma Coma 4","Slam",2010-07-05,286253,0,false,5forty,2018-08-07T11:28:52Z,"acid techno,techno,acid house,minimal techno","Soma Records",0.68,0.432,2,-14.078,1,0.191,0.0216,0.907,0.0716,0.122,191.956,4
spotify:track:5zh23oMbATQlWbwEe5U0KG,"Papua New Guinea","Accelerator","The Future Sound Of London",1991,405293,46,false,5forty,2018-08-07T11:28:52Z,"idm,big beat,acid house,ambient,breakbeat,trip hop","Jumpin' & Pumpin'",0.352,0.575,8,-14.853,1,0.0445,0.00181,0.687,0.143,0.431,124.864,4
spotify:track:3SApM97ZAlaGBr94D8T40V,"A Dream Within A Dream","Biological Radio","Dreadzone",1997-01-01,370226,29,false,5forty,2018-08-07T11:28:52Z,"dub","Virgin Records",0.626,0.434,7,-11.802,0,0.031,0.332,0.834,0.149,0.207,147.001,4
spotify:track:2jJyafTsKTOvaDhl4btGnn,"Dark Eyed Kid","Strange Cargo II","William Orbit",1990,324093,15,false,5forty,2018-08-07T11:28:52Z,"idm,electronic classical,downtempo","EMI Catalogue",0.706,0.683,11,-13.864,1,0.0507,0.0426,0.44,0.0994,0.98,151.114,4
spotify:track:46gog9DTymoam1Atq4xpDl,"Mr. Brightside - Jacques Lu Cont's Thin White Duke Mix","Sawdust","The Killers;Jacques Lu Cont",2007-01-01,528026,34,false,5forty,2018-08-07T11:28:52Z,"alternative rock","Island Records",0.56,0.745,1,-6.671,1,0.0295,0.01,0.0018,0.119,0.399,133.994,4
spotify:track:2jJyafTsKTOvaDhl4btGnn,"Dark Eyed Kid","Strange Cargo II","William Orbit",1990,324093,15,false,5forty,2018-08-07T11:28:52Z,"idm,electronic classical,downtempo","EMI Catalogue",0.706,0.683,11,-13.864,1,0.0507,0.0426,0.44,0.0994,0.98,151.114,4
spotify:track:1EFyehHPhxPuwe20gdIXfW,"Action Radius","Big Sounds Of The Drags","Junkie XL",1999-06-14,233706,41,false,5forty,2018-08-07T11:28:52Z,"big beat,score,soundtrack","Roadrunner Records",0.466,0.996,2,-4.259,1,0.413,0.0444,0.00123,0.648,0.254,171.981,4
spotify:track:0VPpf9JA9FAiSRflkPu1SO,"Moondance","TOUCHED EP","Blondes",2015-06-14,686240,0,false,5forty,2018-08-07T11:28:52Z,"dub techno,chillwave,acid jazz","Clasp",0.63,0.662,7,-8.675,1,0.048,0.00121,0.898,0.095,0.0392,102.99,4
spotify:track:6OKJKOmYMoBAbsvsoYSaA0,"Together In Electric Dreams","Together In Electric Dreams","Subway",2007-11-18,390826,0,false,5forty,2018-08-07T11:28:52Z,"quiet storm","Sunday Best",0.665,0.836,8,-8.836,1,0.0411,0.0197,0.902,0.2,0.521,125.008,4
spotify:track:46gog9DTymoam1Atq4xpDl,"Mr. Brightside - Jacques Lu Cont's Thin White Duke Mix","Sawdust","The Killers;Jacques Lu Cont",2007-01-01,528026,34,false,5forty,2018-08-07T11:28:52Z,"alternative rock","Island Records",0.56,0.745,1,-6.671,1,0.0295,0.01,0.0018,0.119,0.399,133.994,4
