Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5fTDz2Ky06voi1Z7NheQuu,"Faking The Books","Faking The Books","Lali Puna",2004-04-05,240093,36,false,,2010-12-31T09:07:15Z,"indie electronic,electropop,idm","Morr Music",0.565,0.427,10,-8.868,1,0.0285,0.0885,0.707,0.156,0.364,160.097,4
spotify:track:7DsfzMzXfqHQIAmpCmzyNo,"Don't Be Afraid, You're Already Dead","Love Is Simple","Akron/Family",2007-09-18,275960,0,false,,2010-12-31T09:40:13Z,"","Young God Records",0.235,0.31,10,-7.737,1,0.0277,0.712,0.00211,0.201,0.136,87.282,3
spotify:track:6Ddsi5Z9s5sw0VNv3bUXdZ,"Below It","Rough Trade - Counter Culture 2008 (2CD Set)","Peter Broderick",2009-01-01,238000,0,false,,2010-12-31T10:00:09Z,"neoclassical,contemporary classical,minimalism","Universal Music GmbH",0.47,0.4,7,-12.727,1,0.0329,0.812,0.02,0.148,0.522,99.168,4
spotify:track:6HoGFDC8waDV4qW5pJwrz0,"And It's Alright","Home","Peter Broderick",2008-10-10,320093,0,false,,2010-12-31T10:08:39Z,"neoclassical,contemporary classical,minimalism","Universal Music LLC",0.549,0.322,2,-12.388,1,0.0274,0.672,0.156,0.141,0.355,74.707,4
spotify:track:3EZjCI5hs6yquQj9b8hOoP,"A Little Longing Goes Away","Lost And Safe","The Books",2005,210280,0,false,,2010-12-31T10:41:26Z,"plunderphonics","Tomlab",0.285,0.0939,0,-21.299,1,0.0532,0.949,0.023,0.0963,0.0336,74.207,3
spotify:track:0CYlqXykXXyJc88YOny023,"Vogt Dig For Kloppervok","Lost And Safe","The Books",2005,234333,0,false,,2010-12-31T10:41:30Z,"plunderphonics","Tomlab",0.72,0.638,9,-12.724,1,0.0666,0.0676,0.354,0.148,0.173,152.762,4
spotify:track:16qDLS1jHvh8wI59HbllKX,"Boo","Blue Screen Life","Pinback",2001,238640,0,false,,2010-12-31T11:30:51Z,"indie rock","Ace Fu Records",0.807,0.228,2,-16.292,0,0.0431,0.154,0.468,0.122,0.469,139.984,4
spotify:track:6axTeka40BWfXHn8FEhcWH,"Terasaka","Eph Reissue","Fridge",2002,645720,0,false,,2010-12-31T11:32:15Z,"post-rock,idm","Temporary Residence",0.665,0.683,8,-9.328,1,0.0601,0.279,0.602,0.0829,0.485,117.252,4
spotify:track:78gVZQMcHY4TapjUtIe9f4,"Remix","Eph Reissue","Fridge",2002,521720,0,false,,2010-12-31T11:32:15Z,"post-rock,idm","Temporary Residence",0.612,0.553,0,-11.486,1,0.031,0.203,0.947,0.258,0.251,109.947,3
spotify:track:4CjhMQzrOXNvBZpwdSUeBX,"Aphelion","Eph Reissue","Fridge",2002,597813,0,false,,2010-12-31T11:32:15Z,"post-rock,idm","Temporary Residence",0.215,0.444,2,-7.494,1,0.0338,0.35,0.893,0.111,0.039,196.617,3
spotify:track:4cfTpXmU6Q2wFSJL3X84dl,"Five Four Child Voice","Happiness","Fridge",2001-09-24,560586,0,false,,2010-12-31T11:32:15Z,"post-rock,idm","Domino Records",0.392,0.556,2,-8.834,1,0.037,0.0664,0.411,0.164,0.185,88.373,4
spotify:track:5X0AADu31poznfyAYLPANq,"Radio Ballet","Copia","Eluvium",2007-02-20,192213,0,false,,2010-12-31T11:35:22Z,"post-rock,ambient,drone,neoclassical","Temporary Residence Ltd.",0.308,0.489,6,-9.559,1,0.0436,0.948,0.878,0.12,0.245,112.21,4
spotify:track:23rtQkfuXIkJ64ySwjM74g,"Prelude For Time Feelers","Copia","Eluvium",2007-02-20,348773,0,false,,2010-12-31T11:49:42Z,"post-rock,ambient,drone,neoclassical","Temporary Residence Ltd.",0.219,0.273,2,-13.245,1,0.0388,0.876,0.934,0.117,0.127,115.327,4
spotify:track:3CZlQze7HVlZ1gqL83KHqj,"Descent","Retreat","Vessels",2009-04-13,515386,1,false,,2010-12-31T12:07:53Z,"post-rock,math rock","Cuckundoo Records",0.395,0.47,6,-14.29,1,0.0407,0.338,0.908,0.112,0.0791,162.266,3
spotify:track:6WM3FMSr1IuHxQkIkMESrE,"Plasticities","Armchair Apocrypha","Andrew Bird",2007-03-20,264933,0,false,,2010-12-31T21:20:27Z,"baroque pop,indie folk","Fat Possum",0.611,0.5,5,-10.976,1,0.0286,0.432,0.0127,0.115,0.699,146.832,4
spotify:track:5XD05jofdkmZ7U6tcZFHBa,"All Of Me","Chocolates And Cigarettes","Angus & Julia Stone",2006-09-09,323053,0,false,,2010-12-31T21:21:37Z,"","",0.502,0.21,11,-14.091,0,0.0415,0.845,0.00307,0.158,0.186,114.557,4
spotify:local:4track:4tRECK:NO+NO+NO+NO:338,"NO NO NO NO","4tRECK","4track",,338000,0,false,,2011-01-01T10:17:47Z,"","undefined",,,,,,,,,,,,
spotify:track:01xLGcQippi9x56GQ34M7k,"Rain, Heaven, Hail","A Word In Your Ear","Alfie",2002-03-25,391466,0,false,,2011-01-01T10:25:49Z,"neo-psychedelic,tech house,britpop","Twisted Nerve Recordings",0.529,0.594,0,-9.135,0,0.0295,0.368,0.836,0.169,0.124,114.013,5
spotify:local:Animal+Collective:Feels:Banshee+Beat:502,"Banshee Beat","Feels","Animal Collective",,502000,0,false,,2011-01-01T10:29:14Z,"","undefined",,,,,,,,,,,,
spotify:track:0RbtDrIxG5PoGG9UmXzdPX,"No More Runnin","Merriweather Post Pavilion","Animal Collective",2009-01-11,265333,0,false,,2011-01-01T10:30:23Z,"neo-psychedelic,indie rock","Domino Records",0.368,0.638,1,-8.579,0,0.0367,0.484,0.834,0.104,0.228,115.157,3
spotify:local:Asthmaboy:Later+Days:Down+To+The+Puget+Sound:195,"Down To The Puget Sound","Later Days","Asthmaboy",,195000,0,false,,2011-01-01T10:33:26Z,"","undefined",,,,,,,,,,,,
spotify:track:1ybu2CSF26zyquwCWb6YQJ,"Creature Fear","For Emma, Forever Ago","Bon Iver",2007-07-08,186120,0,false,,2011-01-01T10:41:39Z,"","Jagjaguwar",0.393,0.125,2,-15.945,1,0.0577,0.932,0.00736,0.325,0.181,104.381,3
spotify:track:0SxjUar3kSzArD0dRloczB,"Flume","Rough Trade - Counter Culture 2008 (2CD Set)","Bon Iver",2009-01-01,212500,0,false,,2011-01-01T10:42:04Z,"","Universal Music GmbH",0.501,0.186,11,-14.451,1,0.0286,0.924,0.0472,0.136,0.088,66.842,4
spotify:track:01iwDJIRwJCrpgkYZWLtZS,"Suitcase (101 Hangovers) - Remixed by Hoh","101 Reykjavik - Score By Damon Albarn & Einar Orn Benediktsson","Albarn & Benediktsson;Hilmar Örn Hilmarsson",2001-05-28,299600,0,false,,2011-01-01T10:51:53Z,"post-rock,neofolk","Parlophone UK",0.634,0.511,10,-10.619,1,0.034,0.897,0.923,0.122,0.0718,93.945,3
