Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:058CdRd74x7xo700eWwkB0,"Scream Rave","Dream Cave","Cloud Control",2013-09-16,108609,0,false,5forty,2013-09-15T21:27:18Z,"","Infectious",0.296,0.354,0,-8.344,1,0.0363,0.751,0.00755,0.381,0.403,120.982,4
spotify:track:3eLVIMsLwpruS8ePFPMVIw,"Dojo Rising","Dream Cave","Cloud Control",2013-09-16,260720,0,false,5forty,2013-09-15T21:27:18Z,"","Infectious",0.438,0.746,10,-7.221,1,0.0297,0.0024,0.0492,0.535,0.429,75.013,4
spotify:track:0mtvo2zTTdy1m16dvpBZpn,"Promises","Dream Cave","Cloud Control",2013-09-16,203733,0,false,5forty,2013-09-15T21:27:18Z,"","Infectious",0.499,0.553,4,-6.86,0,0.0299,0.194,0.0881,0.101,0.436,114.551,3
spotify:track:2cl8YXVX0fM1ek9MOPwYh0,"Moonrabbit","Dream Cave","Cloud Control",2013-09-16,223160,0,false,5forty,2013-09-15T21:27:18Z,"","Infectious",0.419,0.662,2,-5.911,1,0.0338,0.157,0.000412,0.146,0.343,125.095,4
spotify:track:3sevRGNizXOs6zmjqi9mC6,"Island Living","Dream Cave","Cloud Control",2013-09-16,215706,0,false,5forty,2013-09-15T21:27:18Z,"","Infectious",0.613,0.893,4,-7.61,0,0.0405,0.0681,0.652,0.0729,0.307,109.984,4
spotify:track:5PXfF7TIB9xgUzYtO1g3Zo,"The Smoke, The Feeling","Dream Cave","Cloud Control",2013-09-16,275933,0,false,5forty,2013-09-15T21:27:18Z,"","Infectious",0.413,0.737,0,-7.563,1,0.0378,0.0118,0.000401,0.0996,0.406,127.892,4
spotify:track:0r3O1nRWho9RWu0NswTY98,"Scar","Dream Cave","Cloud Control",2013-09-16,223840,0,false,5forty,2013-09-15T21:27:18Z,"","Infectious",0.556,0.665,9,-6.406,0,0.0258,0.054,0.0000205,0.0485,0.385,98.003,4
spotify:track:4sMUfp1U8P3x5ky1fLU6Kn,"Happy Birthday","Dream Cave","Cloud Control",2013-09-16,189053,0,false,5forty,2013-09-15T21:27:18Z,"","Infectious",0.589,0.876,0,-6.758,1,0.0337,0.0159,0.00026,0.289,0.924,138.002,4
spotify:track:3qzMsEYrjayghXLrpKyVxd,"Ice Age Heatwave","Dream Cave","Cloud Control",2013-09-16,240706,0,false,5forty,2013-09-15T21:27:18Z,"","Infectious",0.522,0.709,2,-6.591,1,0.0365,0.00776,0.0159,0.129,0.524,122.065,4
spotify:track:7m4fqXn5qdvVXEoOTBkTnp,"Tombstone","Dream Cave","Cloud Control",2013-09-16,365360,0,false,5forty,2013-09-15T21:27:18Z,"","Infectious",0.365,0.487,7,-11.705,0,0.0372,0.304,0.501,0.502,0.208,82.518,4
spotify:track:6bTwuXrnjajkFo0kqIL4P1,"Dream Cave","Dream Cave","Cloud Control",2013-09-16,368737,0,false,5forty,2013-09-15T21:27:18Z,"","Infectious",0.194,0.403,11,-15.224,0,0.0697,0.598,0.75,0.184,0.297,179.142,3
