Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:614HWQPiogIGPlunTaQ0lj,"Understand At All","Cloud Nothings","Cloud Nothings",2011-01-24,154600,0,false,,2011-09-24T13:46:16Z,"indie punk,garage rock,noise rock","Cloud Nothings",0.539,0.869,11,-3.829,1,0.0301,0.00818,0.886,0.365,0.869,99.98,4
spotify:track:7rHc7wYFEAF5REyG47BA2c,"Should Have","Cloud Nothings","Cloud Nothings",2011-01-24,189346,0,false,,2011-09-24T13:46:16Z,"indie punk,garage rock,noise rock","Cloud Nothings",0.415,0.856,9,-4.38,0,0.0378,0.0000534,0.00645,0.273,0.76,100.03,4
spotify:track:70cBpS4d7ym0aflJp8qHsK,"Forget You All The Time","Cloud Nothings","Cloud Nothings",2011-01-24,176760,0,false,,2011-09-24T13:46:16Z,"indie punk,garage rock,noise rock","Cloud Nothings",0.47,0.953,0,-4.798,1,0.0367,0.1,0.865,0.231,0.926,124.829,4
spotify:track:2lnqL7QoTmJmkxVney3xlR,"Not Important","Cloud Nothings","Cloud Nothings",2011-01-24,150640,0,false,,2011-09-24T13:46:16Z,"indie punk,garage rock,noise rock","Cloud Nothings",0.203,0.909,11,-2.657,1,0.104,0.00107,0.000627,0.695,0.805,109.889,4
spotify:track:7EskngJPRtJWa9lAY7myBP,"Nothing's Wrong","Cloud Nothings","Cloud Nothings",2011-01-24,162933,0,false,,2011-09-24T13:46:16Z,"indie punk,garage rock,noise rock","Cloud Nothings",0.584,0.913,1,-4.62,1,0.0427,0.182,0.452,0.295,0.966,109.996,4
spotify:track:6LCvdkXKUawUA8nZUwRuax,"Heartbeat","Cloud Nothings","Cloud Nothings",2011-01-24,69280,0,false,,2011-09-24T13:46:16Z,"indie punk,garage rock,noise rock","Cloud Nothings",0.552,0.884,6,-3.622,1,0.0356,0.0401,0.000845,0.26,0.977,112.396,4
spotify:track:2bNkiOI2D48ZuiGGbxoaYi,"Hey Cool Kid","Hey Cool Kid","Cloud Nothings",2010-10-18,195186,0,false,,2011-09-24T13:46:16Z,"indie punk,garage rock,noise rock","Cloud Nothings",0.417,0.684,1,-9.302,0,0.0339,0.214,0.982,0.18,0.734,120.086,4
spotify:track:3wVx6tap78waKuY0jFGQSa,"Rock","Cloud Nothings","Cloud Nothings",2011-01-24,102320,0,false,,2011-09-24T13:46:16Z,"indie punk,garage rock,noise rock","Cloud Nothings",0.5,0.874,4,-3.525,1,0.0332,0.00215,0.225,0.197,0.943,117.647,4
spotify:track:1mII005YqIq0sUNODwI8Dz,"You're Not That Good At Anything","Cloud Nothings","Cloud Nothings",2011-01-24,156533,0,false,,2011-09-24T13:46:16Z,"indie punk,garage rock,noise rock","Cloud Nothings",0.476,0.872,7,-4.567,1,0.03,0.0000276,0.184,0.0842,0.903,112.558,4
spotify:track:3bWY9GJkLzt7XGji1fXdyh,"Been Through","Cloud Nothings","Cloud Nothings",2011-01-24,206480,0,false,,2011-09-24T13:46:16Z,"indie punk,garage rock,noise rock","Cloud Nothings",0.392,0.751,9,-4.243,1,0.0328,0.0000418,0.354,0.133,0.692,109.981,4
spotify:track:3c7pvFUrLUWDpgQwa0jYxS,"All The Time","Cloud Nothings","Cloud Nothings",2011-01-24,189813,0,false,,2011-09-24T13:46:16Z,"indie punk,garage rock,noise rock","Cloud Nothings",0.541,0.749,0,-4.837,1,0.027,0.00173,0.377,0.248,0.724,109.974,4
spotify:track:5VYZSwY2uLuzFES25dsPhJ,"On The Radio","Cloud Nothings","Cloud Nothings",2011-01-24,126040,0,false,,2011-09-24T13:46:16Z,"indie punk,garage rock,noise rock","Cloud Nothings",0.579,0.861,4,-3.922,1,0.0306,0.109,0.00204,0.402,0.966,117.563,4
