Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1dL6m4y5lQcyiroHvsdhY7,"Understand At All","Cloud Nothings","Cloud Nothings",2011,154600,0,false,5forty,2016-10-20T22:08:37Z,"indie punk,garage rock,noise rock","Wichita Recordings",0.52,0.86,11,-3.873,1,0.037,0.00934,0.875,0.264,0.842,99.835,4
spotify:track:7zQxtfSxTIm5QcMUSJX1jg,"Not Important","Cloud Nothings","Cloud Nothings",2011,150640,0,false,5forty,2016-10-20T22:08:37Z,"indie punk,garage rock,noise rock","Wichita Recordings",0.417,0.91,11,-2.666,1,0.0627,0.000672,0.00252,0.71,0.81,109.855,4
spotify:track:5krTC0xssICsTnMwrimSA2,"Should Have","Cloud Nothings","Cloud Nothings",2011,189346,0,false,5forty,2016-10-20T22:08:37Z,"indie punk,garage rock,noise rock","Wichita Recordings",0.412,0.863,9,-4.364,0,0.0388,0.0000499,0.00621,0.245,0.696,100.031,4
spotify:track:1YqGzI6cjXZHJyhfGiWYka,"Forget You All The Time","Cloud Nothings","Cloud Nothings",2011,176760,0,false,5forty,2016-10-20T22:08:37Z,"indie punk,garage rock,noise rock","Wichita Recordings",0.465,0.95,0,-4.82,1,0.0356,0.108,0.863,0.219,0.922,124.881,4
spotify:track:6XE6IguESoZtYAXjKkyR8A,"Nothing's Wrong","Cloud Nothings","Cloud Nothings",2011,162933,0,false,5forty,2016-10-20T22:08:37Z,"indie punk,garage rock,noise rock","Wichita Recordings",0.584,0.906,5,-4.69,0,0.0452,0.176,0.314,0.282,0.962,109.99,4
spotify:track:0qbOH3NMxI8IQgbJCIFVJw,"Heartbeat","Cloud Nothings","Cloud Nothings",2011,70320,0,false,5forty,2016-10-20T22:08:37Z,"indie punk,garage rock,noise rock","Wichita Recordings",0.548,0.906,6,-3.646,1,0.0356,0.0362,0.000602,0.111,0.979,112.322,4
spotify:track:0LwOPzSMGaM0NxNT6lo8ek,"Rock","Cloud Nothings","Cloud Nothings",2011,102320,0,false,5forty,2016-10-20T22:08:37Z,"indie punk,garage rock,noise rock","Wichita Recordings",0.501,0.875,4,-3.552,1,0.0331,0.00247,0.34,0.202,0.908,117.647,4
spotify:track:6caEOlZt5XlG9NfZGv3M1e,"You're Not That Good At Anything","Cloud Nothings","Cloud Nothings",2011,156533,0,false,5forty,2016-10-20T22:08:37Z,"indie punk,garage rock,noise rock","Wichita Recordings",0.475,0.877,7,-4.494,1,0.03,0.0000158,0.133,0.103,0.902,112.555,4
spotify:track:6FDRCOVwaWNvZJauzUHRYH,"Been Through","Cloud Nothings","Cloud Nothings",2011,206480,0,false,5forty,2016-10-20T22:08:37Z,"indie punk,garage rock,noise rock","Wichita Recordings",0.394,0.749,9,-4.218,1,0.0331,0.0000497,0.416,0.135,0.724,109.978,4
spotify:track:56BIuDYnKowKS8oKYIaT0T,"On The Radio","Cloud Nothings","Cloud Nothings",2011,127413,0,false,5forty,2016-10-20T22:08:37Z,"indie punk,garage rock,noise rock","Wichita Recordings",0.576,0.851,4,-3.928,1,0.0307,0.0957,0.00436,0.333,0.966,117.557,4
spotify:track:3olfoutZSAm4ZWp2xAaF4Y,"All The Time","Cloud Nothings","Cloud Nothings",2011,189813,0,false,5forty,2016-10-20T22:08:37Z,"indie punk,garage rock,noise rock","Wichita Recordings",0.542,0.741,0,-4.872,1,0.0274,0.00248,0.343,0.154,0.691,109.955,4
