Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6sVQNUvcVFTXvlk3ec0ngd,"Cherry-coloured Funk","Heaven Or Las Vegas (Remastered)","Cocteau Twins",1990-09-17,192466,0,false,,2011-09-08T08:21:31Z,"dream pop,shoegaze,gothic rock","4AD",0.377,0.65,2,-5.902,1,0.029,0.00174,0.0000575,0.107,0.365,180.074,4
spotify:track:3BJqEsMJ6gxMRNBr6DJAq8,"Pitch the Baby","Heaven Or Las Vegas (Remastered)","Cocteau Twins",1990-09-17,194080,0,false,,2011-09-08T08:21:31Z,"dream pop,shoegaze,gothic rock","4AD",0.48,0.827,7,-6.712,0,0.0414,0.445,0.341,0.56,0.974,178.136,4
spotify:track:30jhMcnxqJYq3Q4G5KDfJN,"Iceblink Luck","Heaven Or Las Vegas (Remastered)","Cocteau Twins",1990-09-17,198666,0,false,,2011-09-08T08:21:31Z,"dream pop,shoegaze,gothic rock","4AD",0.395,0.807,9,-5.689,1,0.0349,0.0000611,0.0121,0.321,0.458,102.018,4
spotify:track:502mpBRHf3IluC4xxr4xCY,"Fifty-fifty Clown","Heaven Or Las Vegas (Remastered)","Cocteau Twins",1990-09-17,190213,0,false,,2011-09-08T08:21:31Z,"dream pop,shoegaze,gothic rock","4AD",0.485,0.7,0,-7.403,0,0.0272,0.0463,0.109,0.111,0.393,180.119,3
spotify:track:1bwXRScnt3k6vSyVqcKyNj,"Heaven Or Las Vegas","Heaven Or Las Vegas (Remastered)","Cocteau Twins",1990-09-17,298400,0,false,,2011-09-08T08:21:31Z,"dream pop,shoegaze,gothic rock","4AD",0.215,0.801,7,-5.46,1,0.0379,0.0000884,0.00725,0.0808,0.401,180.09,4
spotify:track:6DDE4fA7w6h8JFHXaV6g7a,"I Wear Your Ring","Heaven Or Las Vegas (Remastered)","Cocteau Twins",1990-09-17,209346,0,false,,2011-09-08T08:21:31Z,"dream pop,shoegaze,gothic rock","4AD",0.452,0.844,2,-5.515,0,0.0293,0.123,0.00143,0.145,0.578,140.027,4
spotify:track:6J4bppdecmPHNCMKOVUCcM,"Fotzepolitic","Heaven Or Las Vegas (Remastered)","Cocteau Twins",1990-09-17,210933,0,false,,2011-09-08T08:21:31Z,"dream pop,shoegaze,gothic rock","4AD",0.263,0.719,7,-7.239,1,0.0422,0.0000168,0.383,0.113,0.141,66.667,4
spotify:track:6KoY9LSh2CikzGMCH3jrVY,"Wolf in the Breast","Heaven Or Las Vegas (Remastered)","Cocteau Twins",1990-09-17,211200,0,false,,2011-09-08T08:21:31Z,"dream pop,shoegaze,gothic rock","4AD",0.532,0.778,9,-4.55,1,0.0324,0.0178,0.000012,0.0847,0.728,113.069,4
spotify:track:5PDFN8tr4cdt9YHddNUXbg,"Road, River and Rail","Heaven Or Las Vegas (Remastered)","Cocteau Twins",1990-09-17,201146,0,false,,2011-09-08T08:21:31Z,"dream pop,shoegaze,gothic rock","4AD",0.365,0.647,0,-5.477,1,0.0297,0.000162,0.278,0.0961,0.351,95.094,3
spotify:track:48nnle9pyE1avnDOR8AZ9S,"Frou-frou Foxes in Midsummer Fires","Heaven Or Las Vegas (Remastered)","Cocteau Twins",1990-09-17,338053,0,false,,2011-09-08T08:21:31Z,"dream pop,shoegaze,gothic rock","4AD",0.402,0.617,10,-6.016,1,0.0269,0.00818,0.000251,0.215,0.229,160.046,4
