Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0V8jGgK39sLsj2yAHHPigU,"Go Outside","Cults","Cults",2011-05-23,203066,49,false,,2011-08-04T15:32:07Z,"","ITNO/Columbia",0.366,0.704,2,-6.758,1,0.0326,0.122,0.939,0.345,0.495,77.473,4
spotify:track:7yAji4t1cAxthnsE3WcsIc,"Abducted","Cults","Cults",2011-05-23,172200,38,false,,2011-08-04T15:32:07Z,"","ITNO/Columbia",0.37,0.937,9,-3.888,1,0.0817,0.00684,0.0224,0.203,0.335,149.866,4
spotify:track:7qGDHuDnjLdGtM787CgKYK,"You Know What I Mean","Cults","Cults",2011-05-23,150373,46,false,,2011-08-04T15:32:07Z,"","ITNO/Columbia",0.275,0.575,11,-6.085,1,0.031,0.000988,0,0.0791,0.313,180.016,3
spotify:track:6cG3kCfXt4xUm1tTEio958,"Most Wanted","Cults","Cults",2011-05-23,183600,30,false,,2011-08-04T15:32:07Z,"","ITNO/Columbia",0.654,0.639,0,-4.664,1,0.0265,0.0383,0.0000153,0.848,0.684,114.942,4
spotify:track:7gkCeRdDXupvyMeFSCqwzf,"Walk At Night","Cults","Cults",2011-05-23,186373,25,false,,2011-08-04T15:32:07Z,"","ITNO/Columbia",0.629,0.763,2,-5.945,1,0.0303,0.149,0.00329,0.152,0.85,118.991,4
spotify:track:7D9nXqyXTqvP01ZqUrt2uA,"Oh My God","Cults","Cults",2011-05-23,199000,29,false,,2011-08-04T15:32:07Z,"","ITNO/Columbia",0.404,0.958,10,-3.192,1,0.0499,0.0000346,0.00000363,0.362,0.859,159.977,4
spotify:track:4HQq8jyGdfRnsIlo5kN69R,"Never Heal Myself","Cults","Cults",2011-05-23,182906,32,true,,2011-08-04T15:32:07Z,"","ITNO/Columbia",0.521,0.698,6,-5.833,1,0.0295,0.000695,0,0.164,0.552,119.986,4
spotify:track:1ELJJCFOUpF210ErvhlVt8,"Never Saw The Point","Cults","Cults",2011-05-23,182160,42,false,,2011-08-04T15:32:07Z,"","ITNO/Columbia",0.521,0.851,2,-3.235,1,0.0336,0.0559,0,0.267,0.828,130.032,4
spotify:track:2d2slsrzuaNtBd92W5XKjl,"Bumper","Cults","Cults",2011-05-23,159533,31,false,,2011-08-04T15:32:07Z,"","ITNO/Columbia",0.648,0.91,1,-3.651,1,0.0329,0.0192,0.00174,0.183,0.846,126.007,4
spotify:track:1caFMoQlQyF5JHvfPNe49E,"Bad Things","Cults","Cults",2011-05-23,218560,55,false,,2011-08-04T15:32:07Z,"","ITNO/Columbia",0.289,0.731,1,-6.866,0,0.0554,0.374,0.316,0.292,0.289,113.618,4
spotify:track:6HSg5UV8pZN0G5QhGKWjlP,"Rave On","Cults","Cults",2011-05-23,172360,21,false,,2011-08-04T15:32:07Z,"","ITNO/Columbia",0.432,0.56,9,-5.342,1,0.0336,0.0454,0.00974,0.0866,0.133,115.211,4
