Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7j1HHsO1xU6yfXEFx7OlLV,"Cursing the Sea","Cursing the Sea","September Girls",2013,114200,1,false,5forty,2014-01-10T01:17:53Z,"celtic punk","Fortuna POP!",0.207,0.671,7,-5.715,1,0.0426,0.0000116,0.751,0.197,0.67,156.145,4
spotify:track:5dwAsxyMHLaNBVJVQcbpnJ,"Another Love Song","Cursing the Sea","September Girls",2013,212502,1,false,5forty,2014-01-10T01:17:53Z,"celtic punk","Fortuna POP!",0.201,0.696,11,-4.791,0,0.0405,0.00000245,0.876,0.177,0.453,136.814,4
spotify:track:0t930IRmqgET9h3Y0f9dfr,"Left Behind","Cursing the Sea","September Girls",2013,205079,0,false,5forty,2014-01-10T01:17:53Z,"celtic punk","Fortuna POP!",0.218,0.907,2,-4.718,0,0.0487,0.000002,0.865,0.154,0.499,74.455,4
spotify:track:3AQLKPiRbSFbhDTXwankc3,"Heartbeats","Cursing the Sea","September Girls",2013,165693,1,false,5forty,2014-01-10T01:17:53Z,"celtic punk","Fortuna POP!",0.339,0.823,11,-6.942,1,0.0343,0.00361,0.931,0.274,0.672,146.778,4
spotify:track:4aCfgV8guKufM2DEN8Cr7B,"Green Eyed","Cursing the Sea","September Girls",2013,172839,2,false,5forty,2014-01-10T01:17:54Z,"celtic punk","Fortuna POP!",0.29,0.878,5,-4.458,1,0.0418,0.0000422,0.92,0.116,0.577,142.376,4
spotify:track:24ytZ1EFAkZptOU5NUMNML,"Ships","Cursing the Sea","September Girls",2013,223254,2,false,5forty,2014-01-10T01:17:54Z,"celtic punk","Fortuna POP!",0.323,0.779,0,-6.486,1,0.045,0.00144,0.799,0.215,0.506,146.388,4
spotify:track:3FBIolqF6s71DPH3C5S5xe,"Talking","Cursing the Sea","September Girls",2013,147400,0,false,5forty,2014-01-10T01:17:54Z,"celtic punk","Fortuna POP!",0.269,0.873,4,-4.539,1,0.0615,0.0000012,0.92,0.0911,0.684,151.517,4
spotify:track:5ur8H7sEBQw8eMAIdwwiob,"Daylight","Cursing the Sea","September Girls",2013,178118,0,false,5forty,2014-01-10T01:17:54Z,"celtic punk","Fortuna POP!",0.252,0.84,2,-2.828,1,0.0563,0.0241,0.851,0.0937,0.259,131.989,4
spotify:track:7e0hHcYMtlFA41WYZEesk3,"Money","Cursing the Sea","September Girls",2013,177239,0,false,5forty,2014-01-10T01:17:54Z,"celtic punk","Fortuna POP!",0.306,0.758,2,-4.989,1,0.0555,0.000166,0.907,0.124,0.497,127.87,4
spotify:track:0hiYI6MkQbTr7hhe9DQnAb,"Someone New","Cursing the Sea","September Girls",2013,141807,0,false,5forty,2014-01-10T01:17:54Z,"celtic punk","Fortuna POP!",0.167,0.891,5,-5.683,1,0.0594,0.00000786,0.965,0.173,0.335,158.956,4
spotify:track:5FWvy9OVjcqoYGTNWWrabe,"Secret Lovers","Cursing the Sea","September Girls",2013,257414,0,false,5forty,2014-01-10T01:17:54Z,"celtic punk","Fortuna POP!",0.431,0.939,0,-6.458,1,0.131,0.271,0.79,0.109,0.229,127.926,4
spotify:track:0AhRgJHMtm5jGEN4nETZTl,"Sister","Cursing the Sea","September Girls",2013,248127,0,false,5forty,2014-01-10T01:17:55Z,"celtic punk","Fortuna POP!",0.195,0.946,0,-6.243,1,0.114,0.00186,0.871,0.0741,0.127,132.824,4
