Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1P24YjFCAbATJ0lY35OFt3,"Statement Of Intent","Statement Of Intent","DJ Format",2012-02-27,198250,3,true,5forty,2013-03-13T21:15:24Z,"breakbeat","Project Blue Book",0.747,0.957,6,-11.052,0,0.0672,0.0938,0.00000735,0.401,0.345,95.952,4
spotify:track:18nDKm7YUDgPizmAxToLpi,"Spaceship Earth","Statement Of Intent","DJ Format",2012-02-27,178776,5,false,5forty,2013-03-13T21:15:24Z,"breakbeat","Project Blue Book",0.726,0.615,5,-10.411,1,0.0318,0.0323,0.00336,0.376,0.539,139.035,4
spotify:track:3WvRVOelYgyaa9qhLb7Mef,"Copper Canyons","Statement Of Intent","DJ Format",2012-02-27,243547,6,false,5forty,2013-03-13T21:15:24Z,"breakbeat","Project Blue Book",0.705,0.443,9,-8.768,0,0.0455,0.0573,0.938,0.18,0.21,74.995,4
spotify:track:4ik5diaW33qfKVRuKDCBYw,"Beyond Disco","Statement Of Intent","DJ Format",2012-02-27,206779,2,false,5forty,2013-03-13T21:15:24Z,"breakbeat","Project Blue Book",0.831,0.875,10,-11.523,0,0.0533,0.00908,0.623,0.0298,0.594,117.02,4
spotify:track:2yCXY43OU7BrpWMR5AsqAt,"A Quick Ego Trip","Statement Of Intent","DJ Format",2012-02-27,113731,3,false,5forty,2013-03-13T21:15:24Z,"breakbeat","Project Blue Book",0.789,0.686,6,-12.111,0,0.347,0.00712,0,0.417,0.787,170.335,4
spotify:track:52LgJgvB0cnDzdjG5qxQwN,"Dope Pusher","Statement Of Intent","DJ Format",2012-02-27,212869,2,false,5forty,2013-03-13T21:15:24Z,"breakbeat","Project Blue Book",0.838,0.879,0,-9.541,1,0.11,0.0417,0.0000294,0.0435,0.651,96.041,4
spotify:track:2ZcSEQl34HeaETAcrY8cgm,"Battle Of The Planets","Statement Of Intent","DJ Format",2012-02-27,211488,2,false,5forty,2013-03-13T21:15:24Z,"breakbeat","Project Blue Book",0.398,0.964,10,-9.44,0,0.0561,0.000983,0.775,0.321,0.92,120.031,4
spotify:track:7ss1cCChHbMy5aB1phzfIY,"Terror","Statement Of Intent","DJ Format",2012-02-27,180331,3,true,5forty,2013-03-13T21:15:24Z,"breakbeat","Project Blue Book",0.839,0.824,2,-10.75,1,0.168,0.232,0,0.111,0.695,103.988,4
spotify:track:448WsCLc8Q4Ph6zk6WoAvm,"Notes In Quotation","Statement Of Intent","DJ Format",2012-02-27,251332,4,false,5forty,2013-03-13T21:15:24Z,"breakbeat","Project Blue Book",0.68,0.241,0,-13.935,1,0.072,0.0637,0.0702,0.555,0.471,140.499,4
spotify:track:49HphCKziRfAzJUMPNSfja,"Live At The Place To Be","Statement Of Intent","DJ Format",2012-02-27,248609,1,false,5forty,2013-03-13T21:15:24Z,"breakbeat","Project Blue Book",0.805,0.816,10,-12.698,0,0.0676,0.713,0.00000766,0.154,0.892,97.995,4
spotify:track:2Z6IivOkEyQvfGO3IzMQIk,"Horse Power","Statement Of Intent","DJ Format",2012-02-27,231136,7,false,5forty,2013-03-13T21:15:24Z,"breakbeat","Project Blue Book",0.776,0.847,5,-9.703,1,0.0402,0.0222,0.809,0.13,0.88,132.043,4
spotify:track:6pDh91iKtWpc8H6X30l8EH,"Mayor Of A Ghost Town","Statement Of Intent","DJ Format",2012-02-27,271336,1,false,5forty,2013-03-13T21:15:24Z,"breakbeat","Project Blue Book",0.569,0.532,8,-13.114,1,0.0317,0.0104,0.00381,0.289,0.368,81.009,4
spotify:track:38XiD8uD5UwIRjGHDGzLd5,"Remember..","Statement Of Intent","DJ Format",2012-02-27,216044,1,true,5forty,2013-03-13T21:15:24Z,"breakbeat","Project Blue Book",0.429,0.724,10,-9.316,1,0.13,0.252,0,0.0764,0.748,169.945,4
spotify:track:3tNU0r5bxpmKZiufDd2Rl7,"Mr DJ","Statement Of Intent","DJ Format",2012-02-27,255130,2,false,5forty,2013-03-13T21:15:24Z,"breakbeat","Project Blue Book",0.725,0.863,5,-8.756,0,0.104,0.0966,0,0.0641,0.769,90.021,4
spotify:track:0Sr0GUT2tseYZgC07qgkE9,"The Long Goodbye","Statement Of Intent","DJ Format",2012-02-27,251821,2,false,5forty,2013-03-13T21:15:24Z,"breakbeat","Project Blue Book",0.384,0.417,0,-12.964,0,0.0295,0.0371,0.562,0.163,0.399,96.923,4
