Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4uRHaUn2btiPeatoVmjG0x,"Track ID Anyone? (feat. Caribou)","Amygdala","DJ Koze",2013-03-22,303293,0,false,5forty,2013-06-13T03:08:13Z,"","Pampa Records",0.713,0.391,0,-13.985,1,0.0418,0.218,0.405,0.197,0.425,117.965,4
spotify:track:3t7ubv3jEoV1twd5DJPwAJ,"Nices Wölkchen (feat. Apparat)","Amygdala","DJ Koze",2013-03-22,331093,0,false,5forty,2013-06-13T03:08:13Z,"","Pampa Records",0.7,0.387,1,-12.855,1,0.0566,0.24,0.891,0.219,0.165,120.008,4
spotify:track:3s7IWDMwNB4ziL5iE0j8ue,"Royal Asscher Cut","Amygdala","DJ Koze",2013-03-22,440573,0,false,5forty,2013-06-13T03:08:13Z,"","Pampa Records",0.684,0.552,6,-16.182,1,0.046,0.0279,0.703,0.185,0.404,117.999,3
spotify:track:0KpickeO7Yk5xufetXpM5j,"Magical Boy (feat. Matthew Dear)","Amygdala","DJ Koze",2013-03-22,436493,0,false,5forty,2013-06-13T03:08:13Z,"","Pampa Records",0.718,0.597,1,-13.445,0,0.0535,0.083,0.465,0.108,0.152,117.962,4
spotify:track:4QMkjHdOj6WOYMSGbjjztB,"Das Wort (feat. Dirk von Lowtzow)","Amygdala","DJ Koze",2013-03-22,392533,0,false,5forty,2013-06-13T03:08:13Z,"","Pampa Records",0.63,0.301,8,-10.938,1,0.0257,0.0161,0.237,0.103,0.23,88.012,4
spotify:track:3P0fJLML3XtOU51S3VW8Ct,"Homesick (feat. Ada)","Amygdala","DJ Koze",2013-03-22,251560,0,false,5forty,2013-06-13T03:08:13Z,"","Pampa Records",0.793,0.456,5,-10.302,1,0.264,0.112,0.000416,0.311,0.602,97.008,4
spotify:track:5FmN7miPL8EzrBrG0nawye,"La Duquesa","Amygdala","DJ Koze",2013-03-22,597466,0,false,5forty,2013-06-13T03:08:13Z,"","Pampa Records",0.816,0.393,0,-13.66,1,0.0687,0.00469,0.918,0.0784,0.242,122.002,4
spotify:track:1OU58eApBroFDsp2olXivj,"Marilyn Whirlwind","Amygdala","DJ Koze",2013-03-22,432160,0,false,5forty,2013-06-13T03:08:13Z,"","Pampa Records",0.864,0.523,6,-10.279,0,0.168,0.292,0.837,0.104,0.406,112.008,4
spotify:track:5Bv6fWEpNFXiK0KbvPvT7k,"My Plans (feat. Matthew Dear)","Amygdala","DJ Koze",2013-03-22,258426,0,false,5forty,2013-06-13T03:08:13Z,"","Pampa Records",0.671,0.546,8,-11.119,0,0.0646,0.058,0,0.171,0.796,97.032,4
spotify:track:79Df7IyWg6d1zNlT2PtinG,"Don't Lose My Mind","Amygdala","DJ Koze",2013-03-22,275853,0,false,5forty,2013-06-13T03:08:13Z,"","Pampa Records",0.461,0.286,0,-14.55,1,0.0629,0.924,0.906,0.0783,0.337,80.274,5
spotify:track:5E7ibRLWlgAQCJy9ObMrMo,"Amygdala (feat. Milosh)","Amygdala","DJ Koze",2013-03-22,311548,0,false,5forty,2013-06-13T03:08:13Z,"","Pampa Records",0.683,0.464,7,-16.795,0,0.0385,0.117,0.88,0.115,0.176,120.014,4
spotify:track:5z1MFUpV87oPXlGOLSbSEF,"Ich schreib' dir ein Buch 2013","Amygdala","DJ Koze vs. Hildegard Knef",2013-03-22,328546,0,false,5forty,2013-06-13T03:08:13Z,"","Pampa Records",0.663,0.597,7,-10.126,1,0.0453,0.000282,0.00144,0.111,0.212,117.977,4
spotify:track:4Xecyg8bP8aIZuhkTzLtmq,"NooOoo (feat. Tomerle & Maiko)","Amygdala","DJ Koze",2013-03-22,299910,0,false,5forty,2013-06-13T03:08:13Z,"","Pampa Records",0.432,0.122,2,-16.725,1,0.0308,0.647,0.709,0.153,0.286,106.878,4
