Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3Sb3FlaHxs5UYVukCy5oNW,"Feelin","Double Cup","DJ Rashad;Spinn;Taso",2013-10-22,270813,0,false,5forty,2020-06-11T11:09:07Z,"footwork,chicago house,miami bass,baltimore club,g-house,drumstep","Hyperdub",0.269,0.82,9,-7.54,1,0.0909,0.00011,0.737,0.329,0.13,159.772,4
spotify:track:4geAETokDAt7JmZxOhAT5w,"Show U How","Double Cup","DJ Rashad;Spinn",2013-10-22,207466,0,false,5forty,2020-06-11T11:09:13Z,"footwork,chicago house,miami bass,baltimore club,g-house","Hyperdub",0.61,0.572,6,-7.008,1,0.0532,0.00287,0.573,0.305,0.269,159.983,4
spotify:track:2wXY4tEe8OkDkstmHPS4cA,"Pass That Shit","Double Cup","DJ Rashad;Spinn;Taso",2013-10-22,258013,0,false,5forty,2020-06-11T11:09:26Z,"footwork,chicago house,miami bass,baltimore club,g-house,drumstep","Hyperdub",0.516,0.511,11,-10.032,0,0.411,0.012,0.117,0.151,0.46,117.563,4
spotify:track:3RWDJd7eh6Scfoz94sJbsX,"She a Go","Double Cup","DJ Rashad;Spinn;Taso",2013-10-22,217733,0,false,5forty,2020-06-11T11:09:32Z,"footwork,chicago house,miami bass,baltimore club,g-house,drumstep","Hyperdub",0.446,0.497,2,-7.631,1,0.193,0.00267,0.0295,0.135,0.301,119.911,4
spotify:track:4kVag2GsNbKdgizRPXLbPS,"Only One","Double Cup","DJ Rashad;DJ Spinn",2013-10-22,226120,0,false,5forty,2020-06-11T11:09:37Z,"footwork,chicago house,miami bass,baltimore club,g-house","Hyperdub",0.517,0.564,2,-8.51,1,0.1,0.102,0.189,0.118,0.276,119.544,1
spotify:track:0kFhJoBnKU7tZZ9p0OOISt,"Everyday of My Life","Double Cup","DJ Rashad;DJ Phil",2013-10-22,196013,0,false,5forty,2020-06-11T11:09:41Z,"footwork,chicago house,miami bass,baltimore club,g-house,jungle,rally house","Hyperdub",0.616,0.784,8,-4.581,1,0.328,0.0603,0.000302,0.0338,0.629,155.954,4
spotify:track:3gTcodSsnN79wvYFRN4oz8,"I Don't Give a Fuck","Double Cup","DJ Rashad",2013-10-22,157700,0,true,5forty,2020-06-11T11:09:46Z,"footwork,chicago house,miami bass,baltimore club,g-house","Hyperdub",0.634,0.78,9,-8.121,1,0.223,0.0491,0.594,0.196,0.181,119.872,1
spotify:track:2XIkHtXz6sgoayg3fESr9U,"Double Cup","Double Cup","DJ Rashad;Spinn",2013-10-22,249000,0,false,5forty,2020-06-11T11:09:53Z,"footwork,chicago house,miami bass,baltimore club,g-house","Hyperdub",0.594,0.707,7,-8.776,1,0.296,0.099,0.341,0.116,0.449,120.011,3
spotify:track:2XIkHtXz6sgoayg3fESr9U,"Double Cup","Double Cup","DJ Rashad;Spinn",2013-10-22,249000,0,false,5forty,2020-06-11T11:09:59Z,"footwork,chicago house,miami bass,baltimore club,g-house","Hyperdub",0.594,0.707,7,-8.776,1,0.296,0.099,0.341,0.116,0.449,120.011,3
spotify:track:5xFy8h9eEJUjOIXGKRE19C,"Drank, Kush, Barz","Double Cup","DJ Rashad;Spinn",2013-10-22,216560,0,false,5forty,2020-06-11T11:10:07Z,"footwork,chicago house,miami bass,baltimore club,g-house","Hyperdub",0.553,0.803,0,-5.247,1,0.0504,0.00413,0.00000352,0.144,0.381,160.116,4
spotify:track:29BqsN57q0DkAFb56AG5z9,"Reggie","Double Cup","DJ Rashad",2013-10-22,218026,0,false,5forty,2020-06-11T11:10:15Z,"footwork,chicago house,miami bass,baltimore club,g-house","Hyperdub",0.57,0.687,4,-6.212,1,0.19,0.00177,0.0000957,0.285,0.637,118.955,3
spotify:track:62qTgeNdswNbPAsY9qm8vk,"Acid Bit","Double Cup","DJ Rashad;Addison Groove",2013-10-22,205160,0,false,5forty,2020-06-11T11:10:20Z,"footwork,chicago house,miami bass,baltimore club,g-house,uk funky,breakbeat,dub techno","Hyperdub",0.797,0.755,7,-5.133,1,0.197,0.0375,0.867,0.105,0.214,160.022,4
spotify:track:1xG1KUSXUgC92PpMTFpCNJ,"Leavin","Double Cup","DJ Rashad;Manny",2013-10-22,254440,0,false,5forty,2020-06-11T11:10:25Z,"footwork,chicago house,miami bass,baltimore club,g-house","Hyperdub",0.454,0.774,7,-8.23,1,0.22,0.00135,0.015,0.0552,0.581,159.946,4
spotify:track:0Ud1WTJmc7UvZCWdYvohuQ,"Let U No","Double Cup","DJ Rashad;Spinn",2013-10-22,251066,0,false,5forty,2020-06-11T11:10:30Z,"footwork,chicago house,miami bass,baltimore club,g-house","Hyperdub",0.632,0.72,5,-8.09,0,0.152,0.0252,0.335,0.094,0.624,159.928,4
spotify:track:6V6WiV84eIdc01S6KDsAta,"I'm Too Hi","Double Cup","DJ Rashad;Earl",2013-10-22,179973,0,false,5forty,2020-06-11T11:10:35Z,"footwork,chicago house,miami bass,baltimore club,g-house,blues,classic blues","Hyperdub",0.494,0.729,10,-9.195,0,0.364,0.371,0.0218,0.536,0.169,119.923,4
