Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5W3D0mJFEqA5zKvSYCsMtJ,"Build Voice","Bromst","Dan Deacon",2009-03-23,328000,0,false,5forty,2012-10-15T02:21:44Z,"","Carpark",0.177,0.853,6,-6.504,1,0.063,0.095,0.916,0.276,0.0623,120.029,4
spotify:track:5NxZQI5ZhPBVPprkr0c98s,"Red F","Bromst","Dan Deacon",2009-03-23,278373,0,false,5forty,2012-10-15T02:21:44Z,"","Carpark",0.268,0.801,10,-5.311,0,0.0655,0.000136,0.397,0.114,0.0389,173.996,4
spotify:track:2Xl5HGF2SRNjf9j1k0cfNk,"Paddling Ghost","Bromst","Dan Deacon",2009-03-23,245866,0,false,5forty,2012-10-15T02:21:44Z,"","Carpark",0.348,0.782,1,-4.414,1,0.0392,0.0000975,0.974,0.133,0.121,180.028,4
spotify:track:5vRTyd1HPsFEHaojaaG2Ul,"Snookered","Bromst","Dan Deacon",2009-03-23,484373,0,false,5forty,2012-10-15T02:21:44Z,"","Carpark",0.545,0.962,5,-3.542,1,0.0548,0.000365,0.836,0.0986,0.146,120.037,4
spotify:track:36j7cCBdr75QBhWSNIi2mK,"Of the Mountains","Bromst","Dan Deacon",2009-03-23,436026,0,false,5forty,2012-10-15T02:21:44Z,"","Carpark",0.558,0.953,5,-5.067,1,0.0404,0.00000307,0.922,0.0784,0.376,120.005,4
spotify:track:6sXozf39AVTKG4pxTlIKLh,"Surprise Stefani","Bromst","Dan Deacon",2009-03-23,466000,0,false,5forty,2012-10-15T02:21:44Z,"","Carpark",0.324,0.902,8,-5.072,1,0.0902,0.199,0.513,0.108,0.0344,150.01,4
spotify:track:2UqyYb5VTorkLyeFgd76BB,"Wet Wings","Bromst","Dan Deacon",2009-03-23,173026,0,false,5forty,2012-10-15T02:21:44Z,"","Carpark",0.143,0.551,1,-5.213,0,0.0328,0.955,0.108,0.127,0.0392,60.4,4
spotify:track:1OOKkJAb9YMP55dJA4gsNS,"Woof Woof","Bromst","Dan Deacon",2009-03-23,284000,0,false,5forty,2012-10-15T02:21:44Z,"","Carpark",0.53,0.932,8,-3.383,1,0.0925,0.00649,0.546,0.115,0.122,119.963,4
spotify:track:3G1Ur7PqgnDwy62YmF6FKK,"Slow With Horns/ Run for Your Life","Bromst","Dan Deacon",2009-03-23,395000,0,false,5forty,2012-10-15T02:21:44Z,"","Carpark",0.385,0.572,0,-3.05,1,0.0413,0.101,0.967,0.149,0.197,102.794,4
spotify:track:49VxJ8VC6Ggcrr2yVkCrcJ,"Baltihorse","Bromst","Dan Deacon",2009-03-23,381826,0,false,5forty,2012-10-15T02:21:44Z,"","Carpark",0.476,0.801,5,-7.321,1,0.0479,0.00000711,0.935,0.291,0.196,169.937,4
spotify:track:4dn8HLCR5nAttMZS7VPXNc,"Get Older","Bromst","Dan Deacon",2009-03-23,390000,0,false,5forty,2012-10-15T02:21:44Z,"","Carpark",0.354,0.897,0,-0.78,1,0.0474,0.00619,0.836,0.444,0.0913,160.023,4
