Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4vjVTc6cqDwZJ40ILlEpEx,"The Punjaabban Song","Jugjugg Jeeyo","Tanishk Bagchi;Gippy Grewal;Zahrah S Khan;Romy;Abrar Ul Haq",2022-06-24,199029,43,false,1236075618,2022-08-22T01:34:34Z,"bollywood,hindi pop,desi,desi pop,gujarati garba,bhangra,punjabi pop,sufi,qawwali","T-Series",0.779,0.964,10,-2.888,0,0.0995,0.0858,0.0000146,0.676,0.613,139.241,4
spotify:track:5JhxOmG68mgLCjyKfvffr4,"Dus Bahane 2.0","Baaghi 3","Vishal-Shekhar;Vishal;Shekhar Ravjiani;KK;Shaan;Tulsi Kumar",2020-03-07,201655,31,false,1236075618,2020-10-01T19:41:27Z,"bollywood,desi,hindi pop,desi pop,bangla pop","T-Series",0.807,0.913,7,-5.092,1,0.0696,0.0411,0.000956,0.292,0.464,114.045,4
spotify:track:2zQeAeH3q0K7U2AWEcVOsF,"Nachan Nu Jee Karda (From ""Angrezi Medium"")","Nachan Nu Jee Karda (From ""Angrezi Medium"")","Romy;Nikhita Gandhi;Tanishk Bagchi;Tigerstyle",2020-02-28,167946,51,false,1236075618,2021-06-09T15:40:39Z,"hindi pop,bollywood,desi,desi pop,gujarati garba,bhangra,punjabi pop","T-Series",0.932,0.902,1,-1.947,1,0.101,0.013,0.00000713,0.0638,0.653,110.007,4
spotify:track:6oloWgrErtc8dG2WiV55gn,"Sawan Mein Lag Gayi Aag","Ginny Weds Sunny (Original Motion Picture Soundtrack)","Mika Singh;Payal Dev;Neha Kakkar;Badshah",2020-09-28,226615,59,false,1236075618,2021-06-09T14:57:30Z,"bollywood,desi,hindi pop,bhajan,devotional,desi pop,gujarati garba,desi hip hop,hindi hip hop","Sony Music Entertainment India Pvt. Ltd.",0.792,0.813,0,-3.687,1,0.0513,0.388,0.0000229,0.0541,0.868,130.058,4
spotify:track:1v8H06ctqfMX8IUxU9nCaI,"","","",0000,0,0,false,1236075618,2020-03-09T19:36:19Z,"","",0.687,0.919,10,-3.28,1,0.0635,0.0939,0.00000438,0.105,0.877,145.037,4
spotify:track:0rfAhUP8j7qarbiM6AyBga,"","","",0000,0,0,false,1236075618,2021-02-18T15:26:45Z,"","",0.864,0.689,1,-7.612,1,0.0893,0.491,0,0.0883,0.787,117.962,4
spotify:track:2TbCdbFzs2xO2nzasn0Qvw,"Don't Be Shy Again (From ""Bala"")","Don't Be Shy Again (From ""Bala"")","Sachin-Jigar;Badshah;Shalmali Kholgade;Gurdeep Mehndi",2019-10-18,164159,53,false,1236075618,2020-03-10T16:39:24Z,"gujarati pop,bollywood,hindi pop,desi,gujarati garba,desi hip hop,hindi hip hop,desi pop","Sony Music Entertainment India Pvt. Ltd.",0.798,0.905,5,-3.731,0,0.0581,0.0979,0.00000422,0.307,0.905,105.005,4
spotify:track:2DWiSjL1IeBb6nE3slVpu9,"","","",0000,0,0,false,1236075618,2021-06-09T14:50:57Z,"","",0.836,0.905,8,-3.991,1,0.0358,0.002,0.00449,0.133,0.502,124.977,4
spotify:track:3ZVKI8jix6PjEFx2xFBFhz,"","","",0000,0,0,false,1236075618,2021-06-09T15:35:07Z,"","",0.759,0.899,10,-3.566,0,0.186,0.0334,0,0.104,0.589,106.968,4
spotify:track:5AUH4RKO6VAJFDL71jUBNC,"Khalaas","AK vs AK (Music from the Netflix Original Film)","Anil Kapoor;Nuka;Kaam Bhaari;Rākhis",2020-12-24,170159,0,false,1236075618,2021-01-04T00:11:19Z,"hindi hip hop,desi hip hop","Maisie Music Publishing, LLC",0.735,0.87,1,-7.586,1,0.383,0.119,0.00124,0.674,0.824,170.191,4
spotify:track:3Eb4VbsbXMpS5Mk9HWTDia,"","","",0000,0,0,false,1236075618,2020-03-10T02:57:51Z,"","",0.809,0.873,6,-2.455,0,0.0556,0.00612,0.00000907,0.0732,0.34,100.013,4
spotify:track:5fXslGZPI5Cco6PKHzlSL3,"Illegal Weapon 2.0 (From ""Street Dancer 3D"")","Illegal Weapon 2.0 (From ""Street Dancer 3D"")","Jasmine Sandlas;Garry Sandhu;Tanishk Bagchi;Intense",2020-01-04,188606,65,false,1236075618,2020-06-11T15:20:43Z,"bhangra,punjabi pop,desi,bollywood,hindi pop,desi pop,gujarati garba,punjabi hip hop","T-Series",0.805,0.919,1,-1.294,1,0.0938,0.101,0.00343,0.0598,0.494,94.993,4
spotify:track:7yy3HgKJEcwArL5k0v5rhF,"Crazy Habibi Vs Decent Munda (From ""Arjun Patiala"")","Crazy Habibi Vs Decent Munda (From ""Arjun Patiala"")","Guru Randhawa;Benny Dayal;Sachin-Jigar",2019-07-03,183206,49,false,1236075618,2020-07-15T14:48:02Z,"punjabi pop,bhangra,desi,bollywood,hindi pop,desi pop,gujarati pop,gujarati garba","T-Series",0.755,0.905,5,-4.485,0,0.128,0.0812,0,0.0383,0.439,105.061,4
spotify:track:1lUskB61Guv9LkWSV9ycWe,"Sajan Bin","Bandish Bandits (Original Series Soundtrack)","Shankar-Ehsaan-Loy;Shivam Mahadevan;Jonita Gandhi",2020-07-27,194285,46,false,1236075618,2020-10-01T17:54:27Z,"bollywood,sufi,desi,hindi pop,marathi pop,tamil pop,kollywood,tamil dance","Sony Music / Amazon Sellers Services Pvt. Ltd.",0.74,0.692,2,-7.285,1,0.0368,0.124,0.0000132,0.102,0.304,125.97,4
spotify:track:0MLZAgKQKHbPsJ12qHS860,"Haan Main Galat","Love Aaj Kal (Original Motion Picture Soundtrack)","Pritam;Arijit Singh;Shashwat Singh",2020-02-14,218644,55,false,1236075618,2020-10-01T19:22:26Z,"bollywood,hindi pop,desi,bangla pop","Sony Music Entertainment India Pvt. Ltd.",0.683,0.737,0,-5.66,1,0.0502,0.125,0.0105,0.103,0.919,117.996,4
spotify:track:2UmpdlWtlXnQdlZP1KnD9S,"Bhankas","Baaghi 3","Bappi Lahiri;Dev Negi;Jonita Gandhi",2020-03-07,158467,24,false,1236075618,2020-10-01T19:52:08Z,"bollywood,bangla pop,tamil pop,kollywood,hindi pop,desi,tamil dance","T-Series",0.62,0.966,1,-3.72,1,0.334,0.469,0.00000181,0.0464,0.782,112.969,3
spotify:track:0sS9XWjcZ0FgB3QkDiVwyT,"Munna Badnaam Hua (From ""Dabangg 3"")","Munna Badnaam Hua (From ""Dabangg 3"")","Badshah;Kamaal Khan;Mamta Sharma;Sajid-Wajid",2019-11-11,246279,45,false,1236075618,2019-12-17T20:31:10Z,"bollywood,desi,desi hip hop,hindi pop,hindi hip hop,desi pop","T-Series",0.747,0.922,11,-3.694,0,0.111,0.0992,0.0000156,0.305,0.86,128.879,4
