Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7KKzbd8nN8M51mOzoNlH3k,"No Captain","Little by Little","Lane 8;POLIÇA",2018-01-19,316000,0,false,josechu6,2018-02-12T15:38:08Z,"melodic house,progressive house,deep house","This Never Happened",0.584,0.532,9,-11.357,1,0.0381,0.153,0.459,0.109,0.0455,120.005,3
spotify:track:01NpTYUGZNFJbq6Yy7KBti,"This Is What It Feels Like","Armin Only - Intense ""The Music""","Armin van Buuren;Trevor Guthrie",2014-12-07,379000,9,false,josechu6,2018-02-12T15:47:18Z,"trance,progressive trance,progressive house,electronica,edm","Armada Music Albums",0.31,0.833,7,-6.119,1,0.0479,0.0392,0.151,0.984,0.0704,131.871,4
spotify:track:0JaDuCGMTO9bot2UvwqIbk,"Unforgettable - Alle Farben Remix; Extended Version","Unforgettable (The Remixes)","Robin Schulz;Marc Scibilia;Alle Farben",2018-03-02,322952,9,false,josechu6,2018-03-20T11:59:33Z,"tropical house","WM Germany",0.909,0.622,4,-6.503,0,0.11,0.0272,0.109,0.118,0.722,119.985,4
spotify:track:4QcDkuGQx9824a6X9BZF4e,"Places","Places","Martin Solveig;Ina Wroldsen",2016-11-25,202745,61,false,josechu6,2018-04-04T15:24:10Z,"french house,norwegian pop","EMI",0.728,0.854,0,-3.86,0,0.0457,0.248,0.00188,0.149,0.62,121.995,4
spotify:track:6mjN72fXeZwLkCDG7rHH3N,"After Earth - Edit","Morning Falls EP","Ben Böhmer",2018-01-05,238406,58,false,josechu6,2018-04-12T07:48:30Z,"melodic house,melodic techno,progressive house,deep house","Anjunadeep",0.595,0.54,5,-10.477,1,0.0347,0.0367,0.903,0.122,0.226,123,4
spotify:track:7ef4DlsgrMEH11cDZd32M6,"One Kiss (with Dua Lipa)","One Kiss (with Dua Lipa)","Calvin Harris;Dua Lipa",2018-04-06,214846,80,false,josechu6,2018-04-19T08:51:54Z,"edm,pop","Sony Music UK",0.791,0.862,9,-3.24,0,0.11,0.037,0.0000219,0.0814,0.592,123.994,4
spotify:track:4zB3mD92JSwjw23X6KTdWm,"By My Side","V","FLAK;Elisa Prida",2017-10-01,176500,0,false,josechu6,2018-05-14T16:09:30Z,"","Spinnup",0.657,0.708,6,-8.9,0,0.117,0.031,0.00000225,0.0807,0.281,99.969,4
spotify:track:5NHn7UwIgpLQls7LhwF955,"House Of Cards (feat. Sidnie Tipton)","House Of Cards (feat. Sidnie Tipton)","KSHMR;Sidnie Tipton",2018-02-16,188651,32,false,josechu6,2018-05-28T12:46:44Z,"big room,edm,slap house,electronica","Dharma",0.556,0.817,9,-4.442,0,0.0737,0.0195,0.0000245,0.266,0.423,109.999,4
spotify:track:6YUTL4dYpB9xZO5qExPf05,"Summer","Motion","Calvin Harris",2014-10-31,222533,84,false,josechu6,2018-06-08T16:10:36Z,"edm","Columbia",0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,4
spotify:track:1kuvKSHnnh79jQ78cVJebV,"LoMe (WYM216)","Wake Your Mind Radio 216","Sound Quelle",2018-05-28,199750,0,false,josechu6,2018-06-11T10:28:48Z,"progressive house,melodic house,organic house,deep house,progressive trance","Wake Your Mind Records",0.602,0.703,2,-7.885,0,0.0681,0.00197,0.0000134,0.473,0.173,114.851,4
