Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:56fSSLtEqFffB0Tq8wn2fP,"Water Jump","Drone Logic","Daniel Avery",2013-10-04,509680,0,false,5forty,2013-10-14T07:24:47Z,"idm,acid house","Because Music",0.634,0.72,7,-8.054,1,0.0431,0.00149,0.916,0.562,0.112,119.995,4
spotify:track:0FbA1IhV7pzUPFiexkARyd,"Free Floating","Drone Logic","Daniel Avery",2013-10-04,389200,0,false,5forty,2013-10-14T07:24:47Z,"idm,acid house","Because Music",0.717,0.873,6,-8.269,1,0.0512,0.0448,0.881,0.0856,0.772,121.969,4
spotify:track:0Xhx7vdMtCyNHaIiO8Vci0,"Drone Logic","Drone Logic","Daniel Avery",2013-10-04,429453,0,false,5forty,2013-10-14T07:24:47Z,"idm,acid house","Because Music",0.648,0.712,9,-7.222,1,0.0333,0.131,0.843,0.287,0.104,114.027,4
spotify:track:7HtJvqV43Uvd2DttDcY3gg,"These Nights Never End","Drone Logic","Daniel Avery",2013-10-04,346213,0,false,5forty,2013-10-14T07:24:47Z,"idm,acid house","Because Music",0.839,0.541,9,-8.92,0,0.0403,0.126,0.869,0.153,0.354,112.02,4
spotify:track:0rBKQiFMwSG2FE5a8TL2G2,"Naive Response","Drone Logic","Daniel Avery",2013-10-04,323280,0,false,5forty,2013-10-14T07:24:47Z,"idm,acid house","Because Music",0.795,0.611,0,-6.685,0,0.0414,0.314,0.91,0.109,0.301,119.989,3
spotify:track:71VtHOwaTHhUHHeBn3aw0E,"Platform Zero","Drone Logic","Daniel Avery",2013-10-04,183146,0,false,5forty,2013-10-14T07:24:47Z,"idm,acid house","Because Music",0.284,0.483,5,-22.077,0,0.0515,0.929,0.937,0.0946,0.153,120.009,3
spotify:track:06VbGIfDzEWzPODjitFErt,"Need Electric","Drone Logic","Daniel Avery",2013-10-04,369840,0,false,5forty,2013-10-14T07:24:47Z,"idm,acid house","Because Music",0.745,0.849,7,-8.213,1,0.0382,0.00199,0.886,0.0745,0.0485,121.991,4
spotify:track:15ipPIaI8CEjEOtrPxd8uK,"All I Need","Drone Logic","Daniel Avery",2013-10-04,415666,0,false,5forty,2013-10-14T07:24:47Z,"idm,acid house","Because Music",0.798,0.936,0,-5.497,1,0.0445,0.00274,0.918,0.0961,0.303,117.973,4
spotify:track:4j5wD9N0iINJazWUhtFkbI,"Spring 27","Drone Logic","Daniel Avery",2013-10-04,101053,0,false,5forty,2013-10-14T07:24:47Z,"idm,acid house","Because Music",0.258,0.162,3,-15.576,1,0.049,0.993,0.961,0.0756,0.0197,108.987,4
spotify:track:3p4iilOEs5llqXvBsTnvcS,"Simulrec","Drone Logic","Daniel Avery",2013-10-04,362080,0,false,5forty,2013-10-14T07:24:47Z,"idm,acid house","Because Music",0.682,0.523,2,-13.577,0,0.0333,0.0685,0.939,0.0989,0.433,110.005,4
spotify:track:0mCw2UsSib1McsWvzuG7wH,"New Energy - Live Through It","Drone Logic","Daniel Avery",2013-10-04,354133,0,false,5forty,2013-10-14T07:24:47Z,"idm,acid house","Because Music",0.545,0.56,2,-11.662,1,0.147,0.869,0.952,0.1,0.0727,133.96,4
spotify:track:4x9EWASjikE9ZZHl1lFQOM,"Knowing We'll Be Here","Drone Logic","Daniel Avery",2013-10-04,342853,0,false,5forty,2013-10-14T07:24:47Z,"idm,acid house","Because Music",0.776,0.473,9,-10.708,0,0.0523,0.414,0.0413,0.0807,0.737,119.988,4
