Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:781V2Y5LPtcpgONEOadadE,"Get Got","The Money Store","Death Grips",2012-04-23,171866,56,true,5forty,2015-02-19T04:24:42Z,"experimental hip hop,experimental","Epic",0.57,0.993,7,-3.757,1,0.337,0.00628,0.00796,0.0876,0.405,87,4
spotify:track:5lq6hpsabgw22xRYPHVV5c,"The Fever (Aye Aye)","The Money Store","Death Grips",2012-04-23,186973,50,true,5forty,2015-02-19T04:24:42Z,"experimental hip hop,experimental","Epic",0.432,0.94,10,-4.099,0,0.374,0.159,0,0.154,0.225,80.084,4
spotify:track:4Q3ikbp3CWt0Gp4iYDt4lV,"Lost Boys","The Money Store","Death Grips",2012-04-23,186320,45,true,5forty,2015-02-19T04:24:42Z,"experimental hip hop,experimental","Epic",0.464,0.949,2,-2.454,1,0.336,0.003,0.000113,0.0808,0.374,77.121,4
spotify:track:4mRuyccI90TUWJKP7qdYvX,"Blackjack","The Money Store","Death Grips",2012-04-23,142000,45,true,5forty,2015-02-19T04:24:42Z,"experimental hip hop,experimental","Epic",0.532,0.855,4,-3.014,0,0.301,0.259,0,0.112,0.534,136.902,4
spotify:track:5PXyH5bb5fbVfO8LjByhBb,"Hustle Bones","The Money Store","Death Grips",2012-04-23,192360,51,true,5forty,2015-02-19T04:24:42Z,"experimental hip hop,experimental","Epic",0.6,0.982,4,-2.996,0,0.201,0.104,0,0.343,0.277,110.015,4
spotify:track:7nCONy10IHp7XD3oYZ0lcx,"I've Seen Footage","The Money Store","Death Grips",2012-04-23,202853,59,true,5forty,2015-02-19T04:24:42Z,"experimental hip hop,experimental","Epic",0.603,0.944,11,-3.626,0,0.347,0.0481,0,0.342,0.418,130.035,4
spotify:track:2SWHZzjaqBuWYUUuxjdeBG,"Double Helix","The Money Store","Death Grips",2012-04-23,160093,45,true,5forty,2015-02-19T04:24:42Z,"experimental hip hop,experimental","Epic",0.539,0.872,7,-5.59,1,0.324,0.146,0,0.0968,0.474,155.255,4
spotify:track:5ZtF5IAVOaAQfVjbZav0K2,"System Blower","The Money Store","Death Grips",2012-04-23,228093,45,true,5forty,2015-02-19T04:24:42Z,"experimental hip hop,experimental","Epic",0.747,0.788,11,-3.976,0,0.3,0.0292,0,0.148,0.837,140.034,4
spotify:track:1au4OV9YwQE9rjXRY2rpqY,"The Cage","The Money Store","Death Grips",2012-04-23,211093,44,true,5forty,2015-02-19T04:24:42Z,"experimental hip hop,experimental","Epic",0.385,0.931,0,-3.931,1,0.225,0.00415,0,0.361,0.455,140.939,4
spotify:track:6Ucjy0z1uO111RCUVXqhnn,"Punk Weight","The Money Store","Death Grips",2012-04-23,204240,48,true,5forty,2015-02-19T04:24:42Z,"experimental hip hop,experimental","Epic",0.368,0.95,2,-4.521,1,0.329,0.0301,0.00000459,0.384,0.616,130.568,4
spotify:track:3VlCIYEdNORYA3OF5K0nQm,"Fuck That","The Money Store","Death Grips",2012-04-23,144866,40,true,5forty,2015-02-19T04:24:42Z,"experimental hip hop,experimental","Epic",0.56,0.945,1,-2.768,1,0.328,0.0509,0,0.344,0.344,82.657,4
spotify:track:3mH8S4DhNu27hRclkjTzl4,"Bitch Please","The Money Store","Death Grips",2012-04-23,176000,44,true,5forty,2015-02-19T04:24:42Z,"experimental hip hop,experimental","Epic",0.441,0.799,11,-3.407,0,0.192,0.0166,0,0.0633,0.456,116.21,4
spotify:track:7y8X0Z04gJCKtfrnSAMywJ,"Hacker","The Money Store","Death Grips",2012-04-23,275520,55,true,5forty,2015-02-19T04:24:42Z,"experimental hip hop,experimental","Epic",0.681,0.88,9,-3.895,1,0.227,0.0567,0,0.0893,0.38,124.885,4
