Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3XC1TcPtMuNchXsNmWwuMa,"Ivan Locke","Locke (The Original Motion Picture Soundtrack)","Dickon Hinchliffe",2014-04-18,164387,0,false,5forty,2015-09-02T21:39:59Z,"score","Universal Music Group",0.371,0.235,4,-15.363,0,0.0418,0.433,0.906,0.101,0.0247,109.955,4
spotify:track:4MsOQhgkmAlYOjumyuOvEH,"Very Urgent","Locke (The Original Motion Picture Soundtrack)","Dickon Hinchliffe",2014-04-18,87921,0,false,5forty,2015-09-02T21:39:59Z,"score","Universal Music Group",0.412,0.348,1,-18.616,1,0.0448,0.00492,0.927,0.111,0.0367,114.053,4
spotify:track:2ApYXomo851PfuFkKJ1M5W,"Turning","Locke (The Original Motion Picture Soundtrack)","Dickon Hinchliffe",2014-04-18,109014,0,false,5forty,2015-09-02T21:39:59Z,"score","Universal Music Group",0.497,0.372,2,-12.69,1,0.0301,0.112,0.931,0.356,0.0387,137.791,4
spotify:track:4LaUJYizXRYKxgOtHGqA1K,"Confession","Locke (The Original Motion Picture Soundtrack)","Dickon Hinchliffe",2014-04-18,133214,0,false,5forty,2015-09-02T21:39:59Z,"score","Universal Music Group",0.152,0.162,0,-16.764,1,0.0362,0.961,0.781,0.0844,0.0296,103.407,4
spotify:track:0P5FMyypRAT0i18WA9doCk,"Father","Locke (The Original Motion Picture Soundtrack)","Dickon Hinchliffe",2014-04-18,143841,0,false,5forty,2015-09-02T21:39:59Z,"score","Universal Music Group",0.201,0.27,2,-12.9,1,0.0523,0.416,0.891,0.105,0.0297,131.488,4
spotify:track:3lLs6YlEnLKSIPfLLmBzrv,"Speed Limit","Locke (The Original Motion Picture Soundtrack)","Dickon Hinchliffe",2014-04-18,64467,0,false,5forty,2015-09-02T21:39:59Z,"score","Universal Music Group",0.469,0.352,4,-16.1,0,0.0459,0.0267,0.673,0.0802,0.0248,110.08,4
spotify:track:5flcFxw8e14k9zgVIsqSoN,"Concrete","Locke (The Original Motion Picture Soundtrack)","Dickon Hinchliffe",2014-04-18,87961,0,false,5forty,2015-09-02T21:39:59Z,"score","Universal Music Group",0.354,0.361,11,-17.392,1,0.131,0.018,0.863,0.107,0.0513,94.169,4
spotify:track:675EsFNksLVv8CbP7Atn7B,"Sister Margaret","Locke (The Original Motion Picture Soundtrack)","Dickon Hinchliffe",2014-04-18,163921,0,false,5forty,2015-09-02T21:39:59Z,"score","Universal Music Group",0.419,0.252,1,-21.106,0,0.0295,0.339,0.903,0.11,0.0488,138.034,4
spotify:track:5yhPAyaj7Kdmi5pvSJAhof,"Happy Day In Hell","Locke (The Original Motion Picture Soundtrack)","Dickon Hinchliffe",2014-04-18,138867,0,false,5forty,2015-09-02T21:39:59Z,"score","Universal Music Group",0.228,0.155,2,-17.966,1,0.0505,0.523,0.908,0.0955,0.0325,122.627,4
spotify:track:5xwewLnIyqiIoedK3Dqog0,"I Can't Say I Love You","Locke (The Original Motion Picture Soundtrack)","Dickon Hinchliffe",2014-04-18,40014,0,false,5forty,2015-09-02T21:39:59Z,"score","Universal Music Group",0.341,0.287,11,-19.467,0,0.0679,0.0473,0.921,0.112,0.151,113.896,4
spotify:track:1U6zCoF4gKPg490CiuV8ae,"Closing Roads","Locke (The Original Motion Picture Soundtrack)","Dickon Hinchliffe",2014-04-18,126761,0,false,5forty,2015-09-02T21:39:59Z,"score","Universal Music Group",0.417,0.262,2,-15.952,0,0.039,0.00235,0.88,0.0785,0.0389,117.896,3
spotify:track:6qEaqdtNcKyGbrAtfEYlbg,"Life Sentence","Locke (The Original Motion Picture Soundtrack)","Dickon Hinchliffe",2014-04-18,76454,0,false,5forty,2015-09-02T21:39:59Z,"score","Universal Music Group",0.242,0.109,2,-17.469,1,0.042,0.75,0.941,0.102,0.0297,137.725,3
spotify:track:58ZP38z5f804VL1WZyz2BX,"Not Your Home","Locke (The Original Motion Picture Soundtrack)","Dickon Hinchliffe",2014-04-18,156961,0,false,5forty,2015-09-02T21:39:59Z,"score","Universal Music Group",0.164,0.136,2,-20.394,1,0.0354,0.906,0.976,0.065,0.0342,103.713,4
spotify:track:3UVTJNkI6EmYcmEd7cLVcj,"Circles","Locke (The Original Motion Picture Soundtrack)","Dickon Hinchliffe",2014-04-18,134294,0,false,5forty,2015-09-02T21:39:59Z,"score","Universal Music Group",0.467,0.238,8,-15.649,1,0.0369,0.357,0.893,0.144,0.0336,117.977,3
spotify:track:6RNKX7PgkqOeGOxTZFcV0B,"Fuck Chicago","Locke (The Original Motion Picture Soundtrack)","Dickon Hinchliffe",2014-04-18,87987,0,true,5forty,2015-09-02T21:39:59Z,"score","Universal Music Group",0.258,0.0629,2,-20.292,1,0.037,0.387,0.982,0.0722,0.0353,109.592,4
spotify:track:5ayNaCSbqdRv5FiEqUE1K9,"Baby","Locke (The Original Motion Picture Soundtrack)","Dickon Hinchliffe",2014-04-18,226255,0,false,5forty,2015-09-02T21:39:59Z,"score","Universal Music Group",0.377,0.259,0,-15.21,1,0.0395,0.321,0.965,0.168,0.0393,125.971,4
