Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4aDEWuYjdEsU9A5bVD3JV7,"Slowes' Comb / The May 4th Movement Starring Doodlebug","Blowout Comb","Digable Planets",1994-10-10,296000,37,false,5forty,2013-07-08T22:56:58Z,"jazz rap,east coast hip hop,hip hop,acid jazz,old school hip hop","Pendulum Records",0.797,0.375,1,-14.5,1,0.198,0.617,0.0000919,0.512,0.262,91.192,4
spotify:track:1p2460gsFzAH46mPneG0uL,"Black Ego","Blowout Comb","Digable Planets",1994-10-10,422133,42,false,5forty,2013-07-08T22:56:58Z,"jazz rap,east coast hip hop,hip hop,acid jazz,old school hip hop","Pendulum Records",0.542,0.438,7,-16.024,1,0.164,0.554,0.764,0.122,0.358,186.637,4
spotify:track:6Mbm86B4joMLyCncLCESCG,"Dog It","Blowout Comb","Digable Planets",1994-10-10,260693,48,false,5forty,2013-07-08T22:56:58Z,"jazz rap,east coast hip hop,hip hop,acid jazz,old school hip hop","Pendulum Records",0.901,0.361,11,-14.2,0,0.268,0.261,0.704,0.0598,0.514,92.118,4
spotify:track:1BXastKgdI3AiFipVt69Fv,"Jettin'","Blowout Comb","Digable Planets",1994-10-10,279373,51,false,5forty,2013-07-08T22:56:58Z,"jazz rap,east coast hip hop,hip hop,acid jazz,old school hip hop","Pendulum Records",0.843,0.585,1,-14.268,1,0.0652,0.64,0.0456,0.131,0.835,91.937,4
spotify:track:1yeUcA8cGzT2Y7Crt9hqXw,"Borough Check","Blowout Comb","Digable Planets;Guru",1994-10-10,415626,35,false,5forty,2013-07-08T22:56:58Z,"jazz rap,east coast hip hop,hip hop,acid jazz,old school hip hop","Pendulum Records",0.828,0.402,11,-16.323,1,0.253,0.506,0.0452,0.327,0.644,94.391,4
spotify:track:2uFMZ8zAUyal9uXCBzq1pr,"Highing Fly","Blowout Comb","Digable Planets",1994-10-10,83040,30,false,5forty,2013-07-08T22:56:58Z,"jazz rap,east coast hip hop,hip hop,acid jazz,old school hip hop","Pendulum Records",0.8,0.246,7,-21.375,1,0.127,0.256,0.914,0.0947,0.447,100.122,4
spotify:track:12s5QxmU3E9sraIOMmJGmK,"Agent 7 Creamy Spy Theme / Dial 7 (Axiom Of Creamy Spies) / NY 21 Theme","Blowout Comb","Digable Planets;Sarah Anne Webb",1994-10-10,346760,32,false,5forty,2013-07-08T22:56:58Z,"jazz rap,east coast hip hop,hip hop,acid jazz,old school hip hop","Pendulum Records",0.84,0.316,9,-15.723,0,0.245,0.134,0.00183,0.118,0.432,92.016,4
spotify:track:01crBGZZi6TyZZQZLwu6Ft,"The Art Of Easing","Blowout Comb","Digable Planets",1994-10-10,306373,33,false,5forty,2013-07-08T22:56:58Z,"jazz rap,east coast hip hop,hip hop,acid jazz,old school hip hop","Pendulum Records",0.649,0.432,2,-10.319,1,0.274,0.19,0.00675,0.298,0.666,176.663,4
spotify:track:5ZyIjFyRIjejl1pg5pxOVh,"K.B.'s Alley (Mood Dudes Groove)","Blowout Comb","Digable Planets",1994-10-10,125893,27,false,5forty,2013-07-08T22:56:58Z,"jazz rap,east coast hip hop,hip hop,acid jazz,old school hip hop","Pendulum Records",0.678,0.753,0,-10.702,0,0.0817,0.133,0.669,0.131,0.773,190.336,4
spotify:track:0n7e8Qvo7RFZHRzw2tHrDU,"Graffiti","Blowout Comb","Digable Planets;Jeru The Damaja",1994-10-10,243373,40,false,5forty,2013-07-08T22:56:58Z,"jazz rap,east coast hip hop,hip hop,acid jazz,old school hip hop,boom bap","Pendulum Records",0.853,0.569,11,-13.614,1,0.164,0.168,0.622,0.155,0.544,92.194,4
spotify:track:0QmceP4sn0nYVZHXBlj3eV,"Blowing Down","Blowout Comb","Digable Planets",1994-10-10,231177,33,false,5forty,2013-07-08T22:56:58Z,"jazz rap,east coast hip hop,hip hop,acid jazz,old school hip hop","Pendulum Records",0.895,0.379,10,-15.812,0,0.273,0.0393,0.632,0.111,0.551,95.5,4
spotify:track:2YM9qQklVODlkC3T9YD0e0,"9th Wonder (Blackitolism)","Blowout Comb","Digable Planets;Jazzy Joyce",1994-10-10,267266,43,false,5forty,2013-07-08T22:56:58Z,"jazz rap,east coast hip hop,hip hop,acid jazz,old school hip hop","Pendulum Records",0.71,0.461,2,-13.526,1,0.295,0.0773,0.0201,0.285,0.511,190.268,1
spotify:track:191nAEklSx8GCafB7WcVPI,"For Corners","Blowout Comb","Digable Planets;Monica Payne;Sulaiman",1994-10-10,422533,47,false,5forty,2013-07-08T22:56:58Z,"jazz rap,east coast hip hop,hip hop,acid jazz,old school hip hop","Pendulum Records",0.882,0.456,3,-12.091,0,0.142,0.184,0.404,0.336,0.507,100.241,4
