Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4B31QOL13iBeuIsaGD20BS,"Pre (feat. SK La' Flare)","Doris","Earl Sweatshirt;Sk La Flare",2013-08-16,172493,45,true,5forty,2013-08-27T22:13:07Z,"experimental hip hop,alternative hip hop","Tan Cressida/Columbia",0.668,0.577,9,-6.984,1,0.0634,0.149,0.00111,0.182,0.557,99.957,4
spotify:track:43tVqovviXhkmOV5LOkTn7,"Burgundy (feat. Vince Staples)","Doris","Earl Sweatshirt;Vince Staples",2013-08-16,127413,49,true,5forty,2013-08-27T22:13:07Z,"experimental hip hop,alternative hip hop","Tan Cressida/Columbia",0.539,0.846,0,-5.539,1,0.252,0.218,0,0.251,0.49,130.358,4
spotify:track:0yNecIrNLTIsF5ULCraPgl,"20 Wave Caps (feat. Domo Genesis)","Doris","Earl Sweatshirt;Domo Genesis",2013-08-16,132373,46,true,5forty,2013-08-27T22:13:07Z,"experimental hip hop,alternative hip hop","Tan Cressida/Columbia",0.498,0.748,8,-7.218,1,0.434,0.0582,0,0.281,0.426,77.601,4
spotify:track:0fAehaneUJdlSlWXYe1KZp,"Sunday (feat. Frank Ocean)","Doris","Earl Sweatshirt;Frank Ocean",2013-08-16,205800,61,true,5forty,2013-08-27T22:13:07Z,"experimental hip hop,alternative hip hop","Tan Cressida/Columbia",0.716,0.568,2,-8.904,1,0.212,0.278,0.00000198,0.385,0.905,136.894,4
spotify:track:6JKoTnberZoBgUuxa6l4Kh,"Hive (feat. Vince Staples & Casey Veggies)","Doris","Earl Sweatshirt;Vince Staples;Casey Veggies",2013-08-16,277240,55,true,5forty,2013-08-27T22:13:07Z,"experimental hip hop,alternative hip hop","Tan Cressida/Columbia",0.619,0.742,1,-6.995,1,0.496,0.204,0,0.166,0.782,144.602,4
spotify:track:6plT7nFGiXKSBP9HFSI4ef,"Chum","Doris","Earl Sweatshirt",2013-08-16,243773,57,true,5forty,2013-08-27T22:13:07Z,"experimental hip hop,alternative hip hop","Tan Cressida/Columbia",0.51,0.503,10,-8.756,0,0.242,0.0216,0.002,0.108,0.193,153.582,4
spotify:track:5BikEzeYYFtRvR1CL1UTRg,"Sasquatch (feat. Tyler, The Creator)","Doris","Earl Sweatshirt;Tyler, The Creator",2013-08-16,168240,46,true,5forty,2013-08-27T22:13:07Z,"experimental hip hop,alternative hip hop","Tan Cressida/Columbia",0.457,0.687,9,-7.506,1,0.316,0.0123,0,0.703,0.217,80.51,4
spotify:track:6mrRJpEOqNEKygu4fesH1e,"Centurion (feat. Vince Staples)","Doris","Earl Sweatshirt;Vince Staples",2013-08-16,183960,42,true,5forty,2013-08-27T22:13:07Z,"experimental hip hop,alternative hip hop","Tan Cressida/Columbia",0.348,0.796,7,-8.266,1,0.485,0.0655,0,0.279,0.573,166.224,4
spotify:track:1MqC1CyfmBiEgauT4sqhSE,"523","Doris","Earl Sweatshirt",2013-08-16,91626,38,false,5forty,2013-08-27T22:13:07Z,"experimental hip hop,alternative hip hop","Tan Cressida/Columbia",0.313,0.187,1,-13.76,1,0.0391,0.664,0.757,0.094,0.306,145.606,4
spotify:track:76wXoUkBme6E5yPhXv6zfR,"Uncle Al","Doris","Earl Sweatshirt",2013-08-16,52626,39,true,5forty,2013-08-27T22:13:07Z,"experimental hip hop,alternative hip hop","Tan Cressida/Columbia",0.646,0.746,7,-7.155,1,0.341,0.0981,0,0.42,0.585,47.092,4
spotify:track:7y6EHdn8KFJUD2F6zWNWhZ,"Guild (feat. Mac Miller)","Doris","Earl Sweatshirt;Mac Miller",2013-08-16,233720,45,true,5forty,2013-08-27T22:13:07Z,"experimental hip hop,alternative hip hop","Tan Cressida/Columbia",0.727,0.274,1,-15.7,1,0.457,0.331,0.0000773,0.0961,0.168,108.031,4
spotify:track:7lhkOb0VNnTlshwifCEoSr,"Molasses (feat. RZA)","Doris","Earl Sweatshirt;RZA",2013-08-16,136440,57,true,5forty,2013-08-27T22:13:07Z,"experimental hip hop,alternative hip hop,east coast hip hop","Tan Cressida/Columbia",0.503,0.755,1,-4.811,1,0.265,0.0307,0,0.266,0.807,79.422,4
spotify:track:1rW2nkUbmKD2MC22YrU8cX,"Whoa (feat. Tyler, The Creator)","Doris","Earl Sweatshirt;Tyler, The Creator",2013-08-16,196426,51,true,5forty,2013-08-27T22:13:07Z,"experimental hip hop,alternative hip hop","Tan Cressida/Columbia",0.541,0.748,2,-6.321,1,0.31,0.00141,0.0000031,0.322,0.351,79.616,4
spotify:track:49aTv96mDjvlDb74XvVSc9,"Hoarse","Doris","Earl Sweatshirt",2013-08-16,232373,42,true,5forty,2013-08-27T22:13:07Z,"experimental hip hop,alternative hip hop","Tan Cressida/Columbia",0.674,0.874,0,-7.017,1,0.29,0.159,0.00639,0.0945,0.101,139.95,4
spotify:track:2LbL1HaoZrXrCR538uxUjl,"Knight (feat. Domo Genesis)","Doris","Earl Sweatshirt;Domo Genesis",2013-08-16,193920,48,true,5forty,2013-08-27T22:13:07Z,"experimental hip hop,alternative hip hop","Tan Cressida/Columbia",0.478,0.801,11,-8.344,0,0.456,0.446,0.0000618,0.362,0.551,84.679,4
